Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         23.72    14.51    21.55    51.45    23.50
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960     -1.17     0.97    -8.13    12.29     9.38
1961     -5.90    -3.76    -1.73    17.25     3.02
1962      2.29     0.12     1.58    13.62    -3.22
1963     -0.16    -0.89     1.13   -13.83     3.65
1964      1.41    -3.78     1.16    19.92     2.88
1965     -3.56    -5.56    -0.47     5.43    -4.08
1966     -2.33    -3.24    -1.94     9.82    -6.50
1967      1.02     1.83    -3.03     7.00     5.37
1968      0.94     2.20    -1.88    -2.37     0.85
1969      0.54     0.59    -6.65    14.20    -2.38
1970      2.38     1.35     3.90    -4.68    -3.26
1971      0.02     4.11    -1.48   -23.19     4.62
1972     -1.24     0.10     0.04     2.09    -4.43
1973     -0.46    -5.88     4.92     4.03    -2.39
1974      1.02     2.38    -1.43    -7.74    -2.41
1975     -1.80    -0.32    -2.47     7.89    -1.45
1976      5.56     8.33     2.99    -2.33     4.97
1977     -0.46     1.97    -2.52    20.96     7.23
1978     -4.32    -4.44    -6.98    -6.57     5.89
1979      2.34    -2.06    -5.34   -11.30    -1.26
1980      0.59     0.97    -2.25     4.97    -5.46
1981      2.64     1.00     0.59    10.01     8.43
1982     -5.78    -6.51     5.62     8.57    -8.76
1983     -2.00     0.09    -4.77    -4.78   -15.02
1984     -0.29    -1.47     2.07    -8.13     0.39
1985      2.06     4.09     5.65    14.51    -9.32
1986     -1.63    -1.63     3.24     1.16    -8.60
1987      2.43    -2.77    -0.23     4.17     3.88
1988      4.75     7.53     1.63   -29.32     5.26
1989      3.30    -0.11    -5.73   -24.45     9.58
1990     -1.16    -2.10     1.44    19.08    -2.39
1991      3.38     5.14     1.87     8.31    10.33
1992     -4.51     0.90    -3.22    11.82     3.44
