Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         14.65    10.50    12.32     2.76     7.56
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      2.12     2.05     3.47    -0.26     0.75
1962      1.25     0.65    -0.40    -0.70     0.03
1963      1.85     4.68    -1.18    -1.28    -1.71
1964      2.79    -0.02     4.47    -0.22     0.33
1965     -2.42    -1.96    -1.85    -0.37    -0.60
1966      3.40     4.73     3.93     0.61    -1.02
1967     -1.27    -2.53    -0.06     0.33    -2.07
1968     -2.57    -1.25    -2.33    -0.41    -2.01
1969     -0.01     3.12    -2.15    -0.26    -0.84
1970     -0.39     0.12    -1.09    -0.60     5.22
1971     -1.95    -2.24    -1.69     0.37    -1.43
1972     -2.91    -3.05    -0.86    -0.10     0.59
1973     -0.24    -0.49     1.50     0.38    -0.33
1974     -0.22    -2.42    -0.40     0.73     2.87
1975      2.34     3.27     1.04    -0.38    -0.80
1976     -0.34     1.49     0.34     0.16     1.77
1977     -0.76     0.69     0.27    -0.32     3.14
1978      2.85     5.01    -0.58    -0.47     0.49
1979      3.24     2.29     2.76    -0.64    -0.61
1980      0.12    -0.01     2.22     0.02    -0.94
1981      1.49     4.03    -0.09     1.57     1.32
1982      0.46     1.19    -0.15    -0.22     0.04
1983      2.20     3.48     2.16    -0.88    -2.60
1984      0.53    -2.23     1.64     0.66    -1.28
1985      0.53    -0.28     1.16    -0.24    -0.19
1986     -0.88    -0.05    -0.14    -1.12     1.85
1987      3.38    -1.71     5.32     0.26     1.63
1988     -0.26     2.32    -2.26    -0.09     0.10
1989     -0.70    -0.53     0.72    -1.10     0.39
1990      0.91     1.06    -1.74    -0.08     0.08
1991      1.97    -4.96     3.46     0.56    -0.12
1992      0.47     3.74    -3.85     0.32    -0.17
1993      0.25    -1.73     1.05     0.11     0.20
1994     -3.87    -3.27    -2.89     0.90    -2.26
1995     -2.06    -2.83     0.10     0.39    -2.62
1996     -3.69    -5.32    -2.07     0.47    -2.72
1997     -1.95     1.75    -3.63     0.48    -2.42
1998     -0.57     1.51    -3.85    -1.04    -0.62
1999      0.01    -0.82     1.55    -0.11    -0.59
2000     -2.44    -5.14    -0.64     1.18    -2.70
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
