Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         17.84    15.63    14.48     1.40     9.85
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -0.93    -0.86     0.57    -0.04     0.37
1962     -0.14     0.05     1.02    -0.09    -2.34
1963      1.01     1.92    -0.53     0.67    -1.67
1964     -0.01     0.09    -0.49    -0.63    -1.60
1965      0.58     1.13     0.88     0.24    -0.14
1966      0.08     0.01     1.50    -0.44    -0.21
1967      0.86     1.12     1.36    -0.68    -0.02
1968     -1.10    -1.34     0.21    -0.54    -0.01
1969     -0.32    -0.07     0.33    -0.22     0.45
1970     -0.58    -0.27     1.51    -0.12     0.51
1971     -0.13    -0.50     1.15    -0.26    -1.51
1972      0.63    -0.20     0.57    -0.71     1.66
1973     -0.37    -1.04     1.83     0.21    -1.15
1974      0.31     2.00    -4.32     0.38     0.33
1975     -0.98    -0.45    -1.33    -0.44     0.67
1976      0.63     0.20     1.81    -0.14     0.77
1977     -0.36     0.76    -2.51     0.43    -0.53
1978     -1.51    -0.20    -3.36     1.15     0.43
1979     -0.43    -0.35    -0.10    -0.20    -2.57
1980     -1.30    -1.05    -1.72    -0.24    -1.03
1981     -0.75    -0.43     0.86    -0.15     0.79
1982      0.44    -0.30     1.87     0.16     0.28
1983      0.29     0.58     1.39    -0.10    -0.57
1984     -0.46    -0.63    -1.36     0.28     0.16
1985      0.11     0.42     1.35    -0.12     0.20
1986      0.64    -0.24     0.60    -0.67     1.24
1987      1.45     1.54    -0.40     0.55     3.22
1988     -1.42    -1.81    -1.05    -0.10    -1.37
1989     -0.10    -0.07    -2.57    -0.06    -0.70
1990      2.99     1.77     4.12     0.56     1.52
1991      0.94     1.38     2.26     0.78    -2.44
1992      0.73    -0.71     0.64     0.73     0.98
1993      1.51     0.74     1.57     0.12     0.78
1994     -0.06    -1.45     1.83    -0.53     0.55
1995      0.70     0.58     1.87     0.06    -2.40
1996     -1.71    -0.71    -1.70    -0.62     0.29
1997     -2.00    -0.99    -5.30    -0.04     0.41
1998      1.10     1.30     0.90    -0.20     0.06
1999     -0.30     0.13    -0.42    -0.67    -0.56
2000     -1.10    -6.79     1.93     0.95    -1.61
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
