Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     14.35    27.18    20.53    16.95    15.70
1962     14.75    31.93    19.83    29.75    21.01
1963     19.88    29.21    23.85    41.35    24.28
1964     17.87    26.22    25.72    23.98    26.74
1965     20.36    42.34    24.55    37.13    22.53
1966     18.53    24.58    27.14    30.23    20.55
1967     16.35    24.77    21.06    23.28    24.71
1968     18.39    32.61    24.45    30.04    31.64
1969     19.07    27.40    22.30    26.63    22.51
1970     14.44    36.22    21.48    18.07    20.26
1971     17.19    29.12    23.05    18.33    20.47
1972     15.30    16.21    19.44    25.13    18.79
1973     17.96    16.64    20.60    27.73    23.57
1974     12.45    19.78    19.61    13.80    14.81
1975     15.60    15.74    22.93    16.07    20.43
1976     15.91    20.64    25.90    28.23    21.67
1977     14.74    20.69    14.87    15.05    20.09
1978     16.00    16.97    20.78    22.84    16.99
1979     15.23    13.28    17.16    20.06    15.14
1980     14.30    19.84    18.24    18.42    13.87
1981     13.41    17.10    15.82    17.66    17.82
1982     12.74    16.22    13.03    17.22    16.76
1983     14.41    18.10    14.69    16.14    20.12
1984     16.26    15.06    18.59    22.95    16.52
1985     14.03    18.13    14.89    14.51    17.51
1986     12.60    18.38    18.02    14.67    13.05
1987     15.59    16.42    13.57    20.07    17.08
1988     11.74     9.62    17.69    12.18    20.24
1989     14.68    13.20    14.72    18.84    11.06
1990     10.20    17.53    13.85    16.08    10.12
1991     12.63     9.42    14.58    16.17    17.11
1992     15.65    22.15    18.91    29.49    17.97
1993     15.63    20.87    14.77    17.84    14.91
1994     11.40     9.77    16.89    14.91    21.01
1995     11.40    17.13    20.64    12.49    10.39
1996     14.67    20.21    25.18    15.78    17.74
1997     13.39    15.25    14.40    11.86    14.67
1998     13.72     9.99    13.59    21.99    13.99
1999     13.17    10.49    17.89    17.69    12.55
2000     12.94     9.84    14.19    23.54    11.39
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      8.38     3.88     6.08     5.16     3.85
2047      4.16     1.91     4.17     5.37     3.55
2048      4.16     2.58     4.14     4.37     3.90
2049      6.39     1.27     4.96     6.49     5.65
2050      4.04     2.53     7.10     7.12     4.42
2051      4.14     1.71     5.22     6.51     1.90
2052      4.35     1.52     4.81     4.08     7.65
2053      4.86     1.15     6.47     1.50     3.45
2054      2.93     2.54     4.64     3.87     7.04
2055      2.50     2.07     3.02     2.14     1.04
2056      2.52     2.17     2.74     2.69     2.69
2057      4.11     1.69     9.67     4.23     4.55
2058      5.22     0.97     2.44     3.38     3.00
2059      3.74     4.17     1.87     3.08     1.73
2060      2.72     2.02     1.62     3.03     3.01
2061      3.02     0.62     3.12     5.26     1.56
2062      2.45     1.52     2.78     2.65     1.49
2063      3.81     1.32     7.39     2.50     2.11
2064      2.44     1.03     3.83     4.25     1.80
2065      3.26     0.68     1.79     2.31     1.86
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
