Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.98     9.99    10.00     9.99     9.99
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     11.33    16.29    13.00    12.40    13.41
1962     13.26    10.70    12.18    16.37    12.61
1963     12.35    18.84    10.34    13.00    13.72
1964     14.32    14.40    10.82    14.75    16.43
1965     12.50    10.73    10.16    10.99    17.79
1966     14.05    21.43    15.33    17.68    13.82
1967     16.09    16.28    16.90    21.91    10.54
1968     17.00    12.75     9.95    26.25    18.78
1969      9.71     6.86     4.10    11.10    11.92
1970      6.61     5.84     8.79     4.73     9.84
1971     11.41    12.57     8.51    13.01    12.89
1972     10.87    16.21    12.00     8.57    10.28
1973      9.96     9.50    10.44     9.88    15.34
1974     12.04    11.22     9.00    11.80    10.36
1975      8.41    12.90     7.92     8.35    11.21
1976     12.57     6.50    13.71    14.64    10.31
1977      9.38     8.98     7.98    13.31     8.58
1978     11.79     9.55    17.97    10.14     8.48
1979     10.47    13.25    10.05     9.63    11.53
1980     11.83     9.36    11.70    11.59     9.47
1981     10.75     7.78     7.09    13.73    10.24
1982     12.64    11.97    12.44    13.02    16.66
1983      9.88    18.10    14.69     8.55     7.86
1984     10.86    10.24     5.35    10.93    16.52
1985     10.28    18.13    12.54     9.70    12.76
1986     11.15     8.92    11.94    11.03     8.73
1987      9.27     7.50     5.53     8.41     8.35
1988     11.37     9.62    17.69    10.33    11.47
1989      9.39     6.65    14.72    10.87     6.96
1990      8.46     3.92     5.46     7.32     6.35
1991      8.01     7.53     4.77     8.61     9.58
1992     13.81    22.15    18.91    11.13    14.20
1993     10.97    15.61    13.20    11.43     6.96
1994      7.14     4.67     6.63     7.71     9.84
1995      8.75     3.16     4.32    10.01     6.22
1996      7.08     5.39     5.93     6.40     6.79
1997      7.82     8.51     8.06     8.69     9.96
1998      9.16     9.99     8.17     8.98     6.12
1999      7.43     3.99     4.62     7.27     5.95
2000      8.71     9.84     4.05    10.22     9.99
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
