Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         10.01     9.97     9.95     9.98     9.97
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     12.78    16.75     9.64    14.85    15.08
1962     13.87    15.44    14.21    14.02    14.12
1963     18.41    24.15    18.04    17.71    15.37
1964     17.38    26.22    12.95    22.07    14.26
1965     20.36    28.55    21.11    23.05    17.91
1966     15.42    16.36    20.78    14.53    15.56
1967     16.35    16.74    12.79    14.96    24.71
1968     13.15    13.73    15.10    10.50    14.60
1969     14.54    17.28    12.83    15.51    17.34
1970     12.75    11.64    14.36    12.51    12.29
1971     14.83    15.06    14.30    15.71    18.60
1972     12.16    11.78     9.34    15.07    13.15
1973     10.64    12.78     7.34    12.91    11.49
1974     12.45    18.42    13.26     9.90     9.32
1975     15.60    15.74    15.26    14.53    20.43
1976     13.46    20.64    13.16    13.21     8.25
1977      9.73     8.82     8.79    10.38    11.03
1978     10.57    10.42    10.49     8.23    11.13
1979     10.95    12.64     6.22     9.78    12.63
1980      8.79     6.32     7.88    11.13    10.54
1981      8.98    11.66    12.28     7.26     8.16
1982      8.62    12.38     6.05     6.61    13.32
1983     14.41    17.85    10.55    16.14    20.12
1984     10.99     9.08    10.13    14.41     6.45
1985     10.40     4.93    11.81    11.69     7.43
1986      9.01     9.18    12.89     7.33     9.46
1987     10.22     8.43    12.53    11.47    11.87
1988      5.37     2.99     7.71     6.41     2.57
1989      6.77     6.89     5.79     7.62     6.11
1990      8.42     4.95     7.80     7.72     8.51
1991      9.80     9.42    10.25     9.42     8.27
1992      8.22    11.25     7.70     8.19     6.53
1993      9.69    12.85    12.64     7.25    11.36
1994     11.30     5.91    12.29    14.91     8.10
1995      7.10     6.38     7.61     3.80     6.68
1996      8.70     4.91    12.28     6.03     8.30
1997      7.92     7.56     4.71     9.82     8.44
1998      8.11     5.70     8.78     9.03     4.53
1999      4.44     2.40     4.33     0.94     4.14
2000      4.80     4.62     6.14     2.93     6.98
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      0.89     0.20     0.11     0.63     1.54
2047      1.52     0.00     0.12     0.52     1.93
2048      0.89     0.04     2.52     0.01     0.34
2049      0.61     0.03     0.21     0.39     0.16
2050      0.83     0.02     1.45     0.03     0.22
2051      0.23     0.00     0.89     0.00     0.21
2052      0.25     0.02     0.29     0.10     0.16
2053      1.51     0.07     0.30     0.34     0.91
2054      0.47     0.00     0.10     0.04     0.03
2055      0.08     0.02     0.09     0.00     0.09
2056      0.16     0.09     0.00     0.01     0.09
2057      0.75     0.04     0.00     0.49     0.02
2058      0.31     0.01     0.02     0.11     0.02
2059      0.44     0.02     0.07     0.18     0.47
2060      0.54     0.02     0.03     0.01     0.31
2061      0.14     0.01     0.03     0.06     0.04
2062      0.66     0.00     0.01     0.33     0.01
2063      0.30     0.01     0.00     0.32     0.70
2064      0.58     0.00     0.46     0.23     0.10
2065      0.24     0.05     0.00     0.00     0.12
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.05     0.00     0.01     0.00     0.23
2082      0.06     0.00     0.00     0.00     0.00
2083      0.08     0.00     0.00     0.00     0.02
2084      0.08     0.00     0.03     0.08     0.15
2085      0.05     0.00     0.00     0.00     0.00
2086      0.10     0.00     0.00     0.11     0.14
2087      0.01     0.00     0.00     0.00     0.09
2088      0.02     0.00     0.00     0.00     0.14
2089      0.04     0.00     0.00     0.00     0.04
2090      0.00     0.00     0.00     0.00     0.00
2091      0.13     0.00     0.00     0.05     0.00
2092      0.01     0.00     0.00     0.00     0.00
2093      0.00     0.00     0.00     0.00     0.00
2094      0.01     0.00     0.00     0.00     0.10
2095      0.01     0.00     0.00     0.01     0.00
2096      0.00     0.00     0.00     0.00     0.00
2097      0.03     0.00     0.00     0.04     0.00
2098      0.01     0.00     0.00     0.00     0.00
2099      0.00     0.00     0.01     0.00     0.00
2100      0.00     0.00     0.00     0.00     0.00
Projections under SRES A1B scenario
