Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         10.00     9.99     9.99     9.98    10.00
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.46    10.41     7.90     9.76    10.73
1962     11.53    12.45     6.28    13.88    19.72
1963     14.51    29.21    23.85    11.83    24.28
1964     11.42    18.34    10.83    12.47    19.44
1965     12.23    10.44     7.12    17.24    11.50
1966      9.24     9.36     6.90    11.66    10.42
1967      7.84    13.50     5.50     7.95    14.41
1968     17.49    32.61    24.45    19.47    31.64
1969     11.98    27.40    12.59    14.00    17.87
1970      9.93    16.27     4.27    11.51    15.07
1971     17.19    29.12    23.05    14.31    20.47
1972     11.28    13.88     8.13    15.52    11.27
1973     13.29    14.00    11.84    14.57    20.74
1974      7.52    17.62     6.92     7.37     8.58
1975     10.15     6.83     8.15     7.92     7.27
1976     14.47    11.81    25.90    18.58    12.58
1977     13.77    19.31    10.44    13.15     9.82
1978      9.49     6.42     7.74     7.03     6.24
1979      9.41     7.81     8.06     6.87    13.98
1980     10.17    11.25     6.41    11.48     7.58
1981     11.55    14.16    14.30     7.16    17.82
1982     12.74    12.02     7.15    17.22     9.06
1983     11.54     9.59     8.47    11.99     7.77
1984      7.72     2.96     7.01     9.75     8.60
1985      2.86     4.11     9.70     0.57     3.80
1986     11.27    12.64    12.85    13.42     4.89
1987     11.72     7.47    13.09    12.68    14.66
1988      3.63     2.12     6.02     1.64     4.02
1989      8.54     6.21    10.07     7.14     8.76
1990      9.02     8.35    13.85     7.55     2.97
1991      9.62     5.73     6.97     9.73     4.54
1992      5.00     4.56     2.51     3.57     8.56
1993      9.41    12.00    14.77     6.35    10.44
1994      5.82     5.27     2.64     2.97     8.33
1995     10.41     7.28    13.34     9.25     9.81
1996     14.67    12.92    25.18    15.78     8.31
1997      8.62     5.13     2.73     9.22    12.41
1998     13.72     2.43     3.95    21.99    13.99
1999      5.48    10.49     4.12     3.18     7.61
2000     11.07     7.88    10.67    13.54    11.39
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
