Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         10.00     9.99     9.99    10.00     9.98
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     14.15    27.12    11.60    14.05    15.63
1962     14.24    31.93    11.56    20.43    14.09
1963     12.30    24.58    14.89    17.53    14.39
1964     17.37    20.96    18.79    23.98    21.73
1965     18.78    42.34    24.55    37.13    18.68
1966     15.28    23.06    11.68    21.46    20.55
1967     13.96    24.77     7.93    16.15    18.54
1968     16.81    12.16    14.73    30.04    13.37
1969      9.02    23.02     5.58     4.79    11.15
1970     13.98    36.22    21.24    14.16    18.68
1971      6.42    11.03     9.53     3.67    10.26
1972     15.30    12.84    13.43    25.13     7.28
1973     12.85     7.75     7.20    19.62     2.48
1974     12.29     5.96    13.22    11.77     9.63
1975     11.49     4.59    10.50    12.41    11.01
1976     12.18    15.01     4.03    11.38    13.94
1977     11.65    14.32    11.93     6.28    20.09
1978     12.16    13.29    16.83    15.90    16.99
1979     15.23    13.28    12.62    20.06    11.88
1980      9.43    10.99     8.94     5.97    11.06
1981     10.62    12.23     8.66    17.66     9.30
1982      5.78     4.50     1.87     2.60    10.60
1983      7.63     7.44    11.58     4.91     8.76
1984     11.06     4.46     3.89    15.20     9.47
1985      8.52     6.11    14.89     7.86     9.44
1986      8.90    10.13     5.17     6.68     6.86
1987      7.92     7.84    10.22     4.34    13.54
1988      4.06     3.53     1.39     2.04     2.35
1989     10.16    13.20     2.17     7.87     6.05
1990      4.26     7.91     7.40     3.60     0.92
1991      7.71     8.59     8.87     6.64     8.52
1992      8.49     7.24     6.91     4.81    10.70
1993     15.63     4.18    14.24    17.84    14.91
1994     11.40     9.77     9.18    13.28    15.12
1995      4.78    17.13     7.72     1.19     5.49
1996     11.94    10.64    16.79    12.03    17.74
1997      9.44    10.28    13.99     8.23     2.57
1998      5.67     5.42     7.26     2.69     6.62
1999     13.17     3.92    17.89    14.21     7.09
2000      3.00     4.70     3.35     2.74     3.74
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
