Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         10.00     9.98     9.98     9.99     9.99
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.99     7.62    10.85     6.53     6.57
1962      2.99     2.59     2.65     5.80     1.89
1963      3.98     4.71     3.10     1.00     2.36
1964      6.56     5.22     7.80     3.87     4.52
1965      4.31     2.55     4.79     4.49     2.55
1966      2.40     1.69     1.62     2.83     1.74
1967      7.65     5.17     9.79     9.28     6.36
1968      8.30     6.97     6.93     2.96     6.59
1969      5.42     3.69     3.34     3.65     5.73
1970      6.58     5.35     8.12     5.54     4.60
1971      3.66     1.67     3.07     2.33     3.05
1972      5.34     3.31     4.35     5.49     4.97
1973      9.62     7.33     8.94     7.37     8.71
1974      7.74     7.79     9.37     4.76     6.08
1975      6.39     4.53     4.22     9.06     4.87
1976      5.46     4.00     4.00     6.80     3.20
1977     10.95     7.70     9.72    11.92    12.61
1978     10.15    10.54     8.52     5.72    10.22
1979      4.71     4.54     4.83     2.59     2.49
1980      6.77     5.15     6.12     8.23     7.33
1981     11.21    12.06    11.66     6.97     9.80
1982      8.06     4.77     9.69    16.43     4.23
1983      7.27     4.69     7.34     8.99     5.06
1984     10.31     8.31     9.83    18.51     7.41
1985      8.35     7.13     9.70     4.01     5.18
1986      9.43     7.24     8.78     7.97     9.29
1987     17.02    20.06    19.89    17.39    10.96
1988     10.81    13.85    11.50     8.69     7.70
1989     11.19    13.53     7.39     7.85    10.04
1990     13.79    16.18    15.20    14.67    11.42
1991      9.66     9.24     9.15    11.00    11.77
1992      9.87     9.67     8.30     8.63    12.43
1993     18.73    20.46    18.82    25.60    26.04
1994     17.23    19.90    22.18    19.62    12.42
1995     10.92    12.10    11.27    10.82    12.91
1996     11.97    14.62     9.39     9.64    11.92
1997     14.49    17.89    14.99    18.47    14.73
1998     11.10    10.50     9.90     9.96    26.72
1999     11.09    15.20    13.31     4.64    21.52
2000     15.38    23.89    14.63     6.80    23.00
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     35.18    47.26    41.96    41.00    45.00
2047     28.60    43.87    34.12    32.91    29.56
2048     30.27    40.58    35.28    28.37    40.82
2049     37.04    51.98    40.27    54.45    51.87
2050     35.62    55.61    38.25    32.09    48.22
2051     36.35    55.46    33.20    42.07    53.71
2052     42.31    62.41    52.20    47.11    49.85
2053     37.09    57.44    37.68    56.52    49.98
2054     39.35    56.15    45.47    50.20    52.86
2055     35.78    58.14    38.94    54.59    44.43
2056     39.07    57.30    42.28    50.14    53.89
2057     40.90    61.44    48.44    58.65    51.20
2058     38.46    55.85    45.24    30.02    50.13
2059     44.75    64.36    49.07    51.93    57.79
2060     44.31    72.95    47.49    39.24    56.51
2061     37.19    53.83    43.51    34.55    50.15
2062     43.69    65.42    43.20    52.85    63.12
2063     49.92    80.62    49.75    68.80    64.69
2064     43.87    66.41    52.79    61.36    50.47
2065     40.29    57.51    48.77    39.10    52.42
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     58.19    82.47    62.40    83.30    76.64
2082     64.31    91.38    68.09    91.35    86.32
2083     60.37    86.66    66.60    71.47    79.36
2084     56.57    83.14    61.91    64.92    75.75
2085     64.59    95.65    67.01    69.26    85.74
2086     63.54    93.00    70.17    63.23    78.96
2087     57.59    84.84    58.37    59.02    74.73
2088     65.38    90.44    62.24    87.54    86.70
2089     67.04    93.46    73.08    90.62    88.31
2090     62.34    89.42    57.43    88.68    85.04
2091     58.98    86.61    59.61    68.80    79.07
2092     69.60    95.45    71.04    92.40    90.12
2093     68.32    94.21    72.19    96.10    83.17
2094     63.59    94.93    68.81    89.10    76.79
2095     69.74    95.20    75.20    88.62    89.72
2096     72.09    97.08    71.55    97.25    93.20
2097     65.50    94.27    69.20    86.29    84.48
2098     66.54    96.10    66.42    87.71    90.63
2099     69.19    96.49    74.20    91.02    89.26
2100     65.16    92.31    71.46    86.51    80.45
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
