Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      7.54     5.65     7.43     7.03     6.57
1962      5.03     4.16     4.06     7.90     7.23
1963      6.88     4.71     4.98     6.95     6.16
1964      7.69     5.22     6.78     5.58     4.52
1965      6.36     3.05     3.89     7.55     4.66
1966      6.58     3.65     4.08     7.80     5.01
1967      6.68     4.18     4.59     5.93     6.11
1968      8.08     6.97     6.60     5.09     6.68
1969      8.79     3.88     6.44     6.21     5.73
1970      7.51     5.78     5.15     7.26     5.97
1971      5.64     3.73     4.34     6.38     5.31
1972      8.32     6.05     7.15     8.10     6.93
1973      8.71     6.08     8.94     7.57     8.30
1974      8.24     6.12     6.30     9.63     8.21
1975      9.69     9.18     7.96     9.83     9.10
1976      8.40     6.20     8.39     7.02     8.81
1977      8.91     6.49     7.63     9.44     8.17
1978      9.39     9.31     8.70     7.15     8.80
1979      7.15     6.39     6.52     8.46    10.21
1980      8.50     8.96     6.64    11.69     7.33
1981     10.95    12.06    10.54     7.66    11.96
1982      8.06     6.98     9.69     8.90     7.97
1983      7.30     8.90     7.39     9.64     6.85
1984      9.98     9.59     8.13    10.06     8.59
1985      9.68     9.66     8.88     9.84     9.89
1986      9.43     7.24     8.75     8.58     8.15
1987     12.19    12.01    10.31    13.72    10.96
1988     12.36    13.85    12.96    11.33    13.69
1989     11.66    13.53    14.11    11.09     8.52
1990     13.06    13.37     8.70    14.65    18.33
1991     15.15    16.58    15.71    14.48    11.60
1992      9.87     8.92     8.30    10.83     9.43
1993     10.93     8.14     9.29    10.37    12.44
1994     14.27    15.65    14.88    13.92    14.32
1995     13.32    13.76    14.46    12.72    11.77
1996     10.50    12.65    12.12    10.96    11.92
1997     11.51    12.80    11.97    13.02    10.78
1998     12.09    13.33    14.48    10.63    14.77
1999     13.07    16.45    13.31    11.13    14.71
2000     15.64    19.23    18.49    12.30    14.24
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     39.40    56.05    46.64    36.44    47.53
2047     39.63    56.74    45.48    32.91    44.34
2048     42.95    59.48    59.22    37.11    54.28
2049     44.01    66.69    57.61    44.11    51.11
2050     45.02    72.88    54.32    36.51    54.10
2051     43.22    69.65    52.42    33.44    53.71
2052     43.93    66.25    52.61    44.56    55.65
2053     42.66    68.06    51.80    38.75    57.47
2054     42.57    61.90    58.70    42.76    52.86
2055     47.02    75.43    60.33    50.95    64.35
2056     45.72    76.54    56.82    44.41    53.89
2057     47.98    72.19    57.54    42.72    59.23
2058     51.56    72.54    60.51    48.18    60.96
2059     47.48    67.45    65.87    39.52    57.17
2060     47.71    71.89    59.89    46.38    58.87
2061     52.31    81.73    66.77    53.29    66.47
2062     53.89    80.32    67.31    46.80    67.71
2063     54.76    81.41    68.54    51.07    65.66
2064     50.27    79.60    69.73    50.81    66.16
2065     53.25    79.66    65.18    51.44    65.39
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
