Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.98     9.99     9.99     9.98     9.99
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.50     2.37     4.47     5.98     5.29
1962      5.03     4.16     4.06     7.60     4.33
1963      7.06     6.06     3.42     6.95     9.00
1964     10.31    11.16    10.36     6.09     9.20
1965      9.00    10.85    12.04     5.93     4.66
1966      4.05     1.93     4.08     5.76     5.46
1967      5.51     4.18     2.87     5.77     6.11
1968      8.68     9.99     7.10     4.81     9.07
1969     13.64    17.60    16.29     8.71    11.27
1970      8.79     7.17    13.55     9.75    10.10
1971      5.55     3.35     4.30     7.28     6.82
1972      7.78     4.04     7.15     9.46     8.70
1973      7.27     4.18    10.53     9.39     8.36
1974      7.39     3.83     6.30     9.74     7.13
1975      8.08     7.42     6.64    11.87     9.10
1976     14.13    14.12    12.26     9.88    16.80
1977     10.20    10.84    10.50    10.30     8.05
1978      6.99     4.13     7.34     8.22     6.08
1979      7.15     6.39     6.25     6.94     6.89
1980      8.50     8.96     6.64     6.79     8.88
1981     10.52    12.11    11.05     7.52    10.53
1982      6.70     6.98     6.57     8.15     4.72
1983      6.32     6.76     3.96     9.64     6.32
1984      8.13     9.42    13.89     8.77     4.17
1985      4.73     1.85     4.34     7.47     5.59
1986      9.72     9.29     8.55    10.74     8.15
1987     13.54    14.42    17.53     7.73    10.95
1988      7.13     5.21     4.69     7.69    11.74
1989      9.64    11.41     4.31    11.09    13.12
1990     18.91    21.62    14.96    14.72    23.49
1991     16.35    24.80    28.34    10.00     5.88
1992      4.04     2.73     3.08     3.89     4.78
1993      6.07     5.04     3.91     8.37     8.15
1994     12.26    14.68    11.05    11.84    11.64
1995     15.20    19.24    16.48    12.72    10.11
1996     13.68    13.49    17.35    14.69    13.60
1997     11.51    12.80    11.97    14.25    10.23
1998     13.21    10.92     9.27    12.40    17.13
1999     19.89    22.49    16.93    17.99    22.46
2000     17.08    20.74    22.52    12.05    12.82
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     31.86    42.61    34.57    24.04    35.22
2047     34.78    41.95    39.55    31.91    33.03
2048     48.73    60.77    63.69    34.35    55.01
2049     44.01    65.10    64.73    28.56    31.44
2050     33.96    37.63    37.28    35.83    43.14
2051     39.52    48.07    43.31    30.76    46.35
2052     35.54    45.01    44.51    26.83    37.53
2053     46.25    61.32    45.91    32.42    57.47
2054     54.66    72.87    72.31    38.87    52.01
2055     34.35    45.69    35.85    29.32    40.48
2056     41.69    49.64    49.09    34.42    48.38
2057     48.62    60.69    57.54    35.52    56.05
2058     55.95    70.34    59.34    45.80    60.97
2059     50.25    66.80    67.97    37.42    44.99
2060     36.70    42.17    46.03    31.03    39.96
2061     48.15    58.90    56.41    38.59    56.77
2062     52.92    68.02    61.23    38.84    58.79
2063     46.70    60.39    58.79    45.34    39.88
2064     46.02    58.53    54.67    35.12    52.56
2065     49.72    62.99    59.73    37.07    55.65
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
