Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         10.00     9.98    10.02     9.99    10.03
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      9.04     7.54     8.82     9.93     7.11
1962     11.26    10.27     3.23    10.08    12.30
1963      7.84     7.63    12.56     3.21     9.34
1964      6.39     3.45     7.57     7.79     4.06
1965      8.07     4.99     8.07     4.82     5.70
1966      5.56     7.01     5.47     7.54     1.08
1967      5.93     7.58     7.39     2.97     6.66
1968      9.95    10.96     3.44     6.28    10.13
1969     13.19    14.70     7.70     3.58    17.49
1970     11.53     8.78     3.65    12.64    14.09
1971      6.09     9.26    10.64     9.43     4.22
1972      9.05     9.54     8.74     7.02     8.28
1973     15.69     6.31    14.64    17.50    20.21
1974      5.24     6.28     5.72     3.84     4.74
1975      7.75     9.05     5.01    13.81     4.56
1976     11.38     9.65    10.73    12.26     8.60
1977     12.37     6.69     8.43    16.45    16.69
1978      7.69     8.44    14.69    10.27     3.24
1979     11.67    12.81    14.16     6.33    10.64
1980     11.37     8.35    11.60    14.67     8.28
1981     12.77    17.52    14.71     8.81    10.58
1982      4.80     7.63     2.16     2.91     2.94
1983     12.42    11.47    16.99     6.16    20.01
1984      7.36     7.74     4.28     9.01     3.52
1985     10.07    15.59     8.00     5.98    12.93
1986      7.50     5.74    12.01     6.52     7.22
1987      9.43     6.33     4.43     6.13     7.21
1988     11.74    11.33    10.76    15.86     8.01
1989     11.94     7.88    17.18    20.00     9.06
1990     13.26    21.31     3.70     6.49    19.09
1991     15.02    17.59    24.71    10.66    17.94
1992      7.01     5.53     7.11     6.28     3.17
1993     11.78     7.65     7.72     9.95    19.07
1994      8.26    12.66    13.68     7.76     6.84
1995     14.20    13.81     6.25    12.82    20.94
1996      9.14    15.99    17.76     9.42     6.85
1997      9.28     3.17     6.94    12.38     8.93
1998      6.86     9.28     6.35     7.21     7.58
1999      7.41     5.93     7.77    11.20     5.41
2000     10.38    17.16     9.77     9.54     8.93
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
