Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
          9.99     9.96     9.99    10.01     9.95
Timeseries (% days occurring)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      6.05    14.07     7.26    10.07     1.88
1962      6.88     5.04     2.24     2.54     3.85
1963      8.42     7.30     1.79     6.32     8.75
1964      4.01     5.35     3.91     1.62     1.76
1965      5.15     3.53     0.35     1.08     3.97
1966      3.00     3.72     3.49     1.56     1.59
1967     12.36     3.28     6.52    10.84    18.95
1968      7.03    10.06     1.15     4.24     3.87
1969      8.81     4.49    13.21    11.23     6.07
1970      5.13     8.17     1.79     6.24     1.53
1971     10.64     7.30     1.32    10.69    11.78
1972      8.65    11.82     6.48     9.94     4.81
1973      7.97     6.47     0.46     4.59     8.04
1974      7.47     7.80    22.88     5.10     5.65
1975      9.30     2.76     5.82    12.15     8.60
1976      5.45     1.80     3.00     2.54     3.14
1977     11.75     9.57    12.40    15.72    15.02
1978     11.88    15.59    15.32     9.02    15.38
1979     10.35     3.29     5.13     5.81    11.27
1980     14.83    22.19    40.26    11.99    13.44
1981     12.60     7.34     8.13    13.55    15.36
1982      6.73     9.24     9.93    12.69     3.49
1983      7.64     3.95     0.94     2.38     4.62
1984      6.29     9.41     4.43     9.73     3.26
1985     11.49     7.33     7.12    15.68    12.47
1986      6.04     3.47     2.98     3.08     5.14
1987      7.94     9.40     1.66     7.56     7.55
1988     15.16    14.56    14.04     9.30    19.60
1989      9.91    15.72    34.86    14.74     4.32
1990     14.58     4.60     2.08    15.13    24.44
1991     14.00    20.19    18.54     9.19    10.12
1992      6.96     3.86     2.59    11.39     5.79
1993     15.38    16.14     8.35    15.52    24.94
1994     11.50     6.07    13.57    13.06    10.38
1995      9.65     9.07     1.33     5.20    12.76
1996      9.88    15.96    24.51    16.59     9.79
1997     11.38    15.23    21.84    10.99     6.75
1998     11.70    20.25     3.74     8.72    14.92
1999      7.40    10.36     4.20    12.08     4.00
2000     13.39    18.51     4.49     7.83    15.49
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     21.14    12.65    23.11    30.47    32.07
2047     19.48    24.78    11.56    22.56    31.67
2048     24.55    31.89    29.38    39.58    36.46
2049     17.31    19.31    14.71    20.90    23.44
2050     26.79    45.06    41.47    33.50    45.33
2051     24.56    27.56    37.49    27.80    41.63
2052     23.56    19.98    16.37    27.59    44.28
2053     26.46    33.76    53.28    32.80    38.05
2054     22.05    14.91    14.56    27.46    43.39
2055     22.14    21.63    32.32    28.43    34.20
2056     35.46    45.43    74.19    50.98    58.09
2057     26.40    27.88    25.55    36.84    51.65
2058     34.69    52.52    46.28    43.73    60.09
2059     30.00    37.30    54.15    39.38    51.73
2060     27.91    36.30    13.48    32.01    56.37
2061     43.97    67.63    82.26    57.88    55.13
2062     24.90    27.00    29.29    35.19    43.22
2063     31.57    33.18    47.24    45.30    65.37
2064     19.17    33.43    27.71    29.49    23.58
2065     26.48    29.16    14.81    32.63    56.08
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     38.62    47.52    77.01    47.63    57.81
2082     35.05    32.42    44.20    50.60    72.49
2083     46.13    75.19    81.57    70.39    72.97
2084     27.76    31.28    33.77    31.17    49.60
2085     29.81    27.33    36.94    39.87    53.00
2086     32.89    36.86    48.70    44.46    60.54
2087     33.85    38.77    38.12    44.36    67.75
2088     33.99    39.40    31.78    36.87    74.84
2089     41.82    52.30    70.86    65.70    67.39
2090     33.60    41.57    43.14    39.55    62.54
2091     34.89    43.17    38.03    43.24    74.98
2092     35.42    44.58    57.00    47.64    54.87
2093     39.30    43.95    34.37    51.47    77.85
2094     55.31    78.21    89.99    77.76    81.14
2095     44.66    55.28    81.94    59.81    77.73
2096     43.66    46.84    84.48    68.10    66.06
2097     46.17    45.66    84.41    73.04    78.65
2098     43.45    67.36    61.41    50.60    77.04
2099     49.04    57.79    78.82    70.64    85.41
2100     50.45    63.58    77.88    79.44    79.18
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     22.14    26.44    15.46    16.94    33.16
2047     20.29    10.37    23.53    27.91    35.94
2048     19.56    13.59    22.22    26.09    33.07
2049     20.54    35.25    37.21    22.99    23.79
2050     26.19    27.99    22.61    33.56    50.34
2051     29.69    44.41    69.09    36.29    39.94
2052     17.94    14.73    16.03    21.78    28.76
2053     22.77    22.48    14.39    27.14    46.35
2054     26.45    30.25    68.06    25.35    35.89
2055     24.19    22.17    17.67    25.97    44.04
2056     29.39    40.54    73.44    39.02    40.33
2057     25.59    32.07    40.84    33.55    46.48
2058     23.38    27.44    29.13    32.26    41.41
2059     20.28    26.77    32.14    23.94    26.72
2060     29.48    38.78    26.92    28.95    60.93
2061     34.70    54.09    70.62    44.69    47.10
2062     24.36    21.74    18.75    30.39    46.71
2063     25.74    30.47    49.61    37.07    40.62
2064     27.92    31.62    25.41    39.42    54.93
2065     21.28    28.64    41.44    29.94    23.46
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     47.48    60.06    77.28    68.85    80.88
2082     34.58    53.89    46.68    54.13    60.38
2083     31.88    34.52    38.46    44.22    67.10
2084     31.79    41.53    44.73    37.23    58.02
2085     33.70    43.24    32.98    43.49    73.32
2086     41.78    63.79    83.57    61.58    63.99
2087     32.96    38.90    55.77    50.75    54.67
2088     28.38    31.52    31.34    33.39    54.48
2089     42.23    54.70    78.29    62.75    73.20
2090     33.89    48.82    56.17    47.73    59.81
2091     32.21    40.51    45.30    46.39    64.66
2092     36.12    56.49    65.77    47.04    55.52
2093     33.03    48.02    31.62    46.00    58.99
2094     46.87    75.07    83.77    63.35    70.32
2095     35.87    40.50    67.85    44.02    70.92
2096     40.50    58.92    77.39    55.16    66.58
2097     30.65    37.59    43.63    42.79    56.05
2098     32.82    49.69    60.05    44.72    53.67
2099     33.57    43.70    34.13    45.92    68.21
2100     40.54    67.54    74.04    54.16    63.95
Projections under SRES B1 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
