Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
 YEAR  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960    5.22   31.09   54.92   18.95   19.14
 1961   13.57   19.53   28.44    9.80   34.37
 1962   17.49   40.37   28.99    9.93   25.40
 1963   19.82   33.71   35.63    8.06   16.68
 1964    7.05   39.38    5.18   12.12   12.78
 1965    7.16   19.46   18.48    6.16   17.90
 1966   10.18   26.60   20.16    6.28   36.97
 1967   14.98   33.54   30.85   23.82    9.14
 1968    8.07   23.30   29.25    5.86   29.08
 1969    9.12   27.58   16.81    6.61    9.69
 1970   16.80   42.31   30.36    4.87   29.32
 1971    9.54   45.33   18.27   14.66   17.95
 1972   14.52    7.15   52.23    5.92   23.34
 1973   18.76   34.38   27.29   10.86   24.30
 1974    9.91   23.81   17.80   11.46   35.37
 1975   11.05   23.78   15.64    5.61   22.49
 1976   30.81   53.28   39.84   15.12   20.13
 1977   22.67   23.83   33.97   10.76   28.53
 1978   27.03   65.24   27.70    5.24   20.50
 1979   25.34   59.41   17.13    8.94   21.23
 1980   13.16   36.03   36.65    3.80   35.90
 1981   16.13   28.29   11.55   10.70   43.64
 1982   20.25   46.36   56.43   11.65   40.78
 1983   17.17   41.12   22.42   10.28   29.81
 1984   16.37   45.65   29.00    5.96   15.85
 1985    9.42   17.05   25.58   12.50   17.91
 1986   16.87   44.81   31.89   11.86   28.50
 1987    5.62   22.44   38.28    6.79   21.54
 1988    8.01   40.92   13.98   12.59   14.02
 1989   15.69   30.25   31.96    6.22   33.12
 1990    7.15   27.09   24.05    6.99   29.04
 1991   16.54   36.75   23.28    5.72   16.69
 1992   12.17   34.78   22.19    8.37   24.05
 1993   14.57   38.97   33.72    9.18   17.15
 1994   11.03   32.08   14.86    7.37   19.76
 1995   11.43   35.82   32.72   11.04   21.17
 1996   16.28   41.92   29.97    5.71   27.39
 1997   14.21   24.49   26.38    9.19   25.18
 1998   18.63   27.43   35.40    6.45   23.99
 1999   19.44   62.44   15.45   10.32   31.06
 2000    9.65   22.85   23.04    2.19   18.94
Projections under SRES A2 scenario
 2000   14.47   56.64   36.97    3.70   11.36
 2001   14.60   17.88   29.08    6.12   18.88
 2002    7.25   30.72   31.89    9.50   16.25
 2003    8.72   35.72   23.67    4.35   25.89
 2004    2.29    7.82   24.82    3.80   11.71
 2005   11.45   33.67   12.60    7.80   29.43
 2006   12.40   38.57   26.02    8.34   26.22
 2007   17.09   44.93   54.30    6.02   25.81
 2008   11.71   32.08   36.88   17.94   30.50
 2009   14.94   27.74   44.74    6.40   22.81
 2010   21.75   36.91   36.12   21.69   30.64
 2011   14.87   46.04   30.57    7.16    4.97
 2012   17.66   32.22   35.18   16.96   24.10
 2013   11.41   30.33   18.88    9.75   16.26
 2014   11.56   35.43   17.76   13.61   19.42
 2015    5.90   50.92   17.20    5.09    6.00
 2016   14.17   51.43   19.67    4.48   14.86
 2017   18.17   37.62   15.97   14.11   29.30
 2018   27.97   56.82   19.49    5.73   33.05
 2019   15.38   34.93   40.27    2.98   23.42
 2020   13.21   35.50   16.26    6.52   30.88
 2021   13.46   60.02   40.24   10.05   17.61
 2022   13.08   33.63   17.95    7.68   15.81
 2023   16.10   36.90   36.05   13.13   45.67
 2024   22.12   35.31   67.53    8.89   25.30
 2025   16.75   32.00   59.06    5.07   27.10
 2026   17.55   34.65   29.39    9.34   19.14
 2027   33.05   65.05   39.63    4.92   22.62
 2028   17.49   33.85   34.33    5.57   12.11
