Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     DJF     MAM     JJA     SON
         94.8   173.1   121.0     8.9    76.2
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960    1.47   12.01   15.36   -2.05   10.18
 1961   -8.03  -47.31   -7.15   -1.48   23.83
 1962    4.81   24.85    2.05   -0.81   -6.83
 1963  -13.68   13.99  -40.27   -4.46  -23.99
 1964  -10.98   16.40  -31.91   -3.93  -24.49
 1965  -15.36  -49.40    4.43    0.79  -17.26
 1966   10.18   -0.17   18.59    2.61   19.68
 1967   -4.83  -11.36    4.56    0.70  -13.20
 1968   -1.47  -17.90   -3.19   -5.48   20.69
 1969    3.02   21.19   11.95   -3.17  -17.90
 1970    5.88    3.73   21.18    4.87   -6.25
 1971   -0.88   11.10    5.44   -3.67  -16.39
 1972    9.00  -10.29   22.76    0.20   23.34
 1973   -2.21   16.88    0.58   -3.87  -22.44
 1974  -11.62  -29.17    4.30   -1.97  -19.65
 1975  -22.21  -46.46  -42.75   -3.73    4.10
 1976   30.81   53.28   39.84   10.00   20.13
 1977    9.48   21.30   17.53   -2.65    1.74
 1978   -9.73  -27.57   -6.20   -4.86   -0.31
 1979   -2.44   -5.77  -17.93    1.98   11.97
 1980   -1.53   28.31  -29.08   -4.66   -0.71
 1981  -21.96  -46.77  -36.61   -2.87   -1.60
 1982   20.25   -4.46   56.43    2.25   26.78
 1983   17.17   27.10   14.49    1.43   25.67
 1984   16.37   29.57   29.00    5.96    0.93
 1985   -3.00   17.05  -14.67   -0.63  -13.75
 1986    3.80    2.76  -14.53   -1.53   28.50
 1987  -14.38  -40.16    4.62   -1.52  -20.45
 1988   -9.30  -19.01    4.58    2.07  -24.85
 1989   -1.56   -1.22   -2.74    0.35   -2.65
 1990    6.59   22.11  -27.93    3.13   29.04
 1991  -15.58  -13.74  -25.96   -6.24  -16.40
 1992   -4.09    6.77   -1.91   -1.15  -20.06
 1993   -4.35  -30.26   32.76    1.10  -20.99
 1994    0.83    2.52   14.86    7.37  -21.46
 1995   -1.62    3.56   -0.62   -4.24   -5.16
 1996   13.57   16.73   13.12    3.04   21.39
 1997    6.17   16.58    9.55   -4.10    2.64
 1998   -4.51   -0.73  -26.15   -5.51   14.36
 1999   -8.93   -3.74  -43.96    9.43    2.53
 2000   -7.29  -18.64   -7.96   -3.68    1.12
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   -3.38    2.03    9.58
 2002   -0.81  -23.90   17.13   -0.81    4.32
 2003   -1.25    5.82   -8.25   -2.50   -0.09
 2004   -2.98   -7.47   14.32   -0.03  -18.73
 2005  -18.73  -29.02  -11.14   -4.10  -30.67
 2006    9.09   -0.17   13.03    5.75   17.75
 2007    7.83   44.93   -0.04   -1.81  -11.76
 2008    5.67   32.08   19.17   -2.39  -26.17
 2009   14.94   -9.81   44.74    2.02   22.81
 2010   21.75   36.91   36.12   -1.25   15.24
 2011  -14.92  -10.28  -42.94   -4.70   -1.77
 2012   -3.35   -2.05  -15.46   -3.57    7.70
 2013   -3.05   17.41  -10.78    2.71  -21.55
 2014   -5.02  -19.30   -0.48   -3.89    3.60
 2015    1.94   50.92  -22.64   -0.19  -20.35
 2016   10.09    9.82   19.67    4.48    6.40
 2017  -23.59  -32.85  -42.50   -4.77  -14.21
 2018   -0.36   33.51  -10.22   -1.10  -23.61
 2019  -18.80  -24.22  -10.81   -3.91  -36.25
 2020  -11.96  -27.20  -17.32   -3.06   -0.26
 2021    5.69  -36.84   40.24   10.05    9.30
 2022    2.53   25.58    8.92   -2.52  -21.86
 2023    4.18   24.51  -21.15   -2.11   15.48
 2024   22.12   10.66   67.53    3.04    7.25
 2025    9.90   -1.05   59.06    0.79  -19.19
 2026   -4.02   18.52  -11.45   -2.62  -20.55
 2027  -14.00  -34.48   -1.09   -5.03  -15.39
 2028    3.94   18.27   19.46    1.71  -23.68
 2029   -4.01    6.17   19.49   -2.95  -38.74
 2030  -17.79  -46.02  -19.59   -4.53   -1.02
 2031   17.65    4.50   32.08    6.26   27.78
 2032  -10.27  -20.20    4.24   -1.80  -23.31
 2033   -2.97   43.29  -16.33   -5.50  -33.36
 2034    9.97   22.41    0.14    1.49   15.83
 2035   19.15   39.21   29.77   -3.09   10.70
 2036  -20.14  -41.83    4.94   -1.18  -42.50
 2037  -15.10  -48.30   -9.99   -4.27    2.18
 2038  -14.50  -23.43    2.73   -0.89  -36.42
 2039   -9.47  -24.26    8.76   -1.02  -21.39
 2040  -15.02  -47.37    4.22   -3.31  -13.63
 2041   -4.59  -17.78    0.76    2.97   -4.32
 2042    0.76   25.19   -2.13    5.19  -25.21
 2043  -15.68  -38.58   14.16   -6.57  -31.75
 2044   -1.36    6.74    8.60   -2.06  -18.73
 2045    4.76   -7.10    7.11   -0.88   19.92
 2046   -3.99   13.87  -10.48    1.15  -20.52
 2047   -8.21  -10.65  -15.02   -5.03   -2.14
 2048    1.15   -2.02   14.21   -0.05   -7.52
 2049   -9.21   -1.77   -4.95   -1.12  -29.02
 2050   -8.69  -41.91   17.73   -2.64   -7.91
 2051   -3.19   -8.78   17.19   -0.14  -21.02
 2052  -23.04  -42.48  -19.76   -0.05  -29.88
 2053  -12.51  -10.68  -22.71   -3.95  -12.69
 2054    0.34   -4.72   17.42   -3.48   -7.87
 2055  -23.06  -54.07  -13.81   -5.00  -19.37
 2056  -10.74  -30.36    9.74   -2.86  -19.47
 2057    6.53  -22.79   61.81   -4.51   -8.40
 2058    1.02   -8.40   24.29    7.84  -19.63
 2059   -6.61  -10.24    6.33   -6.63  -15.91
 2060   -0.70  -12.89    2.80   -3.16   10.43
 2061   20.69   44.91   36.84    2.49   -1.47
 2062  -16.35    4.95  -24.87   -6.87  -38.61
 2063    5.63   30.44   10.04   -0.22  -17.73
 2064    7.75    5.07   27.73   -4.61    2.79
 2065   -4.45    4.87   -8.76   -1.65  -12.27
 2066    2.77   17.38    8.32    6.85  -21.45
 2067   11.08    8.99   52.24    3.47  -20.38
 2068   -9.87  -25.80   18.46    0.34  -32.46
 2069   -6.38  -23.32   17.68   -5.42  -14.46
 2070   -0.20  -34.51   48.48    1.47  -16.25
 2071   21.57   32.05   24.97    6.42   22.83
