Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     DJF     MAM     JJA     SON
         49.0    76.3    69.4     8.1    42.1
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -2.44  -10.95   11.19   -0.99   -2.76
 1961    1.79   -0.52    5.69   -2.20    4.19
 1962    0.45   -0.52    3.86   -1.99    0.46
 1963   -6.44    4.68  -18.56   -4.65   -7.23
 1964    3.51   16.91   -4.47    0.31    1.31
 1965   -4.63   -0.89   -8.00   -0.49   -9.14
 1966    1.39  -15.69   20.16    0.11    0.99
 1967    8.07   24.34   11.25    3.81   -7.11
 1968  -13.52  -28.98  -12.32   -1.44  -11.33
 1969   -7.58  -10.27  -17.56   -1.59   -0.90
 1970   16.80   42.31   -2.85   -1.57   29.32
 1971   -4.75   -2.51   -7.91    1.73  -10.31
 1972   -6.90  -25.10  -10.98    1.40    7.10
 1973   -3.40  -19.77   -4.24    2.74    7.69
 1974    3.78   -2.32   11.23    1.92    4.27
 1975   -4.90  -14.67   -3.71   -2.27    1.06
 1976    8.30   17.19   18.08   -0.81   -1.25
 1977   10.98    5.70   18.14   -1.63   21.72
 1978    5.52   24.92    2.85   -3.09   -2.60
 1979   12.21   36.37   15.80   -2.16   -1.18
 1980    8.78   27.00   17.82   -2.42   -7.28
 1981    4.75   10.71   -6.03    4.00   10.34
 1982   -0.83   -4.52    3.42   -1.52   -0.70
 1983    2.01    8.67    7.43   -1.66   -6.39
 1984   -3.42   -5.91   -1.62    4.03  -10.20
 1985   -3.49  -17.67    4.87   -1.26    0.09
 1986    1.39    4.01    4.70   -2.58   -0.57
 1987    3.84  -18.88   16.41    1.15   16.67
 1988   -0.86   -3.19   -1.39   -0.72    1.87
 1989    0.96   30.25  -23.03   -2.59   -0.78
 1990    1.10   -9.91    1.34    1.04   11.91
 1991    2.82   -1.74   17.88    0.31   -5.17
 1992  -17.14  -38.91  -20.57    0.37   -9.44
 1993   12.70   38.97   14.40    1.05   -3.63
 1994   -3.37    0.07    0.96    3.09  -17.61
 1995  -12.79  -24.80  -10.11    0.95  -17.21
 1996  -12.77  -28.20  -14.85    1.83   -9.84
 1997  -17.16  -33.30  -25.37    1.71  -11.69
 1998  -10.98  -14.59  -23.45   -3.25   -2.62
 1999    6.82   19.81    0.79    0.23    6.43
 2000   -7.41   -6.73   -5.87    1.79  -18.81
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   10.24    3.58  -11.54
 2002   -8.62  -23.70   -6.84    0.69   -4.62
 2003   -2.57   -0.33   -7.56   -1.00   -1.41
 2004   -8.93  -14.17   -0.79   -3.87  -16.86
 2005  -11.13  -38.67    3.07   -3.10   -5.80
 2006   -8.77  -15.00  -18.38   -4.32    2.62
 2007    1.66    7.08   11.30   -0.82  -10.93
 2008    6.77   17.56   14.80    1.42   -6.68
 2009    6.62   21.21    9.37    3.38   -7.50
 2010   -2.00   -6.37    9.40   -1.52   -9.50
 2011  -12.31  -21.43  -19.29    2.70  -11.23
 2012   -9.15  -33.63  -19.69    1.92   14.81
 2013   -0.57    3.16   -1.18    0.93   -5.20
 2014   -2.52  -10.93  -13.77    1.87   12.75
 2015   -6.01   -0.51  -14.79   -1.16   -7.57
 2016    6.89   29.51    2.74   -0.42   -4.25
 2017    4.51    7.75    3.85    3.38    3.06
 2018   -5.59   -8.25   -6.53   -0.64   -6.92
 2019   14.56   12.51   34.73   -2.50   13.50
 2020    4.82   25.50    4.85   -2.52   -8.53
 2021   -1.12  -13.74   11.03    0.30   -2.09
 2022   -0.34   -0.61   -3.31    1.87    0.71
 2023    3.08    5.93    2.62   -0.20    3.99
 2024   -3.50   -4.57   -6.11   -0.10   -3.22
 2025    2.91   10.98   -3.40    0.74    3.34
 2026    2.58  -26.63   24.24   -0.26   12.98
 2027   -7.20  -10.63  -21.48    0.77    2.54
 2028   -6.13  -31.67   -4.29    0.89   10.58
 2029   -0.19  -15.86   10.93    0.72    3.43
 2030  -17.21  -30.97  -26.60   -0.51  -10.74
 2031   -1.10    1.86  -18.42   -1.62   13.80
 2032   14.79   22.10   18.43    3.58   15.06
 2033   -0.80    3.83   -5.22    4.62   -6.42
 2034   -9.04  -25.46   -4.50    2.34   -8.56
 2035    2.17    6.48   21.96   -4.20  -15.54
 2036   -5.24  -19.11    7.23   -3.01   -6.06
 2037    0.85  -23.69   11.42    1.95   13.72
