Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     DJF     MAM     JJA     SON
         77.7   158.9   100.1     2.7    48.9
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -9.12    9.57    4.41    1.24  -18.39
 1961    5.65    8.79    4.83   -0.59    9.57
 1962   -1.85   -4.08    9.48    0.07  -12.89
 1963   -2.54   -1.94   -1.01    1.60   -8.81
 1964    1.90   15.98   -8.10   -1.29    0.99
 1965    1.49   -4.98   18.48   -0.16   -7.37
 1966    3.17   -0.10    6.49   -0.38    6.67
 1967   -3.15    1.12   -4.70   -1.12   -7.90
 1968    4.50   19.67    1.84   -1.33   -2.16
 1969   -2.50   -9.32    3.66   -0.30   -4.03
 1970   -5.50  -13.10   -4.85   -0.89   -3.19
 1971    2.58   -0.37   18.27   -0.19   -7.39
 1972   -0.35    0.12   -2.89   -1.59    2.96
 1973    7.23    4.61   25.05   -0.10   -0.62
 1974   -5.47   -5.78  -26.32    0.57    9.64
 1975    5.49   20.37   -4.76   -1.28    7.65
 1976   10.71   19.73   10.62   -0.35   12.82
 1977   -8.15   -3.65  -17.74   -0.22  -11.01
 1978   -5.68   -4.94  -16.68    2.54   -3.62
 1979   -3.86   -6.11    1.94   -0.27  -11.00
 1980   -7.79   -7.82   -9.94   -0.50  -12.89
 1981    0.47   -6.76   11.55   -0.46   -2.47
 1982    3.87   -2.54    2.46    0.80   14.77
 1983    5.75   12.13   15.57    0.31   -5.01
 1984    6.77   22.36   -9.18    0.67   13.22
 1985   -5.64  -15.31   -9.47    0.90    1.32
 1986    7.97   15.65   10.07   -1.01    7.19
 1987    4.32   -7.20   13.98    2.51    8.02
 1988   -1.84    5.42    0.49   -0.13  -13.16
 1989   -6.76  -21.76  -15.05   -0.48   10.26
 1990    3.09   -9.12   24.05    1.93   -4.51
 1991    5.47   31.56    1.51    1.29  -12.48
 1992    7.54    4.91   19.18    0.89    5.16
 1993   -6.33   -9.11  -10.71   -1.10   -4.40
 1994   -0.42   17.97   -7.85   -0.97  -10.83
 1995    1.74  -11.54   32.72    0.02  -14.25
 1996   -5.59   -5.66  -23.02   -1.29    7.62
 1997   -8.20  -11.47  -26.44   -0.41    5.52
 1998   -1.15  -13.38    8.28   -0.11    0.61
 1999   -0.28    0.79  -10.83   -1.10   10.03
 2000    8.07   13.76   23.04    2.19   -6.72
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   13.48   -1.11   -5.32
 2002    3.50    3.81    7.17    0.32    2.69
 2003    2.56   -3.25   23.67   -0.27   -9.92
 2004   -2.93    5.26  -11.28   -0.89   -4.81
 2005    2.45    2.26   11.52    0.67   -4.64
 2006    3.00   -8.37   26.02   -1.13   -4.50
 2007   -0.65    8.21   -9.21    0.59   -2.20
 2008    4.46   16.50    3.98   -0.14   -2.51
 2009    3.81    3.27   15.81    0.35   -4.19
 2010    2.55   -6.09   28.48    1.79  -13.98
 2011   -3.39   -2.41   -7.25   -0.76   -3.14
 2012   -4.54  -11.03   13.92    0.47  -21.53
 2013   -6.87   -9.53  -21.92   -1.28    5.27
 2014   -2.64    2.24   -7.59    0.20   -5.41
 2015    1.45    5.05   17.20   -1.58  -14.88
 2016   -1.67    3.01    1.95   -0.08  -11.56
 2017   -2.90   -8.89    5.21    1.64   -9.54
 2018    2.33   -4.84    1.75   -0.97   13.38
 2019    1.07   -3.01   23.76   -0.36  -16.12
 2020   -8.45  -15.02   -7.54   -1.08  -10.14
 2021   -6.49    5.06  -11.41   -0.88  -18.71
 2022    6.92    2.98   15.07   -0.45   10.09
 2023   -2.77   14.15    0.55   -1.01  -24.78
 2024   12.57   20.37   38.32    0.97   -9.39
 2025   -9.77    4.40  -18.36   -0.45  -24.66
 2026   -0.80    3.19   11.49   -0.17  -17.71
 2027   -6.78   -4.82  -12.01   -1.03   -9.25
 2028    0.29   -5.87   14.65   -1.28   -6.35
 2029   -8.46   -8.22   -7.43   -0.92  -17.25
 2030   -6.11   -9.71    4.28   -0.88  -18.12
 2031    2.64    6.94   20.82   -0.69  -16.53
 2032    8.17   12.71   35.12   -0.15  -15.00
 2033   -0.56   -1.90    0.07   -0.46    0.03
 2034    6.56    7.31   31.99    0.85  -13.90
 2035   -3.07    9.54   -1.69   -1.67  -18.46
 2036    5.15    9.59   26.69   -1.45  -14.25
 2037   -4.39    0.00   -5.39   -1.64  -10.53
