Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
        20.23   21.72   20.20   17.10   21.91
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960   -0.73   -0.68   -0.33   -0.88   -0.51
 1961   -0.11   -0.22    0.24   -0.05   -0.42
 1962   -1.04   -0.89   -0.93   -1.15   -1.20
 1963   -1.18   -0.97   -1.01   -1.64   -1.10
 1964   -0.53   -0.35   -0.50   -0.26   -1.01
 1965   -0.76   -0.62   -0.33   -0.95   -1.13
 1966   -1.17   -1.09   -0.77   -1.69   -1.14
 1967    0.13    0.26    0.19    0.03    0.03
 1968   -0.45    0.01   -0.09   -1.05   -0.67
 1969   -0.46   -0.55   -0.74   -0.03   -0.53
 1970   -0.09    0.05    0.58   -0.72   -0.27
 1971   -0.74   -0.71   -0.25   -1.05   -0.96
 1972   -0.52   -0.65   -0.45   -0.65   -0.32
 1973   -0.07    0.21   -0.54   -0.13    0.18
 1974   -0.14    0.27   -0.01   -0.32   -0.51
 1975   -0.55   -0.75   -0.93   -0.04   -0.48
 1976   -0.76   -0.73   -1.11   -0.58   -0.60
 1977    0.16   -0.07    0.21    0.17    0.35
 1978   -0.03   -0.06   -0.02   -0.04   -0.01
 1979   -0.61   -0.36   -0.50   -0.82   -0.77
 1980   -0.40   -1.08   -0.55   -0.32    0.33
 1981    0.11    0.47    0.08   -0.08   -0.05
 1982    0.07    0.02    0.02    0.61   -0.38
 1983   -0.08   -0.46    0.12   -0.26    0.27
 1984    0.41    0.52    0.20    0.96   -0.03
 1985   -0.34    0.02    0.30   -0.92   -0.76
 1986   -0.23   -0.28   -0.09   -0.37   -0.20
 1987    0.48    0.38    0.73    0.80    0.01
 1988    0.14    0.09   -0.29    0.12    0.63
 1989   -0.05    0.19   -0.21   -0.35    0.15
 1990    0.55    1.10    0.60    0.64   -0.13
 1991    0.15   -0.05    0.28    0.07    0.30
 1992    0.06    0.00   -0.18   -0.19    0.59
 1993    0.77    0.40    0.41    1.14    1.13
 1994    0.75    0.77    0.89    0.96    0.38
 1995   -0.05    0.15    0.00   -0.06   -0.30
 1996    0.05   -0.11   -0.33    0.09    0.55
 1997    0.98    0.99    0.63    1.69    0.60
 1998    0.29    0.27    0.36    0.06    0.49
 1999   -0.29   -0.58    0.05   -0.43   -0.19
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    0.06   -0.17    0.03   -0.32    1.11
 2001    1.15    1.45    1.06    1.34    0.74
 2002    0.38    0.28    0.20    0.95    0.07
 2003    0.15   -0.16   -0.04    0.12    0.70
 2004    1.02    1.11    0.96    0.83    1.17
 2005    0.97    0.82    0.70    1.42    0.93
 2006    1.54    1.30    1.43    2.08    1.36
 2007    1.28    1.72    1.03    1.40    0.98
 2008    0.33    0.39   -0.11    0.39    0.65
 2009    0.78    0.73    0.57    0.59    1.23
 2010    1.10    1.33    1.06    0.84    1.17
