Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     DJF     MAM     JJA     SON
         94.8   173.1   121.0     8.9    76.2
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960    1.55    6.94   12.69  -23.18   13.37
 1961   -8.47  -27.33   -5.91  -16.65   31.27
 1962    5.08   14.35    1.70   -9.11   -8.97
 1963  -14.43    8.08  -33.28  -50.39  -31.49
 1964  -11.59    9.47  -26.37  -44.32  -32.15
 1965  -16.20  -28.54    3.66    8.91  -22.65
 1966   10.74   -0.10   15.37   29.50   25.83
 1967   -5.09   -6.56    3.77    7.88  -17.33
 1968   -1.55  -10.34   -2.64  -61.83   27.16
 1969    3.18   12.24    9.88  -35.75  -23.49
 1970    6.20    2.15   17.50   54.99   -8.21
 1971   -0.93    6.41    4.50  -41.46  -21.51
 1972    9.50   -5.94   18.81    2.27   30.64
 1973   -2.33    9.75    0.48  -43.71  -29.45
 1974  -12.26  -16.85    3.55  -22.25  -25.79
 1975  -23.43  -26.83  -35.33  -42.08    5.38
 1976   32.50   30.78   32.93  112.89   26.42
 1977   10.00   12.30   14.49  -29.96    2.29
 1978  -10.27  -15.92   -5.12  -54.83   -0.40
 1979   -2.57   -3.33  -14.81   22.38   15.71
 1980   -1.62   16.35  -24.03  -52.61   -0.93
 1981  -23.17  -27.01  -30.25  -32.43   -2.09
 1982   21.36   -2.57   46.63   25.41   35.15
 1983   18.11   15.65   11.97   16.14   33.69
 1984   17.26   17.08   23.96   67.30    1.22
 1985   -3.17    9.85  -12.12   -7.09  -18.05
 1986    4.01    1.60  -12.01  -17.28   37.41
 1987  -15.17  -23.20    3.81  -17.12  -26.85
 1988   -9.81  -10.98    3.78   23.39  -32.61
 1989   -1.65   -0.70   -2.26    3.96   -3.47
 1990    6.95   12.77  -23.08   35.31   38.12
 1991  -16.44   -7.94  -21.45  -70.43  -21.52
 1992   -4.31    3.91   -1.58  -12.96  -26.33
 1993   -4.59  -17.48   27.07   12.43  -27.55
 1994    0.87    1.46   12.28   83.25  -28.17
 1995   -1.71    2.05   -0.51  -47.91   -6.77
 1996   14.31    9.66   10.84   34.36   28.08
 1997    6.51    9.58    7.89  -46.31    3.47
 1998   -4.75   -0.42  -21.61  -62.15   18.84
 1999   -9.42   -2.16  -36.33  106.50    3.32
 2000   -7.69  -10.76   -6.58  -41.56    1.47
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN   -2.79   22.91   12.57
 2002   -0.86  -13.80   14.16   -9.11    5.67
 2003   -1.32    3.36   -6.82  -28.24   -0.12
 2004   -3.14   -4.31   11.83   -0.28  -24.58
 2005  -19.76  -16.76   -9.20  -46.30  -40.26
 2006    9.59   -0.10   10.77   64.89   23.29
 2007    8.26   25.95   -0.03  -20.40  -15.44
 2008    5.98   18.53   15.84  -27.00  -34.34
 2009   15.76   -5.67   36.98   22.80   29.94
 2010   22.95   21.32   29.86  -14.16   20.00
 2011  -15.74   -5.94  -35.49  -53.04   -2.33
 2012   -3.53   -1.18  -12.78  -40.35   10.11
 2013   -3.22   10.06   -8.91   30.54  -28.29
 2014   -5.29  -11.15   -0.40  -43.96    4.72
 2015    2.04   29.41  -18.71   -2.18  -26.71
 2016   10.65    5.67   16.26   50.58    8.40
 2017  -24.88  -18.98  -35.13  -53.89  -18.66
 2018   -0.38   19.36   -8.45  -12.45  -30.99
 2019  -19.83  -13.99   -8.94  -44.12  -47.58
 2020  -12.62  -15.71  -14.32  -34.57   -0.34
 2021    6.00  -21.28   33.26  113.45   12.20
 2022    2.67   14.77    7.37  -28.42  -28.69
 2023    4.41   14.16  -17.48  -23.80   20.32
 2024   23.34    6.16   55.81   34.31    9.52
 2025   10.44   -0.61   48.81    8.93  -25.19
 2026   -4.24   10.70   -9.46  -29.60  -26.97
 2027  -14.77  -19.91   -0.90  -56.79  -20.20
 2028    4.16   10.55   16.08   19.35  -31.08
 2029   -4.23    3.56   16.11  -33.34  -50.84
 2030  -18.77  -26.58  -16.19  -51.11   -1.34
 2031   18.62    2.60   26.51   70.62   36.46
 2032  -10.83  -11.67    3.50  -20.31  -30.59
 2033   -3.14   25.01  -13.49  -62.14  -43.78
 2034   10.51   12.94    0.12   16.80   20.78
