Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     DJF     MAM     JJA     SON
1960      NaN     NaN     NaN     NaN     NaN
1961    21.48   22.55   22.17   18.73   22.84
1962    21.45   22.52   21.68   18.74   22.87
1963    21.46   22.67   21.68   18.87   22.64
1964    21.43   23.15   22.05   18.17   22.33
1965    21.44   22.42   21.60   18.91   22.83
1966    21.75   22.84   21.93   19.27   22.97
1967    21.49   22.85   21.82   18.72   22.55
1968    21.41   22.52   21.82   18.58   22.70
1969    21.80   22.82   22.42   19.24   22.70
1970    21.79   22.94   22.25   19.14   22.82
1971    21.49   22.30   21.87   19.05   22.75
1972    21.62   22.51   21.93   18.98   23.08
1973    22.23   23.68   22.61   19.39   23.24
1974    21.51   22.54   21.87   19.02   22.62
1975    21.70   22.43   22.22   19.12   23.02
1976    21.17   22.20   21.39   18.39   22.71
1977    21.99   23.05   22.22   19.46   23.23
1978    21.74   22.83   21.83   19.30   22.99
1979    22.19   23.16   22.57   19.62   23.39
1980    22.12   23.30   22.55   19.19   23.43
1981    21.89   23.10   21.84   19.32   23.31
1982    21.89   23.43   21.94   19.10   23.09
1983    22.41   23.38   23.27   19.65   23.33
1984    22.23   22.77   22.85   19.86   23.43
1985    22.09   23.34   22.43   19.40   23.20
1986    21.66   22.79   21.80   19.49   22.56
1987    22.61   23.35   23.17   19.83   24.10
1988    22.39   23.51   22.78   19.79   23.48
1989    22.06   22.46   22.03   19.58   24.20
1990    22.81   23.61   22.86   20.61   24.14
1991    22.32   22.81   22.83   19.97   23.66
1992    22.58   23.35   23.50   19.52   23.95
1993    22.37   23.09   22.71   20.05   23.64
1994    22.18   22.81   22.78   19.26   23.87
1995    23.31   24.06   23.33   20.85   25.01
1996    22.87   23.34   23.33   20.21   24.62
1997    22.59   23.00   22.16   20.85   24.36
1998    23.56   24.60   24.20   20.88   24.54
1999    22.53   23.19   23.20   20.50   23.24
2000    22.50   22.56   22.58   20.20   24.67
2001    22.69   23.59   23.13   20.38   23.66
2002    23.04   24.05   23.47   20.93   23.69
2003    23.19   23.93   23.68   20.69   24.45
2004    22.37   23.41   22.59   19.59   23.90
2005    23.32   24.27   23.55   20.62   24.82
2006      NaN     NaN     NaN     NaN     NaN
