Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         34.95    42.17    27.91    25.25    36.93
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -34.95      NaN      NaN      NaN      NaN
1961     -1.59     1.63   -11.17     6.71     0.35
1962      0.51   -20.96   -17.73     4.24     2.09
1963     -1.33    22.54     8.24   -14.84    14.01
1964      0.54     4.91    -0.00     1.73    -0.12
1965     -4.75    -0.89   -12.37    -2.75    -2.85
1966      1.95     4.50     3.40     0.73    -0.76
1967     -2.74    -0.54     8.84    -4.67     0.05
1968      2.93    -9.72    -4.71    -5.09    14.76
1969     -1.19    20.31   -18.15     3.24     5.60
1970    -13.23   -16.63   -10.68    -8.86   -27.94
1971      5.97   -26.05     1.06     5.73    10.07
1972     -4.15     2.48     3.60    -4.21   -17.10
1973     -0.18     5.16     4.00    -3.13   -13.58
1974      5.06   -32.55     8.58     6.57    -4.98
1975      8.35   -29.46     2.15     6.84     8.82
1976     -9.38    -7.52    -7.30    -6.67   -17.21
1977      8.39    -1.87    -3.61    -0.07    30.27
1978     -2.46    -4.87     4.94     3.42    -8.45
1979     -0.41     2.62    -6.22    -1.25    16.21
1980     -4.78    26.98     6.74    -8.39   -12.65
1981    -10.95     8.61   -19.43    -9.25    -0.34
1982      3.53   -33.77     0.77    10.56   -26.74
1983     11.15     4.26     9.61    12.71     1.68
1984      1.20    -2.10    -1.41     4.86    -0.89
1985     -1.29    23.31    -3.69    -5.74     3.58
1986     10.56    18.84     9.55    18.77    -1.07
1987     -2.49    -3.89    -3.80     0.26    -3.74
1988      5.32    22.03    11.19    -5.24    22.46
1989     -0.47    32.29    -5.26     6.55    -0.53
1990      1.44    15.52    -5.02     4.78    -3.47
1991      2.16   -15.20   -18.59     6.96     6.42
1992     -9.73    -8.72     6.56   -13.06   -11.38
1993     -1.60     1.02    -5.17     5.52    -6.09
1994     -4.21    -7.34   -12.59    -5.18     8.09
1995      6.28    -9.81     2.52     2.93    23.16
1996     -1.68     0.22    -2.69     2.19     3.89
1997     -1.82    26.98    18.42   -12.25    -9.07
1998      3.12    -9.94    11.43    -3.61    16.07
1999     -3.71    19.39     4.31   -11.72    14.52
2000     -4.97    23.10    -7.05     4.49    -4.97
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      5.00   -18.48     0.17    10.23     6.85
2047      4.30     5.99     4.84     0.96     3.46
2048      2.51   -19.02    10.59    -6.25    11.09
2049      6.82    27.26     6.76    10.38     4.34
2050     11.44     7.05    -0.73    16.19    16.27
2051      9.55     0.85    17.61    13.74   -25.10
2052     10.21    28.93     8.63     9.22    16.16
2053     -1.16    15.33     4.61     1.85    -9.87
2054      1.67     2.20     2.15    -0.71     6.32
2055      4.96   -22.75     3.82     6.34     2.63
2056      1.68    -6.70    -3.09     6.50    -3.77
2057     11.09     6.92     6.54    14.19     8.98
2058     -0.45   -28.83    -1.18    -1.90     5.68
2059      8.87     0.35     5.63    12.91     5.61
2060      0.91   -12.98   -10.84     3.82    21.06
2061      1.54   -28.03    -5.90    -5.35    19.76
