Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         51.72     9.24    33.58    44.92    14.77
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     17.59     1.30    -0.51    22.04     3.36
1962      8.05    -4.57     1.94     8.38    32.73
1963    -20.06     3.04   -11.57   -14.05     0.65
1964     13.53    -3.25    16.08     8.27    -4.02
1965     30.23    -0.96    17.86    25.83    13.62
1966    -14.63     1.60   -10.32    -7.92    -5.20
1967      0.09     2.12     2.13    -1.59    18.70
1968     -2.52     0.68    -6.25     3.56     4.12
1969      7.38     2.64   -16.25    13.46     6.60
1970     16.41    -1.30   -11.81    23.18    -2.85
1971      2.85     1.93     1.88     9.45    -0.98
1972      5.17    -1.22   -12.51    10.86    -6.35
1973    -10.76     1.46     3.93   -12.37    -3.12
1974      4.58    -0.15    15.03   -19.63    -2.74
1975      6.93     3.67    17.85     5.91    -0.18
1976     12.03     2.47    24.07    -7.07     1.84
1977     -7.98     0.28     9.08   -14.04    -0.35
1978     -8.84    -0.60     7.52   -14.21    16.80
1979    -12.61     1.07    -3.65    -8.24    -6.19
1980     -2.38    -4.52   -15.78     4.36    -3.36
1981     21.85    -2.37    20.46    25.34     0.38
1982     -8.40    -2.58   -11.48   -11.92    15.83
1983    -16.67     1.63   -15.68    -9.87    -2.59
1984     -7.86    -1.61     7.66    -8.32    -2.75
1985     18.62     0.89    21.64     6.90    -3.28
1986     -9.13     0.93    -7.37   -11.66    13.26
1987     19.32    -0.54     4.67    22.05    -0.79
1988      3.51    -3.42   -11.87     9.88    -4.16
1989     18.42     1.58    13.64    22.69    -3.22
1990     -9.34    -0.51    -6.31    -2.67     2.39
1991     21.08     4.44     2.90    25.96    -1.71
1992     -1.40    -0.19   -17.86     5.39    -5.64
1993     -5.40    -1.64    -9.19    -1.74    -2.00
1994     -2.18     1.39    -7.61     4.09     1.68
1995     -6.56     2.13    -2.79   -13.02     4.28
1996      2.48     0.57     1.74     2.04     0.75
1997    -22.78    -3.50   -11.93   -16.44    -4.31
1998    -18.44     0.38   -14.84   -12.21     0.84
1999     -2.54    -0.68     8.62   -14.68    -1.48
2000    -12.24    -0.66    -6.90    -6.52    -0.96
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046    -14.18     0.57    -0.27   -16.30    -2.82
2047      1.18     0.26    -4.11     6.23     2.36
2048    -23.62     2.10   -12.94   -25.65     6.82
2049    -18.71    -0.76   -14.96   -12.62    -4.36
2050    -11.69     0.23     0.21    -6.67     0.07
2051     -6.97     3.48   -14.82    -0.75    -0.40
2052      5.99    -1.38     8.57     8.47    -1.27
2053      2.79     1.63     3.55     8.96    -6.31
