Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         23.10    12.02    21.58    16.69    14.06
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -0.32     0.66     0.11     0.35     2.67
1962     -0.20    -1.24    -0.53     2.20    -1.21
1963      0.13    -2.96     1.62    -1.17    -0.02
1964     -2.57    -1.85    -1.33    -1.32     3.12
1965     -2.22    -1.81    -2.21    -0.43     0.61
1966      1.78    -3.53     2.49    -2.36    -1.76
1967      1.53     2.00     2.15     4.09     0.15
1968     -0.67    -2.74     0.23     0.56     1.01
1969      0.42     2.53     1.39     3.96     2.63
1970     -1.42    -1.90    -0.59    -1.41    -0.87
1971      1.59    -0.64     2.01     2.50    -4.60
1972     -0.70    -1.87    -1.04     2.89     1.82
1973      0.35     3.02     1.28    -0.16    -0.99
1974     -0.81     1.48     0.09     0.83    -1.86
1975     -3.91    -3.11    -4.34     0.18    -0.31
1976     -2.35     2.06    -4.00    -1.59    -0.23
1977      0.77     3.53    -1.16     3.46     5.17
1978      2.65     0.18     2.48     3.24     4.15
1979      0.73    -3.07     2.16    -2.22     2.24
1980     -1.44    -0.77    -0.50    -4.00    -5.39
1981      1.83    -0.01     2.63    -2.23     0.78
1982      0.10    -2.64     1.36    -2.50    -1.98
1983     -4.35    -4.28    -7.68    -1.67    -1.69
1984     -0.41     6.95    -0.13     0.90     0.61
1985     -1.21     3.59    -0.80     2.57    -2.70
1986     -1.56    -0.55    -0.45    -1.88    -3.15
1987     -0.23    -0.37    -3.82     3.30    -1.98
1988     -1.32    -1.45    -2.59    -0.83     4.80
1989     -1.48     2.64    -3.38     2.56     2.95
1990      2.61    -1.26     3.78     0.75    -1.84
1991      2.86     1.19     2.87     1.27     3.99
1992      5.07    -2.04     6.25     0.91    -0.45
1993      3.79    -7.53     4.57    -0.19    -1.21
1994     -2.02     4.55    -2.35    -1.92    -1.84
1995      0.10    -1.30    -0.28    -1.66     4.37
1996      0.98    -1.66     2.02    -0.11     1.76
1997      2.88    -1.12     2.68     2.25    -0.65
1998     -2.15     4.83    -1.08    -1.76    -2.78
1999     -0.93     1.55     0.01    -3.51     1.90
2000       NaN      NaN      NaN      NaN      NaN
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
