Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
        102.79    28.53    87.10    94.81    68.55
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -1.35   -12.05     9.63    -7.08   -21.57
1962      2.26    -5.67    -5.17     5.46    -9.97
1963     -4.05    -0.93     1.91    -6.65     9.31
1964    -15.68    25.28   -20.38    -8.15    -8.15
1965    -19.38    -2.42   -16.23   -13.28   -20.77
1966      2.25    -7.47    -7.86    -0.60    11.90
1967     -5.24   -13.13   -10.79    -3.90    -4.06
1968    -18.23    10.61   -31.23   -27.61    10.23
1969     -0.08    -9.49   -11.57    -0.45    10.86
1970     -5.12    -1.88     2.98    -0.10   -28.24
1971      1.54   -12.52   -13.93     8.66    -9.52
1972     -6.09    13.43     2.40    -3.40     4.90
1973     -2.59     8.34     8.58    -1.80     1.23
1974      8.86   -10.87     7.84    11.12     5.82
1975     -1.99   -15.61     0.65    -2.86     4.78
1976    -11.94   -12.41    -0.93   -17.56     5.72
1977     23.04    21.82    -6.88    30.15     2.05
1978     -8.90     2.42    -5.82    -7.87    -0.30
1979     -3.75    37.97   -15.28    -2.97    -7.98
1980      5.56    29.93    12.44    -0.62    15.50
1981     -4.48     1.19     7.95   -11.27    -1.45
1982    -13.68    -8.18    -0.32   -17.08   -13.85
1983     -6.59    -7.49   -12.76     0.75   -11.17
1984    -13.72    -6.74    -5.72    -9.63   -24.06
1985     -1.72     9.81     4.43     1.07    -3.20
1986     -3.63   -11.89    -4.80     1.52    -0.83
1987    -22.12    -7.53   -12.64   -23.74     0.44
1988     -0.45    -2.07     7.69    -1.49    11.85
1989      1.71    -5.43     0.91     7.17    -4.11
1990     11.05   -11.16   -12.23   -17.42    35.42
1991      2.27    -0.64    14.74    -7.71     0.69
1992     -4.11    19.95    -8.23     2.13   -19.79
1993     -6.37    -2.49    -0.20    -5.66     3.88
1994      2.09   -16.42     2.19     7.19    14.57
1995     10.70    -8.95    23.82    -0.35    17.23
1996     30.00     7.85    -3.71    37.45   -17.54
1997     19.45    -4.74    19.37    25.51    -8.01
1998      2.49    -4.43    -4.28    -1.96    20.84
1999     -1.51    -1.27    -8.27     0.76     5.12
2000     -2.35   -17.51     5.79    -4.79   -23.12
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -6.65    -8.32     6.29   -16.55    -7.60
2047     -5.77     6.43     1.41    -3.05    -0.25
2048     -5.73    -3.15     7.81   -16.15     0.36
2049    -10.24   -12.24     5.45   -35.45   -27.11
2050    -15.91     8.50   -14.36    -8.82    -3.02
2051     24.76    -9.49    26.62    19.69   -20.63
2052     -2.40    -8.52    -0.80    -8.66   -15.96
2053    -32.59   -18.82   -22.01   -38.78    -7.60
2054     -0.13   -11.77    15.56   -34.26   -16.36
2055     -5.63   -21.99    -1.74    -2.86     1.08
2056     -2.76     5.55     8.53   -15.48     4.35
2057     -2.86    -9.51    -6.82   -12.67    19.43
2058     -6.92    11.46    -6.25   -26.28    21.31
2059    -17.43   -10.51   -20.09   -15.63     8.43
2060     17.51    -3.08   -16.29    24.45     1.95
2061     -8.99   -12.59    -5.92   -14.86    -7.61
2062     -4.98    -8.16     0.76    -8.90    15.62
2063     11.35   -12.22    26.88    -8.15   -12.46
2064      5.70   -10.65     0.72   -13.27    16.31
2065     -3.70     3.84    -3.87    -9.85     8.54
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -6.37    -2.29    -4.00    -5.34   -18.30
2082     47.22   -19.56    -7.15   -33.10    80.47
2083     -2.79    -8.68     1.52   -24.64    13.03
2084     -5.95   -14.75     7.56   -11.39     7.11
2085      5.71    -0.28     7.10   -32.40    23.79
2086     -5.82    -5.06     6.31   -18.88   -10.66
2087     -9.70   -16.83   -12.27   -16.04     6.35
2088    -17.39   -14.22   -23.56   -30.80     7.99
2089    -11.97   -10.48     1.29   -15.21    -6.03
2090     -0.94    -9.45    -6.45     1.34   -16.89
2091    -15.27    -4.62   -15.38   -26.22    -7.65
2092     -6.49    -9.44     9.12   -29.15    -0.74
2093     -8.90   -13.07    -3.72   -19.32     8.83
2094    -25.78    10.88   -23.97   -44.07     3.47
2095    -20.48    -3.87   -30.54   -27.34     8.34
2096     73.95    -5.49    88.81   -26.19    22.69
2097     -3.28     6.32    12.24   -43.57   -26.04
2098     -5.86   -20.58     9.65   -26.45   -23.28
2099     -5.58   -18.34     2.58    -9.69    -0.05
2100    -13.89   -13.97    -1.44   -27.96     0.41
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     -0.30   -16.34    14.93   -15.96   -10.17
2047      5.10    -0.12    16.75   -11.61   -12.22
2048    -15.67    -7.00    -8.91   -36.72     9.53
2049    -11.90     0.45     0.14   -21.54    -0.01
2050     -4.65   -19.60   -12.82   -24.84    24.13
2051     -4.33    -9.28    -0.02    -8.97   -30.11
2052     -0.48    -9.99    -8.83     3.82   -15.33
2053    -12.62    -2.97    -0.45    -9.90    -5.55
2054    -24.68   -14.95   -10.32   -25.03   -10.12
2055     21.62    29.12    28.39    -5.50    -6.10
2056     -4.64   -10.99    -1.47   -12.29    22.53
2057     21.73    -2.76    37.25    -8.79   -15.96
2058    -19.97    -1.84   -14.77   -26.15    -8.09
2059     -2.63    13.46   -19.56     4.11     0.85
2060    -17.49   -15.45    -8.02   -23.23    -1.03
2061    -15.78    -6.08    -8.34   -19.35    12.68
2062      4.09    -9.07     6.06    -8.76    20.26
2063    -15.08   -10.86   -13.41    -8.93     3.98
2064    -17.73   -12.18   -11.63   -25.17     1.67
2065    -17.29   -11.88    -9.43   -18.85    -4.43
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     -2.55   -10.52    -4.74   -20.13   -11.36
2082     -2.79    11.63     8.32   -24.04    15.02
2083     22.61    -7.47    38.29   -24.44    -0.18
2084    -24.23   -10.11   -23.32   -30.30    -1.52
2085     -6.09   -10.34     2.94    -5.14     8.08
2086      9.31     5.43    -4.32    -2.12    18.79
2087     20.68     2.17    22.48    -3.28    11.19
2088     11.34    -2.72    24.99   -22.53    10.78
2089      6.21    -9.19   -17.70   -29.78    38.40
2090      5.94   -22.21    20.19   -13.50    16.29
2091    -21.80   -14.58   -15.52   -16.97   -13.77
2092      2.14    19.26     3.00   -36.33    19.93
2093    -17.48    -9.99   -15.07   -29.58     5.76
2094    -21.90   -15.61   -25.91   -38.90    10.10
