Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.01    10.03     9.98     9.96     9.94
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     12.71    11.91    14.45    13.10     4.15
1962      6.62     2.64     5.95     1.41     2.95
1963      2.51     2.46     0.80     0.56     0.73
1964      7.75    11.34     6.15     6.54     2.49
1965      6.00     4.11     4.25     5.12     0.91
1966      4.08     2.61     3.06     4.84     3.23
1967     10.41     8.32    14.33     7.27     2.20
1968      7.32     5.85     4.30     7.29     0.91
1969      6.90     5.47     8.08     4.58     1.77
1970     11.49    10.54    17.25    12.22     4.51
1971      5.93     3.98     5.43     2.53     4.55
1972      6.52     4.78     5.73     2.41     7.63
1973      9.34     9.86     8.92    10.55    16.72
1974     11.09    15.82     9.02     6.64     0.52
1975      8.15     4.80     8.92     1.30     3.68
1976      7.12     7.27     4.63     0.75     6.24
1977      9.67     7.95     9.04    15.02     6.55
1978     12.44    11.83    11.20    21.33    21.23
1979     11.74    10.27    15.46     3.97     3.21
1980      6.09     6.16     4.50     1.46     8.70
1981     15.69    10.34    25.77    19.15     6.57
1982      9.02     6.39    12.67     8.92     9.76
1983      6.31     7.96     3.21     8.28    25.71
1984     10.86    11.34     9.47     8.08     4.79
1985      5.85     7.41     3.39     3.33     4.61
1986      6.09     5.60     5.12    10.99     6.74
1987     15.40    16.70    16.41    26.55    20.08
1988      8.97    11.71     6.12     2.84    19.98
1989      4.75     5.77     2.67     3.88     9.31
1990     11.95    13.21    11.84    16.16     5.66
1991     10.36     9.58     9.53     6.16    11.81
1992      9.75     7.43     9.59    13.69    14.48
1993     15.84    14.36    18.32    29.86    25.13
1994     18.53    23.20    21.37    26.43     6.21
1995      9.85    14.08     5.77     4.69     3.73
1996     11.23     8.85    11.99    14.07     8.82
1997     12.99    15.42    14.11     9.48     8.55
1998      8.31    11.11     6.50     4.79    10.16
1999      9.11     7.10     5.51     3.31    12.66
2000     13.91    21.91     6.43    33.50    13.24
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     27.58    41.72    37.75    50.43    16.95
2047     21.39    22.97    30.95    23.97    16.81
2048     21.94    32.97    21.16    39.56    22.94
2049     29.02    34.86    47.32    55.18    35.65
2050     26.61    33.14    37.18    36.13    36.33
2051     28.94    29.54    45.68    53.43    66.03
2052     36.92    57.84    55.38    62.21    52.31
2053     28.78    39.55    38.95    38.22    41.04
2054     28.53    40.33    40.97    54.49    49.76
2055     34.07    42.52    57.92    63.02    43.47
2056     28.66    36.27    29.13    63.39    57.64
2057     31.67    45.57    42.44    53.04    45.29
2058     24.46    46.40    18.27    32.99    43.50
2059     35.47    50.07    50.09    61.83    50.05
2060     40.13    53.76    57.85    75.57    39.82
2061     26.96    40.48    34.23    35.89    27.58
2062     28.94    36.31    41.75    57.70    44.60
2063     38.54    55.63    56.38    70.33    64.20
2064     33.69    54.81    43.30    53.54    59.57
2065     32.18    46.05    40.75    42.28    33.05
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     32.90    47.84    45.18    70.55    61.55
2082     51.48    70.63    68.03    86.63    85.83
2083     42.96    66.28    63.65    72.25    70.64
2084     37.18    52.05    57.41    71.53    58.82
2085     41.80    62.12    62.15    76.86    72.56
2086     49.53    70.51    67.04    90.07    88.02
2087     36.83    60.10    48.22    65.56    80.98
2088     43.37    59.97    69.62    74.86    77.84
2089     45.59    70.82    73.50    81.28    76.64
2090     40.34    62.10    53.80    82.83    71.74
2091     36.64    56.54    51.21    72.00    67.61
2092     44.32    73.53    68.30    75.63    79.37
2093     49.64    74.30    72.66    83.00    82.44
2094     40.44    68.12    52.42    73.18    83.65
2095     39.74    61.69    45.63    79.38    90.28
2096     48.54    76.85    67.24    78.02    87.39
2097     45.51    70.78    71.28    60.38    69.37
2098     40.30    69.89    42.36    75.16    81.97
2099     52.66    80.76    72.63    84.13    89.59
2100     42.21    65.27    57.75    67.12    77.46
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
