Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00     9.99    10.00     9.97     9.98
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.74     1.46     8.22     6.03     1.71
1962      7.23     3.02    18.38     7.36     2.52
1963      9.66     5.63     9.95     9.40     4.07
1964      6.37     3.74     0.76     2.68    14.30
1965      7.99     9.09     1.62    16.95     3.19
1966      9.70     9.65     1.90     8.88    18.85
1967      6.23     5.44     1.88     5.54     9.23
1968      8.28     4.61    14.93     7.83     5.97
1969     12.72    12.85    22.68    10.79     3.76
1970      5.32     4.35     1.00    11.66    10.73
1971      8.11     4.34    12.55     2.15    10.38
1972      6.63     3.91     7.66     6.10     3.28
1973     11.40    13.51    17.82    12.05    13.42
1974      7.30     6.94     1.60     3.21    10.28
1975     10.22    12.57     2.26    21.20    16.83
1976     12.24    16.03    12.13     9.14     7.93
1977      7.03     5.34     0.63     8.16     4.13
1978      7.75     5.76     2.65     9.37    11.73
1979     10.18    11.08     4.51     7.60    20.23
1980      4.22     2.86     0.88     4.97     1.48
1981      4.04     1.52     2.26    14.60     9.11
1982     12.65    11.27    16.37    14.77    11.56
1983     11.95    15.32     5.95     5.34    11.08
1984     12.14    15.20     2.39    11.69    13.40
1985     10.41     8.79    11.72     2.81    11.60
1986     12.02    11.27    10.04    10.25     6.08
1987     19.69    22.36    32.45    11.67     3.73
1988      6.38     3.05    15.29     7.14     6.95
1989     15.02    23.24    14.84     5.67     8.14
1990      6.45     6.08     6.55     4.63     8.74
1991      7.79     3.91     4.83    13.87     2.65
1992      9.61     6.77    11.54     6.25    10.24
1993     11.99    17.99    10.02    15.98    10.55
1994     14.04    11.86    28.88    15.37    18.27
1995     11.43    11.31     6.33    14.28    14.43
1996      9.59     6.02     7.13    10.63    11.40
1997     11.70     8.22    15.20     5.10     4.80
1998      7.21     4.96     8.43    16.54    15.78
1999     15.34    23.95    26.23    16.75    10.54
2000     14.94    24.67    20.45    10.79    18.36
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
