Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.74     1.46     1.20     0.11     1.47
1962      5.51     2.59     2.52     1.17     2.52
1963      2.51     1.33     0.29     0.45     0.73
1964      3.02     1.81     0.03     0.00     0.98
1965      0.89     0.00     0.00     0.00     0.54
1966      4.08     1.31     0.91     0.22     0.07
1967      4.03     3.25     0.26     0.87     0.70
1968      4.22     1.36     1.41     0.91     0.91
1969      2.33     0.55     2.13     0.03     1.37
1970      5.28     3.51     0.30     0.67     1.47
1971      3.12     2.56     1.33     1.62     1.99
1972      4.02     0.98     0.68     1.34     2.19
1973      5.68     2.61     2.45     0.04     3.94
1974      5.98     3.22     1.60     2.95     0.52
1975      6.47     3.58     1.20     0.82     0.84
1976      4.85     1.36     0.50     0.75     1.45
1977      3.36     2.36     0.24     2.40     0.25
1978      6.71     3.02     2.65     1.44     3.49
1979      6.15     0.85     0.56     0.44     0.74
1980      4.22     2.86     0.88     0.02     1.48
1981      4.04     1.52     2.26     5.66     4.50
1982      4.97     2.38     0.00     3.93     0.02
1983      5.82     0.94     1.61     1.70     4.25
1984      6.67     1.69     2.39     4.46     4.48
1985      4.18     0.94     2.21     2.81     4.61
1986      4.29     0.28     1.62     0.27     0.59
1987      6.57     3.94     0.56     2.21     0.05
1988      6.38     3.05     5.35     2.13     6.51
1989      4.75     5.77     1.17     1.33     6.79
1990      6.45     4.97     5.17     4.63     5.66
1991      7.79     3.91     4.78     0.80     0.45
1992      3.59     1.35     0.08     0.83     0.01
1993      4.93     0.98     2.21     0.00     6.10
1994      7.14     4.94     1.68     6.23     6.21
1995      4.15     0.64     1.65     4.09     3.73
1996      6.34     1.93     2.33     3.01     2.03
1997      7.10     7.83     4.92     0.00     3.39
1998      4.86     4.96     0.56     2.36     5.02
1999      7.65     6.87     0.06     3.31     6.52
2000      6.54     6.40     4.40     2.39     2.81
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     17.00    27.72     9.35    27.22     9.41
2047     17.91    22.90    15.88    15.92    16.81
2048     15.67    20.03    12.60    13.97    11.03
2049     14.93    21.67    13.75    15.64    28.17
2050     20.95    30.81    18.83    25.27    16.60
2051     21.84    25.70    29.97    29.17    41.04
2052     21.04    25.80    25.56    31.80    31.68
2053     20.24    31.88    21.62    18.82    21.30
2054     11.83    11.07    12.90    29.48    11.72
2055     21.88    27.70    22.64    31.76    27.84
2056     24.83    34.10    19.02    32.96    25.32
2057     21.23    26.74    23.61     4.94    11.95
2058     21.09    18.73    16.63    21.55    34.70
2059     25.46    35.08    23.73    25.61    23.94
2060     20.14    24.32    15.87    40.58    21.96
2061     26.96    40.48    23.37    35.89    27.58
2062     22.52    26.09    22.04    29.94    31.89
2063     26.58    32.52    27.60    40.64    19.25
2064     21.39    41.25    15.19    15.71    33.48
2065     14.56    13.28     8.80    29.83    27.93
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
