Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        26.38   26.54   27.70   25.26   26.04
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    0.15   -0.18   -0.09    0.83    0.03
 1961   -0.23    0.63   -0.19   -0.58   -0.78
 1962   -0.58   -1.32   -0.52   -0.32   -0.15
 1963   -0.42   -0.32   -0.34   -0.21   -0.80
 1964   -0.67   -0.50   -0.67   -0.68   -0.84
 1965   -0.98   -0.79   -1.02   -1.21   -0.91
 1966   -0.70   -0.69   -0.34   -1.02   -0.77
 1967    0.10    0.35   -0.26    0.18    0.11
 1968   -0.40    0.01   -0.30   -0.61   -0.69
 1969    0.09    0.12    0.39   -0.30    0.16
 1970   -0.83   -0.45   -0.94   -1.29   -0.64
 1971   -0.08   -0.84   -0.01    0.58   -0.05
 1972   -0.14   -0.20   -0.06   -0.19   -0.10
 1973   -0.24   -0.41   -0.50   -0.08    0.01
 1974    0.04    0.24    0.23   -0.23   -0.09
 1975    0.05    0.28    0.09   -0.25    0.09
 1976   -0.43   -0.69   -0.04   -0.51   -0.50
 1977    0.17    0.02    0.13    0.49    0.05
 1978   -0.02    0.20   -0.09   -0.30    0.12
 1979   -0.20    0.13   -0.31   -0.30   -0.32
 1980    0.34    1.36    0.14   -0.11   -0.03
 1981    0.38    0.22    0.61    0.72   -0.03
 1982    0.20    0.53    0.18    0.21   -0.12
 1983   -0.53   -1.26   -0.48   -0.11   -0.28
 1984   -0.16   -0.29   -0.16   -0.03   -0.19
 1985    0.16    0.73   -0.06    0.12   -0.15
 1986   -0.30   -0.65    0.15   -0.60   -0.10
 1987   -0.15   -0.36   -0.26   -0.25    0.29
 1988    0.26   -0.32    0.14    0.78    0.44
 1989    0.01    0.09    0.40   -0.12   -0.33
 1990    0.20   -0.09   -0.15    0.53    0.52
