Mean Temperature (Degrees C) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960    26.36   26.77   27.77   24.66   26.23
1961    26.78   26.99   28.89   24.79   26.46
1962    26.22   27.68   27.75   24.15   25.31
1963    26.39   26.78   28.23   25.06   25.51
1964    26.05   27.65   27.69   23.83   25.02
1965    26.07   26.98   27.42   24.47   25.41
1966    26.32   27.43   27.87   24.75   25.22
1967    26.10   27.01   27.71   23.92   25.75
1968    26.31   27.37   26.97   24.63   26.29
1969    26.56   28.32   28.08   24.16   25.68
1970    26.53   28.07   28.41   24.09   25.54
1971    26.26   27.36   27.99   23.85   25.86
1972    26.56   27.96   27.17   24.89   26.25
1973    26.86   28.44   28.32   24.70   25.98
1974    26.50   27.50   28.20   24.71   25.60
1975    26.14   27.20   27.57   24.05   25.73
1976    25.87   27.10   27.16   24.09   25.14
1977    26.60   27.69   28.47   24.50   25.73
1978    26.19   27.97   26.63   24.41   25.74
1979    26.85   28.16   28.00   25.13   26.13
1980    26.79   28.60   28.25   24.54   25.76
1981    26.70   27.98   27.83   24.55   26.43
1982    26.56   27.67   27.89   24.83   25.86
1983    27.25   27.80   29.16   25.07   27.00
1984    26.99   28.06   28.14   25.34   26.41
1985    26.95   28.49   28.49   24.52   26.31
1986    26.79   28.32   28.67   24.50   25.69
1987    27.66   28.66   29.52   25.68   26.77
1988    27.11   28.63   28.62   24.78   26.40
1989    26.70   26.97   28.66   24.76   26.42
1990    27.27   28.29   28.55   25.07   27.16
1991    26.89   28.82   27.68   25.08   26.00
1992    26.63   28.00   28.05   24.39   26.08
1993    27.10   27.51   28.86   24.97   27.06
1994    26.86   28.46   28.38   24.93   25.67
1995    27.12   27.85   28.66   25.25   26.71
1996    27.16   29.07   28.44   24.98   26.16
1997    27.06   28.07   27.73   25.47   26.98
1998    27.61   28.76   29.27   25.44   26.98
1999    27.28   28.53   28.98   25.12   26.50
2000    27.32   28.12   29.17   25.39   26.60
2001    27.46   28.15   28.99   25.43   27.25
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
