Mean Monthly Precipitation (mm) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
       Annual     JFM     AMJ     JAS     OND
         85.5    15.9   110.5   183.8    31.7
Timeseries in anomalies relative to 1970-1999 mean (mm)
YEAR   Annual     JFM     AMJ     JAS     OND
1960    12.82    8.29   18.49   31.25   -7.67
1961    11.03    0.34    8.19   37.66   -3.00
1962    -2.79  -11.60   -7.28    6.91   -0.13
1963    20.82    7.67   46.88   28.00   -0.21
1964    -8.92  -16.14    2.61  -14.02   -9.05
1965    -0.74    2.32  -16.24   13.67   -3.61
1966     7.56   -0.64    2.21   10.22   17.51
1967     9.49    5.72    3.57   24.76    2.98
1968     0.47    3.96   18.80   -8.62  -13.21
1969     6.69   14.03   37.25  -35.98   10.51
1970    -4.54   -8.91   -4.54  -10.35    4.72
1971    11.93   13.37   -9.83   33.26    9.99
1972    -2.84    0.84  -12.65    8.08   -8.57
1973   -11.18   -9.87    7.27  -27.30  -15.77
1974     2.25   -2.83    2.80    2.26    5.86
1975     7.28    0.40   15.97    9.19    2.64
1976     1.55    0.25   -4.98    1.47    8.54
1977    -5.02    7.92    4.26  -26.87   -6.33
1978     0.56    6.74  -14.62   10.27   -1.07
1979      NaN   -7.91   16.33     NaN     NaN
1980      NaN     NaN     NaN     NaN     NaN
1981      NaN     NaN     NaN     NaN     NaN
1982      NaN     NaN     NaN     NaN     NaN
1983      NaN     NaN     NaN     NaN     NaN
1984      NaN     NaN     NaN     NaN     NaN
1985      NaN     NaN     NaN     NaN     NaN
1986      NaN     NaN     NaN     NaN     NaN
1987      NaN     NaN     NaN     NaN     NaN
1988      NaN     NaN     NaN     NaN     NaN
1989      NaN     NaN     NaN     NaN     NaN
1990      NaN     NaN     NaN     NaN     NaN
1991      NaN     NaN     NaN     NaN     NaN
1992      NaN     NaN     NaN     NaN     NaN
1993      NaN     NaN     NaN     NaN     NaN
1994      NaN     NaN     NaN     NaN     NaN
1995      NaN     NaN     NaN     NaN     NaN
1996      NaN     NaN     NaN     NaN     NaN
1997      NaN     NaN     NaN     NaN     NaN
1998      NaN     NaN     NaN     NaN     NaN
1999      NaN     NaN     NaN     NaN     NaN
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
