Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         85.5    15.9   110.5   183.8    31.7
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual     JFM     AMJ     JAS     OND
1960    13.09   35.00   13.73   16.83  -15.71
1961    11.26    1.44    6.08   20.28   -6.14
1962    -2.85  -48.97   -5.40    3.72   -0.26
1963    21.25   32.40   34.81   15.08   -0.43
1964    -9.10  -68.16    1.94   -7.55  -18.54
1965    -0.75    9.78  -12.06    7.36   -7.41
1966     7.71   -2.68    1.64    5.50   35.87
1967     9.68   24.14    2.65   13.33    6.11
1968     0.48   16.71   13.96   -4.64  -27.06
1969     6.83   59.27   27.66  -19.37   21.54
1970    -4.63  -37.62   -3.37   -5.57    9.67
1971    12.18   56.48   -7.30   17.91   20.47
1972    -2.90    3.56   -9.39    4.35  -17.55
1973   -11.41  -41.67    5.40  -14.70  -32.31
1974     2.30  -11.95    2.08    1.21   12.00
1975     7.43    1.67   11.86    4.95    5.40
1976     1.59    1.04   -3.70    0.79   17.50
1977    -5.13   33.43    3.16  -14.47  -12.97
1978     0.57   28.48  -10.86    5.53   -2.20
1979      NaN  -33.41   12.13     NaN     NaN
1980      NaN     NaN     NaN     NaN     NaN
1981      NaN     NaN     NaN     NaN     NaN
1982      NaN     NaN     NaN     NaN     NaN
1983      NaN     NaN     NaN     NaN     NaN
1984      NaN     NaN     NaN     NaN     NaN
1985      NaN     NaN     NaN     NaN     NaN
1986      NaN     NaN     NaN     NaN     NaN
1987      NaN     NaN     NaN     NaN     NaN
1988      NaN     NaN     NaN     NaN     NaN
1989      NaN     NaN     NaN     NaN     NaN
1990      NaN     NaN     NaN     NaN     NaN
1991      NaN     NaN     NaN     NaN     NaN
1992      NaN     NaN     NaN     NaN     NaN
1993      NaN     NaN     NaN     NaN     NaN
1994      NaN     NaN     NaN     NaN     NaN
1995      NaN     NaN     NaN     NaN     NaN
1996      NaN     NaN     NaN     NaN     NaN
1997      NaN     NaN     NaN     NaN     NaN
1998      NaN     NaN     NaN     NaN     NaN
1999      NaN     NaN     NaN     NaN     NaN
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
