Mean Monthly Precipitation - Observed Records - % Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     JFM     AMJ     JAS     OND
         88.1    15.9   112.8   190.8    33.1
Timeseries in anomalies relative to 1970-1999 mean (%)
YEAR   Annual     JFM     AMJ     JAS     OND
 1960   13.09   35.00   13.73   16.83  -15.71
 1961   11.26   21.48    6.08   20.28   -6.14
 1962   29.16   10.33   42.31   16.85   86.69
 1963   36.57   54.89   34.81   43.49   77.08
 1964    8.85   24.43   10.84   16.92  -18.54
 1965    3.38   17.40   16.37    7.36   -7.41
 1966    7.71   -2.68   26.48    5.50   35.87
 1967   16.13   77.83   13.70   13.52   15.75
 1968   26.70   38.76   37.68   24.45   17.97
 1969   12.22   59.27   27.66    6.45   72.98
 1970    2.57   17.40   -3.37   21.37    9.67
 1971   12.18   56.48   -7.30   17.91   20.47
 1972   -1.52   22.53   20.50    4.35   14.74
 1973   -3.95    8.16    5.40   -1.86   -4.28
 1974    4.88   12.96    2.08   19.31   12.00
 1975    9.05   24.33   11.86   14.13    5.40
 1976    1.59    1.04   14.72    0.79  106.76
 1977   -5.13   33.43    3.16  -12.22  -12.97
 1978    8.70   86.91   37.17    5.53   25.63
 1979   14.60    9.00   17.81   17.21   13.78
 1980    0.79  -44.61   -7.53    3.25   39.62
 1981   -4.54  -13.46   12.92   -7.09  -38.30
 1982   -9.76   26.73   -2.90  -18.28   12.03
 1983  -23.42  -44.73   -8.60  -23.97  -59.22
 1984   -4.06   42.78   10.49  -14.62   -1.61
 1985    0.51    5.43  -16.72   17.50  -35.92
 1986   -4.82   15.10  -13.14   -3.96   19.17
 1987   -8.26   11.03  -21.21   -1.57  -13.85
 1988   15.82   13.12   18.36   24.79  -30.78
 1989    8.54   11.72   -2.24   12.91   39.85
 1990   -7.57  -50.55   -4.95   -3.90   -7.44
 1991   19.03   58.05   51.37    0.71    2.61
 1992   -3.52  -73.69    7.21   -0.13  -23.84
 1993   -3.97   22.33  -17.94    8.50  -13.24
 1994   10.27   -6.05   -4.10   15.06   80.47
 1995    9.34   13.80   -2.20   16.67   12.75
 1996    2.09   11.25    5.57    4.67  -18.27
 1997    7.10   50.23   32.99  -21.39   75.51
 1998   15.80  -23.69   23.22   16.04   10.80
 1999    7.74   27.79  -16.37   27.82   39.07
 2000   -5.22   -2.05  -11.77   -3.85   17.24
 2001  -17.33  -68.40   -9.31  -11.30  -60.43
 2002    0.39   -4.48   -8.02    3.78   10.99
 2003   15.92  -20.46   16.62   15.65   32.23
 2004    5.62  -18.99    8.15    2.06   30.78
 2005   -5.10   39.33   -9.45   -5.06  -10.65
 2006   -4.91   23.88  -16.33   -3.20   11.38
