Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -1.23     0.03    -0.52     0.20    -0.66
1962      0.14     0.06    -0.26    -0.69    -0.16
1963     -1.98    -0.63     0.13    -0.20    -1.23
1964     -1.06    -1.07     0.22    -0.67    -1.66
1965     -0.48     0.04    -0.63    -0.15    -1.57
1966      0.34    -0.44    -1.29     0.13    -0.52
1967     -1.06    -0.50    -0.57    -0.55    -1.10
1968      1.74    -0.72    -0.20    -0.99    -0.07
1969     -0.05    -0.22     0.07    -0.34    -3.12
1970     -1.07    -0.61    -0.09    -0.39    -0.44
1971     -1.18     1.76    -0.72    -0.27    -1.49
1972      0.41    -0.27    -0.25     1.15     0.61
1973     -1.24    -1.58     0.91    -1.99    -0.77
1974      0.35    -0.67    -0.88     1.11     0.02
1975     -0.71    -0.07    -0.39    -0.59     0.26
1976     -0.23     0.56     0.65    -1.11    -0.88
1977     -0.35     0.85    -0.09    -0.89     0.26
1978      0.24     0.22     0.50    -0.78     0.28
1979      0.33     1.20    -0.92     0.52    -0.73
1980      1.53     0.53     0.54    -0.22     0.38
1981     -0.05    -0.01     0.38    -1.14     0.33
1982     -0.87    -2.28     1.52    -0.33    -1.93
1983      2.79    -0.33     0.27     0.68     1.37
1984     -0.51    -0.68    -0.21    -0.47    -0.96
1985     -0.55    -1.22     1.11    -1.62    -1.24
1986      2.30     0.26     1.09    -0.02     1.20
1987      0.27     0.03    -1.29    -0.02     1.21
1988      0.23     0.26    -0.35    -1.15     0.24
1989      0.12     0.23    -0.58     0.31     1.42
1990     -0.88     0.21    -0.21    -0.09    -0.58
1991     -2.37    -0.01    -0.89    -1.99    -1.07
1992     -2.43     0.12    -2.00    -1.30    -0.58
1993     -1.45    -0.84    -1.24    -0.07    -1.45
1994      0.39    -0.01     0.57     0.14    -1.32
1995      1.12     0.90    -0.22     1.07     0.45
1996      0.60     0.69     0.50     0.08     1.47
1997     -0.36     0.37    -0.58    -0.74    -0.70
1998     -0.22     1.00    -0.78    -0.26    -0.69
1999      0.19    -0.23    -0.75     0.37     1.56
2000       NaN      NaN     0.64     0.32    -0.36
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046       NaN      NaN     1.01    -0.78     1.29
2047      0.62    -0.22    -0.73     0.07     1.70
2048      3.48     0.49     1.44     0.59     2.08
2049      0.88     2.07     0.83     0.93     0.94
2050      0.30    -0.57     0.30     0.24    -0.07
2051      1.28    -0.91     1.23     0.89    -0.66
2052      3.70    -0.74     0.20     1.07     2.06
2053      2.62    -0.29    -0.51     1.26     1.46
2054      2.43     0.14     0.30     1.01     0.56
2055      1.15    -0.55    -0.31     2.09     0.56
2056      1.68    -1.71     1.63     0.54     1.99
2057      1.97     0.40    -0.88     0.29     2.89
2058      0.66     0.44    -0.22    -0.22    -0.04
2059      1.48     1.69     0.94     0.10     0.60
2060      2.02     0.01     1.75     0.42     2.28
2061     -0.31     0.51     0.27     0.40     0.74
2062      2.27     0.11     0.35     0.46     2.12
2063      1.90    -1.11     0.95     1.36     1.67
2064      1.47     0.04     0.66     1.87     0.85
2065       NaN      NaN     1.55     1.71     0.33
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
