Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -5.77    -3.31   -11.58    -3.54   -11.87
1962     -6.24    -2.11   -13.09    -5.32    -8.10
1963    -13.17    -4.57   -12.89    -9.93    -8.01
1964     -4.42    -3.03    -3.49    -4.61   -12.53
1965     -6.10    -2.73    -3.26   -11.74    -8.83
1966     -1.83    -2.80    -5.96   -13.48    -7.80
1967     -5.35    -3.34    -8.36    -6.16    -5.70
1968     -7.01    -3.29    -2.48    -4.05    -5.18
1969     -4.40    -3.82    -9.74    -6.25    -7.51
1970     -9.32    -2.77    -6.77   -15.34    -6.45
1971    -12.71    -3.21    -7.95    -8.83    -5.75
1972     -5.47    -4.80    -4.77    -2.69   -10.26
1973    -10.20    -2.72    -3.11    -5.84   -14.28
1974     -3.08    -3.26    -3.67    -7.77    -5.93
1975     -4.98    -3.19    -6.54    -4.63   -12.87
1976     -6.67    -3.11    -2.98    -6.78    -5.79
1977     -4.56    -3.48    -8.62    -4.08    -4.98
1978     -4.31    -3.26    -2.16    -2.34    -3.92
1979     -3.57    -4.16   -10.67    -6.15    -4.45
1980     -4.90    -3.82    -8.81    -3.78    -9.02
1981     -4.83    -3.38    -4.38   -13.62    -7.57
1982     -7.06    -3.72    -5.11    -3.92    -9.80
1983     -6.13    -2.34    -5.98    -4.40    -2.95
1984     -3.80    -3.84    -1.54    -5.56    -8.67
1985     -5.57    -3.97    -9.61   -11.40    -6.87
1986     -4.60    -4.05    -7.39    -3.16    -7.51
1987     -5.90    -2.10   -19.38    -4.33    -1.93
1988     -7.77    -2.83    -3.03    -6.04    -5.07
1989     -5.76    -3.62    -9.72    -4.45    -5.69
1990    -14.04    -4.66    -5.34    -6.13   -14.83
1991    -14.12    -3.44   -13.35   -12.00   -11.90
1992     -8.64    -3.89   -10.41   -14.91    -5.64
1993     -4.95    -2.25    -2.40    -4.98   -10.16
1994     -2.94    -3.81    -3.23    -3.62    -6.93
1995     -2.69    -3.66    -6.49    -7.05    -5.47
1996     -4.93    -5.60    -5.42    -2.46    -4.85
1997    -17.40    -3.36   -14.11   -10.11    -7.71
1998     -4.42    -2.46    -9.44    -3.92    -6.92
1999     -4.28    -3.31    -9.38    -2.28    -5.03
2000       NaN      NaN   -15.04    -6.91   -10.33
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046       NaN      NaN    -7.74    -5.19   -10.66
2047     -3.61    -2.19    -8.67    -3.97    -2.57
2048     -3.06    -3.96    -1.75    -7.69    -6.30
2049    -15.74    -1.95   -14.43    -5.98   -15.52
2050     -3.78    -4.25    -3.87    -8.17    -2.60
2051     -2.82    -4.71    -5.31    -0.83    -8.72
2052     -4.86    -3.27   -13.41    -2.62    -3.71
2053     -2.25    -4.66    -7.47    -3.30   -19.52
2054     -6.40    -3.49   -10.58    -2.08    -2.53
2055     -3.49    -2.23   -15.55    -1.91    -5.40
2056     -4.53    -3.65   -10.70    -2.18    -6.59
2057     -1.91    -3.15    -6.46    -4.12    -1.21
2058    -11.46    -2.67    -7.81    -4.74    -6.90
2059     -3.64    -3.07    -3.20    -5.92    -6.44
2060     -4.35    -2.78    -2.32   -17.74    -2.44
2061    -11.71    -3.99   -14.32    -5.20    -4.26
2062     -6.26    -4.10   -12.63    -3.07    -3.86
2063     -2.52    -3.15    -9.19    -1.48    -6.34
2064     -7.38    -4.63   -12.39    -4.01    -7.32
2065       NaN      NaN    -5.83   -14.20    -4.08
2066       NaN      NaN      NaN      NaN      NaN
