Maximum 1-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      DJF      MAM      JJA      SON
         32.68    10.10    26.34    27.20    25.07
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      DJF      MAM      JJA      SON
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     -3.48     0.72     1.48    -2.18    -3.93
1962     -1.95     0.44    -0.91    -0.08    -1.97
1963      2.65     5.09     0.13     6.78    -2.12
1964     -4.38    -3.03    -0.54    -4.61    -2.16
1965     -0.45    -1.76     2.73    -1.70    -1.57
1966     -1.51    -2.80     1.77    -0.97    -7.80
1967     -2.45    -3.34    -1.39    -0.90    -2.66
1968     -3.03    -0.64    -0.22    -3.42    -0.07
1969     -0.05    -3.82     3.42     0.91    -3.36
1970     -3.41    -2.77    -3.97    -2.51    -0.12
1971      1.21     4.52    -0.80     3.48     1.64
1972      1.56    -2.81    -1.19     1.15     4.45
1973      2.66    -2.72     5.47    -4.48     0.14
1974      2.32    -0.67    -1.41     2.95    -0.32
1975     -0.53    -0.27     2.50    -2.09    -2.17
1976      0.82    -1.98     4.29    -2.24    -0.81
1977     -1.95    -3.31    -0.79     0.68     0.26
1978     -0.06     3.50     2.23    -1.35     0.19
1979      4.13     2.41    -4.49     5.83     5.17
1980      3.37    -3.82     0.33     3.97     0.47
1981     -3.80    -2.61    -1.57    -1.78    -4.16
1982      1.77     4.54    -4.53    -3.92     7.84
1983      4.48    -0.33     7.06    -2.79     0.83
1984     -3.80     1.88    -1.45     0.17    -5.58
1985     -3.10     1.37    -2.19    -3.30    -1.24
1986     -0.11    -4.05    -2.67     0.29     1.20
1987      0.93     1.68    -2.18    -0.68     4.69
1988     -3.58     3.10    -0.82    -4.09    -1.02
1989      1.78    -2.43     5.10     0.91    -0.63
1990     -0.06    -2.75    -5.34     3.78    -4.29
1991      3.63    -2.31     7.68     1.72     1.89
