Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.97     9.95     9.99    10.02    10.02
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.86    10.13     7.07     9.02    11.24
1962      8.92    11.35     6.82     6.38     8.01
1963      4.66     4.44     3.98     7.14     6.23
1964      3.80     3.65     3.37     1.90     4.80
1965      3.39     5.61     1.21     2.31     3.11
1966      6.10     4.60     4.33     3.04    10.67
1967      6.83     4.71     7.56     6.39     6.04
1968      7.35     7.22     5.78     7.00     4.61
1969      7.91     6.51     9.24     4.65     8.79
1970     10.81    13.64    11.95     4.98     7.70
1971      6.26     6.50     6.26     3.53     7.31
1972      6.22     6.81     2.70     4.85     9.31
1973     10.75    11.48    10.37     9.63    10.20
1974     10.24     9.78    11.02    13.27     8.20
1975      6.27     7.12     6.48     3.51     5.31
1976      6.48     5.41     5.06     6.72     8.53
1977     10.04     9.16     8.77    10.20    10.36
1978      9.69    11.51     6.53    11.20     7.67
1979     10.10    11.66     8.05    10.07     9.36
1980     10.83    11.47     9.33    12.98    11.37
1981     11.15     8.88    11.30    15.76    12.80
1982     11.28    12.96    12.73     9.24     6.70
1983      6.26     5.34     5.90     8.58     6.08
1984     10.24     7.09    15.15    12.29     8.90
1985     10.58     9.35    12.37     9.90    11.86
1986      7.36     8.40     7.15     8.75     7.27
1987     12.21     8.75    12.51    15.81    13.00
1988     10.02     8.61    11.09     9.37    11.41
1989     11.03    14.19     8.37    13.11     9.37
1990     10.60     7.71    15.54     9.62     8.87
1991     11.01    13.79     7.95     8.69     8.74
1992      8.24     9.77     7.57     6.86    10.05
1993      9.79    10.85     9.36    13.32     6.99
1994      8.52     6.74     9.15     9.23    10.78
1995     12.36     9.36    16.41    15.43    11.02
1996     12.84    14.37    13.49     6.53    14.13
1997     11.82    11.96     9.26     8.82    16.10
1998      9.60     8.38     7.68     5.13    15.90
1999     16.51    17.60    20.32    23.34    15.41
2000     16.44    16.26    17.21    20.16    15.74
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     52.68    52.58    63.98    62.12    53.90
2047     54.05    58.42    66.08    65.56    45.08
2048     54.22    51.33    57.42    68.87    50.92
2049     59.40    56.00    76.31    70.79    54.02
2050     55.15    59.34    64.83    64.91    47.09
2051     61.86    50.48    68.77    80.66    60.24
2052     59.56    64.96    67.13    80.71    46.71
2053     54.48    45.11    61.30    71.05    54.69
2054     59.64    60.49    68.30    66.74    57.25
2055     68.28    66.82    74.41    85.95    61.66
2056     62.74    65.00    69.59    73.66    59.46
2057     64.98    63.70    79.28    73.74    60.87
2058     67.18    68.32    73.60    79.79    65.49
2059     55.35    57.85    62.50    66.63    54.27
2060     67.91    65.42    74.23    84.09    66.68
2061     67.59    58.78    82.84    88.07    56.37
2062     63.42    70.21    69.27    68.55    61.88
2063     68.33    62.63    76.67    86.02    64.77
2064     70.40    65.36    85.29    81.38    67.97
2065     69.19    62.26    77.71    81.61    71.69
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     80.13    67.38    87.08    96.39    77.79
2082     85.20    79.92    89.63    93.77    85.58
2083     85.77    78.09    92.20    98.39    81.87
2084     84.56    75.03    89.32    97.44    81.80
2085     84.53    74.07    88.11    97.84    83.71
2086     84.21    72.63    90.71    97.86    78.39
2087     83.94    82.51    89.55    96.61    75.90
2088     87.97    82.69    88.25    99.11    86.05
2089     86.13    80.38    92.67    97.39    83.82
2090     83.26    74.26    90.15    96.83    81.95
2091     85.96    75.32    86.70    97.79    91.57
2092     86.70    75.35    89.86    95.99    92.21
2093     88.04    68.52    92.91    99.35    90.09
2094     89.19    79.39    94.66    99.10    86.66
2095     90.77    80.14    95.47    98.63    87.72
2096     87.11    77.07    91.23    98.75    85.02
