Frequency of Cold Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00     9.98     9.99    10.00    10.01
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     14.19    19.87    14.94    16.08    14.70
1962     11.49    10.27    13.47     8.28    17.83
1963      8.11    15.79     6.55     4.51    14.63
1964     17.01    11.22    19.98    17.35    14.43
1965      6.82     7.08     4.59     9.44     5.73
1966     11.27    14.22     9.09    14.73     6.62
1967     18.68     8.13    15.00    34.07     8.95
1968     13.64    14.54    12.73    16.06    12.11
1969      6.14     5.00     0.37     9.53     9.36
1970     11.07    19.31    11.95     8.57    10.99
1971     15.80     7.13    19.41    18.74    10.81
1972     13.68    16.04     9.76    18.40    16.72
1973      6.29    10.84     0.97     7.19    10.15
1974     16.12     5.70     9.01    23.21    16.60
1975      4.92     8.37     5.34     4.54     2.90
1976      9.92     8.77     7.22     8.36    16.00
1977     18.42     9.82    33.48    13.59    18.76
1978     12.03     5.88    17.47    11.85     7.60
1979     11.86     5.92    11.69    16.72     4.83
1980     19.99    18.48    31.65    20.35    12.24
1981      7.71    24.36     5.94     5.58    10.95
1982      9.65     7.94    12.02     6.16    12.86
1983      9.39     7.57     7.69    11.29     8.36
1984      9.31     8.00    11.05     6.34     6.27
1985     10.35     7.69     6.27    14.02     4.72
1986      8.93     7.82     6.67     5.37    19.51
1987      7.89     1.73     1.37    11.46    10.63
1988     10.57    14.44    13.33     7.88    10.67
1989      7.93     3.56     4.95     8.89     7.44
1990     14.86    12.36    16.70    14.07    16.92
1991     10.24    10.86    14.85     7.33     9.92
1992      9.06    16.06     5.56     8.23     9.53
1993      5.36    11.90     2.74     6.25     5.06
1994      3.90     6.85     2.38     1.90     5.34
1995      7.93     5.55     9.19     6.76     6.14
1996      5.84     7.28     4.95     5.15     5.53
1997     10.79     8.06     5.90    12.66    11.45
1998      4.75    12.32     7.46     4.54     0.61
1999      5.47     8.87     2.70     4.67    10.74
2000      6.86     5.04     4.14     4.73     6.58
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      1.41     1.11     0.75     0.88     2.72
2047      3.75     4.38     0.91     3.74     2.62
2048      8.61     0.66     6.90     9.35     9.62
2049      1.80     8.68     1.26     0.07     3.26
2050      1.17     1.85     0.17     1.22     2.21
2051      1.61     1.88     2.16     1.13     1.32
2052      0.80     0.71     0.37     0.26     1.66
2053      1.36     0.42     0.57     2.04     0.52
2054      2.26     1.59     1.99     1.99     0.37
2055      1.72     2.98     1.11     1.98     2.46
2056      2.54     1.59     2.42     1.76     4.06
2057      1.45     3.87     0.70     0.51     2.83
2058      1.86     0.43     1.05     1.73     1.31
2059      1.96     2.14     0.78     1.19     1.99
2060      1.50     4.27     1.06     1.38     0.62
2061      0.96     0.70     0.44     0.45     3.84
2062      1.65     2.02     1.13     1.30     2.02
2063      0.60     1.13     0.39     0.65     0.20
2064      1.80     1.25     2.10     1.02     0.66
2065      2.65     1.92     3.91     1.84     1.46
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.90     2.38     0.22     0.78     0.67
2082      0.80     2.15     0.28     1.19     0.38
2083      0.83     0.69     0.45     0.35     1.58
2084      0.30     0.40     0.12     0.12     0.09
2085      0.22     0.55     0.07     0.10     0.01
2086      0.26     2.09     0.00     0.39     0.06
