Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      4.42     1.00     2.36     2.41     1.55
1962      5.79     1.46     2.59     1.80     3.02
1963      1.87     1.17     0.08     0.49     2.39
1964      4.02     3.54     1.92     1.95     3.29
1965      4.85     2.88     0.56     1.96     0.34
1966      2.63     1.66     2.35     0.19     0.54
1967      2.59     2.18     1.33     2.94     1.84
1968      3.32     1.13     2.41     0.54     0.36
1969      2.56     0.71     1.53     0.33     0.56
1970      6.34     3.57     5.09     0.00     1.84
1971      4.04     1.92     1.51     1.66     2.66
1972      5.15     2.10     0.26     2.67     4.98
1973      5.63     2.29     1.81     2.09     3.99
1974      6.17     2.97     4.06     2.67     3.98
1975      5.68     3.80     3.54     2.27     1.81
1976      4.31     0.54     0.74     1.55     1.66
1977      3.10     3.13     2.10     3.07     7.16
1978      6.08     2.80     3.41     4.55     5.03
1979      6.72     4.46     3.94     2.92     2.34
1980      5.18     3.51     1.26     2.48     2.68
1981      4.33     1.50     4.11     3.21     6.26
1982      6.52     4.15     1.08     4.98     4.60
1983      6.25     5.09     3.19     2.16     4.23
1984      7.05     2.70     1.19     5.28     2.90
1985      4.68     2.82     2.62     2.52     2.46
1986      4.22     0.89     3.19     2.00     3.76
1987      6.11     4.47     4.18     3.55     4.07
1988      7.68     5.01     7.12     2.68     6.11
1989      7.30     5.69     3.10     2.12     7.27
1990      8.04     2.23     8.20     4.37     4.76
1991      6.12     1.86     3.66     5.80     3.77
1992      5.42     3.17     1.61     2.42     1.01
1993      2.63     1.14     1.22     2.17     4.47
1994      8.01     3.88     2.50    10.12     8.70
1995      5.38     3.52     2.59     4.78     5.49
1996      4.20     2.61     2.72     4.56     1.93
1997      6.53     5.26     5.24     1.10     4.79
1998      6.73     3.71     3.41     4.86     8.31
1999      7.03     5.45     2.90     3.25     8.06
2000      7.10     6.44     4.62     2.64     7.00
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     19.68    21.25    21.31    33.39    20.40
2047     20.96    25.08    20.67    25.41    18.67
2048     15.63    15.26    20.13    14.63    18.90
2049     16.47    19.24    22.91    13.47    29.35
2050     20.15    23.43    18.71    28.11    26.71
2051     20.93    27.12    25.58    27.15    41.70
2052     23.19    17.13    24.12    29.64    32.57
2053     24.84    32.13    27.18    24.83    18.88
2054     18.04    10.30    20.94    24.92    24.64
2055     21.65    24.92    26.19    28.57    30.44
2056     23.64    22.66    29.43    33.36    24.21
2057     21.99    28.93    26.43    15.45    17.00
2058     20.33    15.52    23.04    32.33    32.19
2059     23.99    36.59    33.48    36.14    29.64
2060     21.52    22.66    17.43    37.83    26.76
2061     25.52    26.09    28.63    29.77    30.48
2062     26.22    29.23    28.91    31.17    34.49
2063     24.46    33.79    27.78    28.98    31.89
2064     24.09    40.05    33.16    17.23    24.02
2065     20.66     7.89    21.45    35.25    26.79
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
