Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     DJF     MAM     JJA     SON
        128.3    49.1   141.9   168.6   153.7
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -8.04    9.13  -17.13  -25.21  -19.65
 1961    3.36   -1.56    9.24  -11.62   17.37
 1962   -5.47   -5.81    8.25  -24.29   -0.01
 1963    4.23    2.42   23.63    0.65   -9.77
 1964  -12.02  -14.12   -6.85  -15.89  -11.22
 1965    5.07  -10.36   13.69    7.64    9.30
 1966   -0.80    1.31   10.58  -19.68    4.60
 1967    4.33    9.65   20.11   -8.64   -3.79
 1968    7.59   14.20   13.63   -8.90   11.42
 1969    0.04   -6.32   18.74   -4.64   -7.61
 1970    1.74    3.19  -16.31    7.19   12.89
 1971   -8.12    5.37  -14.88  -11.69  -11.27
 1972   -6.57   -7.18  -15.21    3.65   -7.54
 1973  -11.97   -3.39  -10.48  -14.80  -19.23
 1974   -6.61   -2.32    4.21  -14.02  -14.29
 1975    6.18    0.59   13.98  -10.66   20.81
 1976    1.78    2.64   19.98  -21.89    6.39
 1977    2.72    7.36   16.77   -6.98   -6.26
 1978    0.13    3.27   12.41  -11.99   -3.16
 1979    4.49   -8.70    1.45   38.06  -12.87
 1980   -1.01  -16.14  -20.19   37.61   -5.32
 1981    9.99  -13.04    9.31   18.67   25.00
 1982   -1.38   -7.33   -2.96  -11.20   15.98
 1983    4.59    5.29   17.54    1.46   -5.94
 1984   -6.74    9.44   14.55  -33.28  -17.66
 1985    1.86  -11.55  -10.00    6.01   22.98
 1986   17.60   12.08   27.45    1.53   29.35
 1987   -3.25    6.04  -10.06  -13.70    4.73
 1988   -1.95    6.09   -1.17  -17.05    4.35
 1989   13.11    7.89   13.51   43.79  -12.74
 1990  -12.83   -6.72  -16.16   -7.38  -21.07
 1991    2.31    3.34    7.34   -8.47    7.02
 1992  -16.15  -12.49  -20.95   -9.72  -21.43
 1993   -0.50   -7.60   -4.20   16.29   -6.47
 1994    8.33   15.07    5.93    6.10    6.20
 1995   -1.51   -5.46    0.52  -13.82   12.72
 1996   21.07   14.79   11.56   42.05   15.90
 1997  -11.20    4.79  -25.02  -12.15  -12.42
 1998   -4.36   -5.41    0.21   -2.91   -9.31
 1999   -1.76    0.12   -9.13   -0.70    2.65
 2000  -13.28   -4.06  -39.70    9.37  -18.73
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN  -19.75    2.69    3.80
 2002    0.21    1.56   -1.03   -5.23    5.54
 2003    3.72   -4.42  -12.33   45.47  -13.82
 2004   11.75   -7.88   14.57   29.95   10.37
 2005    0.20   -5.63  -12.29   10.30    8.42
 2006    4.96   -9.73  -10.87   18.38   22.06
 2007   -8.53   -7.69   -8.42   -2.67  -15.35
 2008  -12.38   -8.17  -16.77   -9.75  -14.83
 2009    1.76    0.16    7.45    7.30   -7.88
 2010   -0.54   17.40  -21.98   17.71  -15.30
 2011    7.29   -8.62   12.85   11.63   13.32
 2012   -1.65   -8.87  -20.48   10.49   12.29
 2013    0.28   -3.57   22.82  -14.95   -3.19
 2014    0.63   -4.90    6.54   -4.08    4.95
 2015   -7.57   -9.32  -27.70    2.88    3.84
 2016    8.02    3.99   -7.03   30.26    4.84
 2017   -1.97  -11.11   -1.20    1.64    2.80
 2018    0.29  -11.71  -17.76   25.87    4.77
 2019   -4.12  -16.34   13.48  -18.85    5.24
 2020   -9.94    2.07  -34.95  -14.74    7.84
 2021    2.89   11.08   -5.84    8.74   -2.40
 2022  -10.41   10.06  -10.62  -26.89  -14.21
 2023    6.85    9.38  -18.11   22.52   13.63
 2024    3.21   -5.42   -1.77   27.95   -7.91
 2025    4.36   -4.06   14.63    0.59    6.27
 2026    6.62   -0.71   12.97   24.46  -10.24
 2027   -2.90  -18.71   -5.28   19.95   -7.55
 2028   -6.30   -6.16  -19.56    4.38   -3.87
 2029    3.36   -1.69   16.78   31.31  -32.96
 2030   -1.00  -13.45  -16.29   40.79  -15.05
 2031   -3.78  -19.07  -11.10    2.04   13.00
 2032  -12.90   -2.45  -14.62  -19.10  -15.45
 2033   12.83   -5.16   19.25    6.65   30.59
 2034   -3.58  -11.03   -1.98   16.22  -17.52
 2035    4.35   16.49   13.12    1.56  -13.77
 2036   -6.71    6.06    2.62  -14.57  -20.95
 2037    2.55    5.46   16.83   -2.64   -9.46
 2038   -6.48  -12.72   -0.24   -7.39   -5.56
 2039  -13.32   -0.18  -32.25  -17.90   -2.94
 2040   -7.71    4.31  -21.05    0.00  -14.10
 2041   -4.07   -3.85    0.58    1.03  -14.04
 2042   -8.50   -6.27   -8.95    0.54  -19.30
 2043   -3.46   -7.02    1.18   16.31  -24.31
 2044   -4.74  -17.70   -0.81   -0.87    0.41
 2045    1.11   -0.49  -20.88   19.27    6.52
 2046    2.60   10.83    4.18   -0.08   -4.54
 2047   10.68   -5.32   15.46   30.42    2.17
 2048    7.59  -10.54   23.35    4.98   12.55
 2049   -8.27   -3.86  -10.54    6.08  -24.73
 2050   -4.32   -9.37  -10.05    9.30   -7.17
 2051    2.62   -0.26   -9.39   23.85   -3.73
 2052   11.74  -10.40   12.85   45.39   -0.86
 2053   -0.46   -6.94   -4.95   43.42  -33.38
 2054  -13.66  -12.87  -14.34  -10.00  -17.42
 2055    7.22   -7.96  -16.78   49.40    4.24
 2056    2.65    0.49   -5.16   22.56   -7.30
 2057   11.74   -2.41  -19.95   39.58   29.75
 2058  -13.40  -10.00  -15.50   -8.52  -19.60
 2059   -5.61    1.02   -9.88  -10.81   -2.77
 2060   -5.55   -7.10  -10.12  -26.24   21.27
 2061   -6.57   -7.33  -36.66    8.35    9.34
 2062   -2.03   -4.76  -29.24   11.70   14.19
 2063   -4.57  -16.52  -27.45   22.78    2.91
 2064   -5.35  -14.30  -33.51   25.10    1.33
 2065   -9.33   -3.10  -18.25  -19.35    3.37
 2066    0.92    2.34  -15.17    2.09   14.42
 2067   -1.17   -1.38  -15.54   13.70   -1.49
 2068    3.87   -7.32   25.00   -2.33    0.11
 2069   -3.10   -5.70  -18.00   20.11   -8.83
 2070  -10.86  -12.18  -13.48    6.92  -24.71
 2071    1.49   -9.37  -32.33   19.30   28.37
 2072   -9.33  -10.85  -19.13    8.31  -15.66
 2073   -7.73    9.44  -26.02   -0.07  -14.26
 2074   -2.83   -7.99  -19.09   11.69    4.08
