Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     DJF     MAM     JJA     SON
        128.5    53.2   129.1   170.4   161.2
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960    2.76   -4.43   -6.23    1.64   -7.43
 1961   -1.38    0.62  -18.65   -2.98   15.49
 1962    0.68    5.22  -11.68    7.17    2.01
 1963   -9.29   -4.18   -7.27  -16.52   -9.18
 1964   -3.57   -0.87   -7.39    3.89   -9.92
 1965   -6.24   -2.56  -12.32    7.99  -18.05
 1966    4.19   -3.46   27.29    3.39  -10.46
 1967   -7.26  -13.46   -5.34   -4.06   -6.16
 1968    2.11    7.40  -18.18    8.97   10.25
 1969   -2.00   -3.80  -13.80    6.57    3.04
 1970   -8.03   -2.08  -10.65   -7.70  -11.69
 1971    3.56   -4.90    5.18    4.44    9.50
 1972   -2.63  -10.96    2.27   -6.36    4.52
 1973   -3.35   -7.46  -10.28    5.16   -0.84
 1974    4.70    6.44    5.46    5.16    1.73
 1975    6.15    4.17   16.88    1.31    2.23
 1976   -1.59   -2.97   -5.52    0.46    1.65
 1977    1.24   -3.62   22.53   -9.61   -4.34
 1978   -1.44    0.89   -0.14    5.08  -11.58
 1979   -3.74   10.51  -21.41   -4.70    0.63
 1980   -0.89   -4.81   -1.53    8.52   -5.74
 1981    0.67   -7.09   -4.79   -1.91   16.48
 1982   -3.63   -2.79   -0.67   -1.13   -9.91
 1983   -4.28   -3.25    0.24  -11.45   -2.63
 1984   -6.18  -17.02    2.97   -8.23   -2.45
 1985    0.42    2.02  -11.13    7.43    3.37
 1986    6.42   -9.94    7.34   20.35    7.95
 1987   -1.83   -3.85  -11.70   -1.91   10.14
 1988    8.59   10.20   23.61    1.23   -0.67
 1989    0.30    9.41  -13.71    7.86   -2.34
 1990    3.67    3.65   10.99    2.83   -2.80
 1991   -4.08    6.17   -5.81   -6.81   -9.90
 1992   -1.06    2.57   -2.99   -2.01   -1.82
 1993   -4.72    1.20   -0.33  -14.00   -5.74
 1994    4.99    6.14    0.42    8.98    4.42
 1995    0.54    4.24    3.00  -11.51    6.45
 1996    1.85   -0.41  -13.38    8.76   12.43
 1997    4.35    6.82   10.71   -2.16    2.03
 1998    1.91    6.01    4.01   -1.24   -1.15
 1999   -1.91    0.72   -1.57    3.15   -9.95
 2000     NaN     NaN     NaN     NaN     NaN
Projections under SRES A2 scenario
 2000    8.77  -19.91    8.85    1.78    9.72
 2001   -7.80   -4.52   -8.45   -9.24   -9.01
 2002    6.84   -9.83    8.31   13.76   15.11
 2003    1.96    0.78    0.18   -4.60   11.50
 2004    1.55    5.20    5.20   -9.47    5.27
 2005    6.01    4.73   14.68   -2.98    7.60
 2006    1.09   -3.31   -3.36    4.31    6.71
 2007   -7.19  -10.73  -10.73   -4.28   -3.01
 2008   -3.77   -8.90  -12.56    5.23    1.17
 2009   -3.59    6.21  -12.91   -4.63   -3.05
 2010    3.76   -2.16    5.38    0.35   11.49
 2011    3.12    4.48   -4.75   -2.90   15.66
 2012    0.97   -5.18   -5.22    8.31    5.96
 2013   -3.46    1.77  -16.39   -9.42   10.21
 2014   -2.56   -6.56  -11.89    4.93    3.29
 2015    3.66   13.86    8.29  -13.80    6.28
 2016    7.33   -6.95   11.85    6.53   17.88
 2017    4.26    2.56    4.98    1.02    8.50
 2018   -1.35    4.92   -1.99   -6.07   -2.26
 2019   -6.29    0.67   -7.28  -17.56   -1.01
 2020   -3.58   -4.47   -6.78   -5.98    2.90
 2021    2.07    7.80  -13.75   12.41    1.82
 2022   11.81   20.14    2.34    3.59   21.16
 2023    3.17   10.01    0.12   -6.06    8.59
 2024   -0.38    5.07    3.29   -7.34   -2.55
 2025    5.70    6.89    5.55   -7.22   17.59
 2026   -0.84   -2.01   -8.46    4.23    2.86
 2027   -0.79    8.13   -1.55   -9.81    0.09
 2028   -0.37    2.80   -5.41   -1.88    3.00
 2029   -2.50   -1.25  -12.44   -2.43    6.13
 2030    1.30   -0.33   -6.71   -0.57   12.80
 2031    8.76   -1.16   19.06   -6.20   23.34
 2032    6.57   11.47   -0.06   -7.32   22.17
 2033    5.14   19.23    7.96  -15.09    8.46
 2034   -0.74    5.86   -9.84   -6.32    7.36
 2035    6.04    4.43    8.46   -2.55   13.83
 2036   -2.01    3.69    2.79   -5.83   -8.71
 2037   -5.31    5.09  -25.20   -5.01    3.90
 2038    8.22    3.99   11.30   -5.87   23.45
 2039    0.89   -0.01   12.03  -13.50    5.04
 2040    3.08   -1.46    2.16    2.98    8.64
 2041   -0.30    5.55   -3.15   -8.57    4.95
 2042    5.23    4.30   26.45   -3.83   -5.98
 2043    9.68   10.45    6.09    3.91   18.26
 2044    7.58   11.39    0.98    6.31   11.62
 2045    6.88   18.11   -5.10   -1.36   15.88
 2046    3.81   20.72    6.45   -8.11   -3.80
 2047    3.98   14.02    2.91    6.44   -7.46
 2048   -3.43    1.57   -9.02   -4.39   -1.89
 2049   -0.63   -2.50    0.25   -2.58    2.32
 2050    5.71    9.97    4.40   -4.88   13.35
 2051   14.82   17.06   30.49   -1.98   13.71
 2052    0.52   -0.53  -13.73   -3.76   20.12
 2053   -1.13    1.52  -12.62    0.55    6.05
 2054    9.98    5.47   10.17    5.77   18.49
 2055   12.57    4.70   29.57   -3.66   19.69
 2056   14.58   17.31   17.98    9.34   13.69
 2057    7.09   16.12   -0.09   -7.00   19.32
 2058    0.74   -0.58   -3.62    2.67    4.49
 2059   -0.05   13.76  -20.88    6.67    0.26
 2060   11.64   24.23   19.53   -5.79    8.60
 2061    3.92   13.96   -3.88    1.78    3.81
 2062   10.56    4.50    7.75    6.36   23.62
 2063   10.07   13.60    6.55    7.53   12.60
 2064   14.62   29.20    4.48    1.71   23.09
 2065   12.29    6.29   25.53    3.47   13.89
 2066   15.95   19.91   13.09    8.21   22.59
 2067   12.14   15.78   26.91   11.23   -5.37
 2068   10.46    9.66   -9.41    6.89   34.71
 2069    7.53   19.91    3.26  -11.32   18.27
 2070   12.28   16.19    4.83   -2.04   30.14
 2071    8.74    9.20   25.33    0.80   -0.39
 2072   16.65   14.66   20.76    9.29   21.87
 2073   16.53   16.70    7.33    8.84   33.27
 2074    2.05   15.85  -18.56    4.85    6.08
 2075    8.40   18.99   -4.33    1.21   17.72
 2076    7.23   24.56   -5.26    4.62    5.00
 2077   18.70   23.28   22.82   11.27   17.43
 2078   16.13   29.09   10.91   11.48   13.04
 2079   17.23   30.50    1.84    7.82   28.76
 2080   27.71   43.74   21.99   13.22   31.90
 2081   25.97   39.94   14.58   21.53   27.82
 2082   11.03   23.13    2.56   -7.17   25.59
 2083   12.61   27.26    6.36    2.69   14.12
 2084   15.16   22.12   14.31   -1.11   25.33
 2085   13.61   22.68    0.78    2.39   28.60
 2086   23.02   25.11   20.32    7.14   39.51
 2087   19.48   25.90   24.57    4.35   23.11
 2088    5.59   12.43   -5.06   -7.68   22.65
 2089   12.92   18.60    7.60   16.48    9.02
 2090    7.01   22.22   14.84  -12.81    3.80
 2091   16.40   31.37   14.05   -2.31   22.51
