Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 YEAR  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960    0.30    1.52    0.39    0.64    0.54
 1961    0.09    0.86    0.55    0.29    0.29
 1962    0.30    0.36    0.73    0.29    0.29
 1963    0.12    0.18    0.63    0.17    0.02
 1964    0.36    0.37    0.48    0.58    0.68
 1965    0.31    0.88    0.70    0.35   -0.08
 1966    0.10    0.14    0.17    0.68    0.10
 1967    0.61    0.80    1.41    0.35    0.31
 1968    0.14    0.40    0.20    0.42    0.26
 1969    0.52    0.33    1.09    0.81    0.46
 1970    0.45    0.48    1.10    0.94    0.47
 1971    0.42    0.84    1.18    0.52    0.19
 1972    0.19    0.29    0.40    0.10    0.28
 1973    0.39    0.46    0.70    0.35    0.21
 1974    0.13    0.56    0.33    0.50    0.53
 1975    0.77    1.09    1.12    0.75    0.54
 1976    0.05    0.33    0.46    0.22    0.55
 1977    0.87    1.15    0.57    0.84    0.99
 1978    0.24    0.60    0.34    0.72    0.29
 1979    0.20    0.24    0.80    0.32    0.40
 1980    0.57    0.73    0.91    0.68    0.94
 1981    0.66    1.27    1.14    0.93    0.52
 1982    0.45    1.08    0.85    0.34    0.34
 1983    0.58    0.83    1.21    0.52    0.70
 1984    0.57    0.43    0.99    0.68    0.21
 1985    0.12    0.94    0.36    0.56    0.57
 1986    0.32    0.90    0.52    0.33    1.02
 1987    0.63    1.46    1.23    0.70    0.50
 1988    0.52    0.47    0.73    0.77    0.78
 1989    0.41    1.08    0.77    0.76    0.62
 1990    0.54    1.10    0.76    0.49    0.54
 1991    0.69    1.09    1.15    0.71    0.94
 1992    0.31    0.91    0.79    0.20    0.40
 1993    0.64    0.86    0.88    0.99    0.85
 1994    0.89    1.19    1.11    1.19    0.74
 1995    0.76    0.72    0.98    0.88    1.03
 1996    0.99    1.66    1.86    0.50    0.48
 1997    1.02    1.19    1.06    1.54    0.76
 1998    0.80    1.25    0.94    1.39    1.00
 1999    1.11    1.07    1.68    0.73    1.21
 2000    0.88    0.91    1.41    0.81    0.64
Projections under SRES A2 scenario
 2000    0.97    1.93    0.83    0.82    0.88
 2001    1.29    1.36    1.31    1.38    1.13
 2002    0.86    1.00    1.38    1.08    0.82
 2003    0.94    0.94    1.16    1.25    0.70
 2004    0.72    1.31    0.77    0.89    0.98
 2005    1.37    1.44    1.06    1.73    1.26
 2006    1.32    0.90    1.78    1.72    1.22
 2007    0.95    0.94    1.05    1.19    1.05
 2008    1.15    1.35    1.87    1.24    1.28
 2009    1.10    1.90    0.98    0.81    0.86
 2010    1.14    2.01    1.05    1.27    1.36
 2011    1.22    1.84    1.41    1.12    1.39
 2012    1.14    1.80    1.61    1.50    1.08
 2013    1.23    1.57    1.36    1.21    1.01
 2014    1.07    1.25    1.24    1.37    1.40
