Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     DJF     MAM     JJA     SON
        26.27   25.79   27.05   25.82   26.44
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960    0.18    1.52   -0.34    0.04   -0.22
 1961    0.01    0.22    0.01   -0.21    0.02
 1962   -0.08    0.17   -0.04   -0.30   -0.13
 1963   -0.50   -0.35   -0.74   -0.58   -0.33
 1964   -0.55   -0.43   -0.63   -0.66   -0.47
 1965   -0.72   -0.67   -0.59   -1.10   -0.52
 1966   -0.63   -0.66   -0.93   -0.89   -0.04
 1967   -0.16    0.02   -0.19   -0.27   -0.20
 1968   -0.10   -0.09    0.04    0.11   -0.44
 1969   -0.12   -0.11    0.15   -0.35   -0.17
 1970   -0.06    0.26   -0.34   -0.13   -0.03
 1971   -0.11    0.27   -0.44   -0.11   -0.16
 1972   -0.18   -0.02   -0.28    0.10   -0.54
 1973   -0.22    0.11   -0.35   -0.38   -0.26
 1974   -0.15   -0.03   -0.13   -0.39   -0.05
 1975   -0.10    0.03   -0.15   -0.26    0.00
 1976   -0.05    0.00   -0.44    0.22    0.00
 1977    0.27    0.30    0.25    0.44    0.11
 1978    0.02   -0.55   -0.17    0.52    0.27
 1979    0.08   -0.20    0.39    0.31   -0.17
 1980    0.20    0.25    0.09    0.12    0.35
 1981    0.23    0.12   -0.12    0.38    0.52
 1982    0.27    0.54    0.22    0.34   -0.02
 1983   -0.51   -0.28   -0.23   -0.89   -0.64
 1984   -0.57   -0.76   -0.41   -0.71   -0.40
 1985   -0.20   -0.44   -0.53   -0.20    0.36
 1986    0.15   -0.20    0.14    0.31    0.34
 1987    0.29    0.38    0.47    0.21    0.09
 1988    0.40    0.39    0.50    0.54    0.15
 1989    0.02   -0.19    0.24   -0.04    0.06
 1990    0.40    0.61    0.21    0.49    0.29
 1991    0.11    0.35    0.35   -0.07   -0.18
 1992   -0.58    0.08   -0.53   -1.09   -0.79
 1993   -0.17   -0.37    0.17   -0.30   -0.16
 1994    0.13   -0.17    0.23    0.23    0.22
 1995    0.17    0.20    0.09    0.23    0.15
 1996   -0.29    0.16   -0.46   -0.40   -0.47
 1997    0.10    0.13   -0.06   -0.06    0.39
 1998   -0.05   -1.29    0.86    0.00    0.24
 1999    0.41    0.34    0.42    0.56    0.31
 2000    0.39    0.05    0.57    0.67    0.29
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN     NaN     NaN     NaN
 2002     NaN     NaN     NaN     NaN     NaN
 2003     NaN     NaN     NaN     NaN     NaN
 2004     NaN     NaN    0.49    0.74    0.50
 2005    0.22    0.38    0.42    0.12   -0.03
 2006    0.14   -0.30    0.16    0.32    0.37
 2007    0.54   -0.05    0.81    1.05    0.34
 2008    0.34    0.38    0.37    0.02    0.58
 2009    0.53    0.76    0.48    0.63    0.26
 2010    0.36    0.31    0.34    0.42    0.38
 2011    0.74    0.16    0.62    1.00    1.18
 2012    1.14    0.85    1.61    1.04    1.08
 2013    0.72    0.51    0.87    0.79    0.72
 2014    0.51    0.48    0.82    0.55    0.20
 2015    0.53    0.27    0.11    0.87    0.87
 2016    0.75    0.22    0.91    1.02    0.85
 2017    0.64    1.12    0.70    0.13    0.60
 2018    0.69    0.62    0.62    0.80    0.70
 2019    0.88    0.82    1.50    0.63    0.56
 2020    0.51   -0.11    1.17    0.36    0.61
 2021    1.21    0.67    1.64    1.33    1.19
 2022    1.12    0.97    1.46    0.94    1.12
 2023    1.03    1.27    1.38    0.73    0.75
 2024    0.39    0.49    0.46    0.63   -0.02
 2025    0.93    0.53    1.26    0.99    0.95
 2026    0.89    1.26    0.64    1.04    0.62
 2027    0.72    0.42    0.71    0.91    0.85
 2028    1.13    1.09    1.63    0.69    1.10
 2029    1.08    0.90    1.56    0.67    1.20
 2030    0.69    0.40    0.96    0.45    0.94
 2031    1.17    0.39    1.49    1.60    1.20
 2032    1.40    0.68    1.81    1.66    1.45
 2033    1.49    1.66    1.67    0.94    1.69
 2034    1.25    0.50    1.62    1.81    1.07
 2035    1.26    0.95    1.86    0.93    1.31
 2036    1.36    0.90    1.15    1.93    1.45
 2037    1.22    0.49    1.78    1.20    1.38
 2038    1.41    1.40    1.78    0.63    1.83
 2039    1.46    0.81    1.78    1.82    1.45
 2040    1.63    1.83    2.06    1.36    1.25
 2041    1.42    0.80    1.94    1.54    1.38
 2042    1.43    1.78    1.22    1.28    1.45
