Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     DJF     MAM     JJA     SON
        144.2    31.7   170.4   200.2   174.4
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960    1.96   -8.68    3.95   -9.15   -7.88
 1961   -4.99   -8.85   -8.90   -5.36   -0.03
 1962   -1.36   -8.44   -2.36  -11.79   12.89
 1963    1.21   -0.29    3.34   -2.66    3.86
 1964    0.97  -33.03   -1.12    6.30    3.08
 1965   -0.05  -22.56    0.19    0.29    3.43
 1966   -2.35   -3.31   -1.78   -3.87   -0.97
 1967    7.50    7.20   -2.14   23.28   -1.14
 1968    2.30   -7.02   13.72    3.60   -8.66
 1969  -11.69   -9.10  -20.85   -3.85  -12.23
 1970    0.49  -21.87    6.21    0.22   -0.71
 1971   -1.89  -16.39    5.02   -2.49   -5.33
 1972    5.84   21.26    6.58    4.30    4.09
 1973   -3.77    8.18   -3.37   -3.17   -7.02
 1974    4.97   -3.48    1.95    4.67    9.81
 1975   -1.30  -23.57    6.08    0.15   -6.13
 1976    6.97   -7.70   13.51    6.90    3.33
 1977    9.34   -4.89   14.63    2.01   15.17
 1978   -3.22   -7.67    5.22  -10.16   -2.71
 1979   -5.99  -19.37  -12.10    7.91  -13.55
 1980   -1.70    0.07    2.69   -3.16   -4.62
 1981    5.74   36.86    8.84   -7.35   12.09
 1982    2.67   21.14   10.90   -6.76    2.10
 1983   10.31   -4.40   11.89    8.92   13.03
 1984   -1.58   -4.98   -3.83    0.08   -0.66
 1985   -4.01    2.30   -5.13    3.91  -13.15
 1986    2.00   17.03   -4.29   -1.39    9.32
 1987   -7.17  -10.08  -17.92   -0.00   -4.37
 1988    9.12    5.70   15.98    5.90    6.75
 1989   -6.50  -26.58   -2.90    1.62  -15.68
 1990   -4.79  -23.88   -1.46   -7.78   -1.15
 1991    1.43   39.97   -5.98   -5.05    9.09
 1992   -0.95   26.85  -11.54    0.51    2.66
 1993    2.33  -17.15    4.80   12.38   -8.09
 1994  -12.33  -32.91  -22.40    3.39  -16.79
 1995   -2.19  -26.95    4.43    0.27   -6.96
 1996    0.96   18.97  -10.28   -3.83   14.16
 1997    0.08   10.53   -4.78   -1.67    4.93
 1998   -5.32   31.28   -9.09  -13.15    0.69
 1999    0.46   11.75   -3.66    2.84   -0.29
 2000  -11.53  -29.21  -11.34   -0.88  -20.73
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
