Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     DJF     MAM     JJA     SON
        119.5    50.1   110.4   152.4   165.0
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     DJF     MAM     JJA     SON
20th Century Model Run
 1960    7.58  -13.81   19.74   -6.41    1.63
 1961    3.18   -2.61   13.79    4.17   -3.07
 1962   -4.61    5.11   -1.83   -1.47  -12.31
 1963    6.18   21.32    7.54    6.95   -0.03
 1964    2.21  -23.51   13.71    5.41   -0.63
 1965   -0.51   17.69   -7.15    3.51   -5.32
 1966    2.50   37.79   -7.96   -3.56    4.38
 1967   15.04    6.71   18.09   13.15   17.27
 1968    4.11   12.70    8.24    8.05   -4.90
 1969   -1.92  -22.37   -1.36   -1.72    3.72
 1970    7.37   16.56    7.61   11.89    0.24
 1971    6.63   43.90   14.45    3.11   -6.67
 1972    4.33   28.41    4.70    3.25   -2.22
 1973    1.56   39.07  -10.35   -2.34    1.74
 1974    3.58    6.54   -0.37    1.60    7.16
 1975   -4.95   -7.33   -0.28   -2.02  -10.06
 1976   -1.26   -2.14    1.45   -5.36    0.98
 1977   -1.29   12.90    0.19    3.47  -10.98
 1978    0.32    5.14  -12.21    5.16    2.77
 1979    4.34   -6.02    7.68    3.09    6.40
 1980   -0.23  -25.27    4.49   -4.31    7.97
 1981    2.25   15.64    0.47   -5.59    6.61
 1982   -3.49   -9.85    1.62   -2.19   -6.19
 1983   -1.92  -10.31   -7.64    2.11    0.72
 1984    4.64   13.13   -4.53   -0.22   12.68
 1985   -2.62    2.88   16.54   -6.29  -13.71
 1986    0.30  -12.17    2.21    2.24    1.03
 1987    1.73   14.87    6.66    7.62  -10.99
 1988   -0.30   -1.97   -6.81    3.51    1.05
 1989   -8.93  -24.27   -4.77  -11.36   -4.83
 1990    7.12   31.85   -2.63    5.06    8.04
 1991  -12.78  -31.08  -21.13   -0.93  -12.59
 1992   -1.82  -28.67    5.97   -0.86    0.24
 1993   -6.13  -16.31   -5.34   -6.92   -2.84
 1994    0.54   -6.05    3.14   -1.31    2.52
 1995   -1.43  -19.66    7.50    2.03   -5.07
 1996    2.86   20.96    0.91   -1.64    2.83
 1997   -6.64  -40.30  -13.99    3.57   -0.94
 1998   -1.77  -27.89   -0.81   -1.21    4.99
 1999    8.00   17.42    5.27   -5.14   19.10
 2000   -0.06  -10.36   -7.02    2.83    5.06
Projections under SRES A2 scenario
 2000    1.39  -23.42   17.65   -4.07  -13.64
 2001    2.91  -17.31    5.46    2.39    7.83
 2002    2.01   -8.07   16.76   -0.42   -2.54
 2003   -6.24  -30.85   -7.39   -3.83   -0.23
 2004    1.68   39.36   -0.57   -0.51   -6.22
 2005   -2.31   -4.70   16.55   -3.81  -12.81
 2006   -2.20   -6.74  -18.59    0.95    7.24
 2007   -1.25   -5.91   -1.29   -5.86    4.44
 2008    7.67   26.85    4.28    4.11    7.40
 2009    6.77   37.76    2.15   -0.30    6.97
 2010   -1.24   -1.07   -0.99   -3.34    0.48
 2011   -2.53  -23.68   -9.49    6.74   -0.02
 2012   -3.28  -32.43  -12.62    3.41    5.63
 2013   -1.69    0.00   -5.21   -0.72   -0.74
 2014   -6.12  -21.06   -7.03   -8.01    0.79
 2015    1.53   -5.75    9.69   -2.02    1.55
 2016    0.99  -29.67   19.17   -2.42    1.26
 2017   -2.47   -7.99    0.81   -4.61   -0.99
 2018   -1.65  -34.96    3.80    6.56   -2.75
 2019    3.02   27.39   11.32   -6.47   -1.18
 2020    4.26   21.86    1.25   -0.75    5.56
 2021    0.46  -11.64   -0.86    0.92    4.58
 2022    2.84  -28.10   18.54   -0.59    4.90
 2023    5.39   37.13    5.42    2.22   -1.33
 2024    2.51  -11.21    5.90    2.40    4.51
 2025    0.10   -9.34   -2.32   -4.34    8.70
 2026    5.57   -0.38   -5.16    9.79   10.67
 2027   -1.99    0.61  -11.65   -4.06    5.61
 2028    1.90  -17.17   13.16    3.36   -1.19
 2029    4.10    1.19   10.17    7.25   -1.97
 2030   -0.45  -15.13    3.03   -9.41    9.95
