Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     DJF     MAM     JJA     SON
1960   137.31   38.38  132.12  190.76  187.96
1961   127.49   27.23  134.17  184.03  164.54
1962   121.04   28.28  109.04  188.46  158.40
1963   126.85   43.36  146.10  189.46  128.47
1964   126.32   16.01  140.75  181.55  166.97
1965   130.61   31.41  125.52  198.47  167.04
1966   137.63   33.61  133.92  189.33  193.65
1967   132.19   26.51  137.83  197.28  167.15
1968   132.87   35.04  179.55  160.75  156.12
1969   124.44   17.92  155.95  227.31   96.59
1970   129.60   30.22   97.05  198.73  192.40
1971   147.64   60.03  128.03  205.26  197.22
1972   136.13   33.78  109.92  218.36  182.45
1973   133.43   39.75  150.05  168.40  175.50
1974   136.04   35.99  140.22  187.50  180.44
1975   128.65   47.30  109.78  187.43  170.09
1976   128.13   40.41  118.54  192.31  161.27
1977   127.99   44.45  120.40  175.72  171.40
1978   148.59   65.51  121.38  203.53  203.95
1979      NaN   33.37  130.42     NaN     NaN
1980      NaN     NaN     NaN     NaN     NaN
1981      NaN     NaN     NaN     NaN     NaN
1982      NaN     NaN     NaN     NaN     NaN
1983      NaN     NaN     NaN     NaN     NaN
1984      NaN     NaN     NaN     NaN     NaN
1985      NaN     NaN     NaN     NaN     NaN
1986      NaN     NaN     NaN     NaN     NaN
1987      NaN     NaN     NaN     NaN     NaN
1988      NaN     NaN     NaN     NaN     NaN
1989      NaN     NaN     NaN     NaN     NaN
1990      NaN     NaN     NaN     NaN     NaN
1991      NaN     NaN     NaN     NaN     NaN
1992      NaN     NaN     NaN     NaN     NaN
1993      NaN     NaN     NaN     NaN     NaN
1994      NaN     NaN     NaN     NaN     NaN
1995      NaN     NaN     NaN     NaN     NaN
1996      NaN     NaN     NaN     NaN     NaN
1997      NaN     NaN     NaN     NaN     NaN
1998      NaN     NaN     NaN     NaN     NaN
1999      NaN     NaN     NaN     NaN     NaN
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
