Mean Temperature (Degrees C) - Observed Records - Anomalies relative to 1971-2000 mean
Refer to Accompanying Documentation
NaN indicates insufficient data is available
1970-1999 Climatology
YEAR   Annual     DJF     MAM     JJA     SON
      24.5955      24.2959      26.1697      23.8177      24.0987
Timeseries in Anomalies relative to 1970-1999 mean (degrees C)
YEAR   Annual     DJF     MAM     JJA     SON
1960    -0.04   -0.34   -0.35    0.41    0.03
1961    -0.28   -0.75    0.00    0.05   -0.42
1962    -0.41   -1.05   -0.54   -0.10    0.03
1963     0.02   -0.70   -0.34    0.64    0.46
1964    -0.06   -0.09    0.15   -0.03   -0.28
1965    -0.31   -0.62   -0.40   -0.17   -0.05
1966    -0.29   -0.65   -0.52    0.19   -0.19
1967    -0.55   -0.51   -0.21   -0.74   -0.74
1968    -0.56   -0.46   -0.95   -0.65   -0.19
1969    -0.26   -0.01   -0.04   -0.65   -0.34
1970    -0.39    0.11   -0.48   -0.36   -0.85
1971    -0.66   -0.85   -0.59   -0.62   -0.57
1972    -0.57   -0.36   -1.21   -0.46   -0.24
1973    -0.09    0.75   -0.46   -0.23   -0.43
1974    -0.59   -0.48   -0.76   -0.32   -0.80
1975    -0.79   -0.81   -0.59   -0.81   -0.94
1976    -0.94   -0.73   -0.72   -1.25   -1.05
1977    -0.45   -0.55   -0.38   -0.41   -0.44
1978    -0.82   -0.23   -1.31   -0.70   -1.02
1979    -0.16   -0.06   -0.49   -0.24    0.14
1980    -0.10    0.11    0.02   -0.46   -0.06
1981    -0.25   -0.18   -0.16   -0.26   -0.40
1982    -0.17    0.11   -0.39   -0.17   -0.24
1983     0.37    0.18    1.23    0.13   -0.06
1984     0.01   -0.05   -0.22    0.14    0.19
1985    -0.12    0.06   -0.22   -0.24   -0.07
1986     0.15    0.08    0.40    0.01    0.12
1987     0.55    0.13    0.65    0.67    0.76
1988     0.33    0.63    0.48    0.01    0.19
1989    -0.04   -0.76   -0.13    0.24    0.48
1990     0.48    0.41    0.42    0.39    0.71
1991     0.37    0.54    0.07    0.45    0.41
1992    -0.11   -0.38    0.14   -0.11   -0.09
1993     0.32   -0.26    0.23    0.51    0.79
1994     0.49    0.36    0.77    0.46    0.39
1995     0.52   -0.15    0.79    0.83    0.61
1996     0.41    0.52    0.38    0.48    0.26
1997     0.44    0.08    0.13    0.51    1.07
1998     1.21    1.06    1.78    1.16    0.86
1999     0.58    0.75    0.64    0.64    0.27
2000     0.50    0.04    0.70    0.58    0.70
2001     0.54   -0.04    0.77    0.61    0.83
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
