Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960      4.25    -8.20    17.77     3.36    11.61
1961      7.61    43.85    20.34    17.57    18.65
1962      6.47    18.98    20.02    21.34    49.24
1963     12.40    33.83    29.48    22.15    21.17
1964      6.36    32.52    13.94    12.94    20.77
1965      4.55    26.67    17.83    17.90    28.58
1966      4.50    15.91    10.32    18.47    28.59
1967     20.59    34.19    24.31    28.26    21.46
1968     13.40    28.77    23.75    14.57    22.36
1969      9.19    32.38    41.79    15.32    24.86
1970     24.01    27.54    36.90    19.36    33.73
1971      5.72    27.01    30.25    13.77    25.06
1972     27.00    39.77    41.54    13.67    18.81
1973     10.11    32.47    22.01    12.30     8.54
1974     12.64    19.05    23.93    27.61    28.25
1975     10.23    28.37    20.79    15.08    27.57
1976      8.35    51.52    18.31    14.91    25.82
1977     19.14    25.68    34.18    29.28    18.00
1978     10.90    52.49    22.92    21.65    18.72
1979      9.04    17.40    14.78    29.79    31.13
1980     12.12    26.89    23.37    25.30    26.19
1981      1.61    20.24    12.40    13.43    25.59
1982      9.44    29.73    19.60    19.04    42.86
1983      6.40    29.25     9.44    16.53    22.69
1984     13.97    61.24    37.13    11.15    16.44
1985      7.39    41.14    29.09    21.01    27.23
1986      9.42    27.57    20.60    20.83    32.79
1987     13.62    37.75    22.92    19.35    34.88
1988      9.60    29.74    21.95    23.55    46.00
1989      6.42    40.42    18.78     9.40    27.40
1990     11.50    15.64    21.67    18.67    45.89
1991      7.03    44.76    14.24    10.34    36.10
1992      8.98    25.12    42.37    20.41    32.34
1993      5.07    22.56    26.12    16.86    29.55
1994      8.16    32.31    21.23    19.72    21.04
1995     10.84    25.80    24.45    16.40    22.86
1996      4.78    45.44    19.86    29.51    35.13
1997      8.09    26.50    15.00    25.01    21.21
1998      6.11    19.31    21.31    11.34    25.29
1999      8.95    28.05    15.60     8.43    32.51
2000      6.92    46.50    18.31    13.82    36.19
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      8.35    16.54    16.47    12.46    25.60
2047      6.19    35.58    33.47    11.73    24.41
2048      9.65    27.85    32.63    17.30    20.33
2049     14.90    32.56    14.11    17.45    28.67
2050      3.22    16.81    16.91    26.98    11.84
2051     11.59    29.05    20.87    27.69    22.69
2052      7.12    53.05    21.49    21.56    22.87
2053     11.25    32.97    26.90    22.39    33.56
2054      9.86    32.46    17.42    11.64    47.39
2055      6.22    13.52    13.63    14.03    26.42
2056     11.09    14.60    16.38    18.89    25.48
2057     11.29    54.78    15.92    23.67    22.97
2058      7.84    47.52    17.09    13.58    38.78
2059      9.73     7.46    17.15    17.26    23.31
2060      6.94    25.23    20.81    19.83    18.25
2061      9.37    41.74    18.42    14.83    26.58
2062      8.06    30.74    18.22    15.25    20.64
2063     12.77    31.76    24.09    10.86    25.74
2064     12.54    14.32    10.09    20.23    18.83
2065     11.13     9.64    17.11    24.73    24.43
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     10.00    36.65    19.49    13.94    40.71
2082      7.28    53.43    22.76    10.33    33.21
2083     10.13    13.15    22.62    21.61    24.79
2084     10.08    44.19    20.21    15.00    29.83
2085     10.35    32.11    29.34    22.23    24.53
2086      8.15    47.04    21.35    14.86    25.84
2087     14.72    27.88    17.00    22.02    28.97
2088     14.36    21.01    15.70    22.22    25.83
2089     12.63    14.22    16.03    20.92    36.95
2090     14.25    28.26    15.26    24.40    25.79
2091     13.81    18.71    18.61    26.44    25.57
2092     10.21    24.11    21.98    27.49    28.79
2093      8.08    22.90    26.42    22.94    28.29
2094      9.17    18.65    17.49    16.98    18.08
2095     14.05    66.52    19.44    20.88    22.79
2096     11.30    41.23    19.34    24.27    21.17
2097     14.38    30.32    14.25    17.73    25.64
2098      8.62    28.85    22.52    20.61    42.37
2099     13.10    36.24    17.86    23.86    26.76
2100     18.14    27.92     9.05    29.95    17.87
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      8.06    28.48    25.03    18.05    25.40
2047     28.67    36.81    45.11    19.32    23.08
2048      5.64    58.02    12.04    15.31    26.55
2049     16.90    20.53    23.93    30.28    18.42
2050      8.57     6.17    16.22    18.48    32.29
2051     10.30    24.89    12.43    23.45    23.04
2052      7.00    25.07     7.71    16.05    28.60
2053      5.50    22.86    20.46    13.25    27.16
2054     11.82    31.54    25.26    21.18    16.51
2055      8.49    28.91    25.54    18.24    25.73
2056      9.77    47.69    17.83    17.55    24.50
2057     10.98    23.62    17.34    20.92    25.52
2058      7.84    30.73    15.79    20.72    15.45
2059      6.23    34.02    15.38    14.39    24.97
2060      5.85    40.64    15.69    10.32    21.87
2061      5.89    38.61    18.41     9.57    32.95
2062      7.08    14.47    19.24    11.61    30.85
2063      6.59    26.95    17.94    18.54    29.09
2064     25.12    28.42    39.15    17.44    30.01
2065     17.94    33.14    33.06    26.10    32.17
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     11.05    30.48    24.86    19.20     5.72
2082     13.84    44.83    19.94    22.69    33.41
