Percentage of total rainfall ocurring in 'heavy' rainfall events - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         64.63    31.29    45.92    42.38    50.86
Timeseries in anomalies relative to 1970-1999 mean (% of total rainfall)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960    -60.41      NaN      NaN      NaN      NaN
1961      2.61     3.74    20.34     4.31   -26.55
1962     -4.19    -2.10    -9.48    -0.91   -14.26
1963     -6.86    -0.38   -20.94    -4.17    -8.30
1964    -15.92     8.78   -16.73   -23.18   -26.30
1965      2.72     0.86   -12.97   -14.55    28.58
1966      3.96   -17.34   -29.42     6.12     3.67
1967    -34.05   -11.47   -23.27   -28.55   -15.23
1968    -16.94   -15.49    -2.56   -19.18    -3.99
1969    -12.38    -4.97   -17.38   -13.43    -7.58
1970     -1.07     5.92    11.25     0.95    -0.89
1971    -10.26     0.62   -18.02   -33.79    25.06
1972      1.50    -7.56   -17.98     2.74    14.15
1973      1.49   -14.16     7.81     4.25    -8.68
1974      4.89    -5.99     5.70     7.63    18.40
1975     -6.78   -17.45   -30.50     3.04   -24.21
1976      6.55     1.70    -2.14    14.91    -7.24
1977     -7.13    19.46     0.33    -4.09   -12.58
1978     -6.57    10.65   -11.42    -1.40    -1.14
1979     -4.49    -0.26   -16.98     1.54   -17.79
1980     -1.87    14.26     2.54     3.72   -11.77
1981     -6.71    -9.92     1.72    -8.39     6.22
1982      7.70     1.18    13.29    14.08    29.42
1983     -2.05    23.39     3.36    -2.89    -5.41
1984     -2.52   -12.46     8.19     4.91   -11.08
1985      4.11   -11.12    29.09     5.91    11.24
1986      5.68     4.88    -8.84    12.41     8.65
1987     -0.96    27.58     5.86     1.73    -3.83
1988     -8.82    -3.28   -12.53    -4.56    -5.36
1989      3.05   -11.31   -10.54     9.40   -14.54
1990      0.33    -1.26     8.52   -19.26    24.69
1991      6.08    -8.40    -0.64    -3.17    36.10
1992     -5.19   -19.75     5.20   -16.01    17.21
1993     -1.49     6.67    -1.30    -5.04   -19.88
1994      4.58   -15.31    21.23     3.71    14.32
1995      2.56    -1.73    -3.16     4.15   -26.96
1996      3.48    26.51     0.01     1.50   -25.76
1997      4.56     3.25     4.14     7.05    -5.21
1998      4.93     8.53    21.31     0.31   -31.96
1999      4.41   -14.66   -15.49    -5.33    28.81
2000      4.68    46.50   -28.20    13.82    -5.39
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
