Maximum 5-day rainfall - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         57.15     7.12    51.25    39.01    23.63
Timeseries in anomalies relative to 1970-1999 mean (mm)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961    -10.00     4.42    -5.34    -7.22    -3.60
1962      9.50     1.97   -10.54     2.31    35.66
1963      7.70     5.76    10.35     5.35    -5.90
1964     -8.21    -4.57   -13.90     8.61    -7.72
1965      0.15    -0.29    -2.27     7.57     2.98
1966    -13.00     5.57    -9.53    -3.03   -10.01
1967      1.30    -0.64     5.53    -7.18     4.74
1968     14.74    -2.91    19.47   -10.56    -7.45
1969     26.53    -0.88    30.86     4.84   -14.18
1970     -0.35    -1.83     3.65    -6.26     7.36
1971    -13.67    -3.84   -12.39    -0.73    -1.29
1972     -0.12     3.02     1.54     3.31    -3.25
1973     -2.57     2.49     0.03    -2.17    -1.72
1974      2.28     4.77     5.66    -4.50    -7.54
1975     14.48     4.19    19.01     4.00    -5.11
1976      5.52    -2.23    11.11   -12.61   -13.59
1977      9.64    -2.05    10.65    -6.07    -6.31
1978    -13.26    -0.18   -11.06    -3.14   -11.61
1979    -16.77    -2.23   -14.68   -12.62    -6.23
1980     23.98    -4.75    29.36     7.65     3.77
1981    -15.55    -2.16   -17.68    -0.71    -1.46
1982     -4.86     6.85   -20.16    -5.07    24.31
1983     -1.03     0.69     0.86     7.81    -8.22
1984     -6.01    -3.20    -3.46    -2.06     7.37
1985     -6.64     4.67    -2.85    -3.16    -3.88
1986      4.90    -3.48     6.13     8.47    -1.75
1987     -7.30     3.64   -10.95     6.60    -8.75
1988      7.79    -1.61   -14.67     8.18    34.21
1989     -5.21     6.37    -5.40     3.59    -7.36
1990     -4.47    -1.12     1.20    -8.78     2.93
1991      8.92    -1.63    14.31   -12.41    -1.88
1992      8.22     1.53    13.43   -11.82    -8.27
1993     -7.95     0.09    -6.35     1.09    -4.35
1994     -3.94    -3.35    -3.04    -0.82     6.80
1995      7.11    -5.20    11.53     4.30    -5.14
1996     17.15     1.88    -6.68    25.63    30.09
1997     14.78    -0.39    15.32    10.84   -11.39
1998     -1.75    -2.70     1.45     4.84    -1.74
1999    -13.31     1.72   -15.87    -3.40     3.99
2000     -9.40    -1.25    -6.97    -7.19    12.11
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     13.69    -3.19    18.82   -11.49     2.78
2047    -19.55     3.00   -16.77   -11.27    -8.66
2048    -16.07    -1.76   -12.68    -7.79    -1.35
2049      9.59    -1.65    15.15     3.20   -12.10
2050     -2.98    -4.14    -7.69    10.83    -4.62
2051     19.07     0.19    23.93    15.68    -4.95
2052     -2.62     8.03     1.64   -17.61    -9.22
2053      3.73     1.33     1.14    -7.84    14.88
2054     18.09     0.10    20.21    -5.62    22.99
2055     -5.16    -3.42    -1.37    -3.23    -7.88
2056     -2.61    -4.45   -28.60   -12.46    29.39
2057     11.76     2.31    17.28     0.05   -10.88
2058    -17.50    -0.25   -19.67    -2.08    -2.95
2059      6.99    -1.60     9.13    -6.78    -7.06
2060    -23.75    -2.97   -21.44   -11.16    -8.20
2061      3.91    12.43     6.47    -6.72     7.96
2062      2.15     0.16     7.33    -8.78   -12.93
2063    -12.55    -0.24   -11.32    -7.84    -0.90
2064    -26.31    -1.27   -26.94   -14.43    -9.84
2065      3.64    -3.79     9.50   -14.06    -1.81
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      1.86     2.75    -7.82    -5.76    26.81
2082    -26.01    -2.14   -25.01   -14.88    -5.11
2083    -14.90    -2.22   -11.64   -10.39   -13.58
2084    -20.20    -3.66   -29.74   -16.06    10.49
2085    -18.55    -5.40   -14.91   -14.60   -15.31
2086     19.83     4.04    22.22   -11.57   -13.97
2087    -12.38    -0.85    -9.00   -13.75    -5.08
2088    -19.83    -2.46   -14.42   -12.45   -15.81
2089    -24.07    -1.54   -26.27    -7.73    -2.09
2090    -12.16     2.42   -25.07     3.59    -1.74
2091    -11.04    -6.16   -14.19    -0.29    -8.47
2092    -13.70    -2.89    -8.07   -15.06   -12.16
2093    -18.91     5.11   -13.12   -12.89   -14.57
2094     -6.77     1.08    -6.79    -8.89   -14.35
2095     -5.97     1.53    -3.00   -13.28    -8.63
2096     -1.03     7.02     4.69   -15.13    -6.08
2097    -18.91     0.47   -27.93    -1.81    -8.10
2098      1.36    -1.45   -10.59   -15.05    32.12
2099      7.20    -3.65    11.94   -12.92    -1.99
2100    -18.04    -4.89   -16.53   -15.55     0.92
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046    -12.67    -2.36    -7.09   -13.96    -7.82
2047    -19.03    -1.15   -15.69   -12.52    -5.66
2048    -12.93    -4.21    -7.33   -14.14    -5.23
2049    -20.24    -1.45   -17.68    -9.79    -6.15
2050    -10.06     0.33   -11.11    -0.25     0.05
2051     13.05    -3.15    17.22     1.29   -12.82
2052     -4.70    12.01    -2.59   -10.32     0.62
2053     -6.40     2.36    -2.19    -8.76    -9.35
2054    -13.97    -0.89   -14.93    -2.24    -5.20
2055     11.57    -1.22    16.17     5.16   -10.70
