Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.00     9.99     9.98     9.98     9.98
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     12.79    14.51    16.48    20.28     8.16
1962     12.02     7.00     9.71    14.68    18.50
1963     14.83    17.60    10.92     8.22    23.16
1964     11.95    21.60    14.27    15.34     7.48
1965      8.73     9.23    15.46     2.58     4.56
1966     13.05    23.00    17.85    17.77    10.29
1967      9.19    14.39     8.40    19.65     7.56
1968     15.52    16.48    11.80    17.22    22.50
1969      8.40     1.49     6.15    17.97    13.19
1970     14.77    26.99    10.08    12.69    11.49
1971     10.14     5.03     9.40    17.67     9.06
1972      7.86     4.89    19.43    11.80     6.49
1973     10.14     6.32     9.95    14.43    18.48
1974     10.67     6.51    10.92     9.61    12.85
1975      8.41     9.49     6.19    10.90     5.44
1976     11.92     9.76     8.45    11.52    13.13
1977     17.26    15.34    11.30    23.17    26.08
1978      9.09     3.98     8.71    12.46    14.48
1979     10.42     8.34    11.75    18.39    10.35
1980     11.55    20.60    13.30    25.31     7.10
1981      7.76    15.12     9.15     7.33     2.95
1982      7.48     6.05    14.43    12.90     5.87
1983      9.98     9.97     9.55     2.97    11.36
1984      7.29    12.46     5.83     7.24     0.40
1985      9.26     6.06    11.76     6.10     6.72
1986      9.96     8.25    18.26     8.93    14.66
1987      6.52     2.42    10.40     2.79    13.15
1988     10.99     5.30     7.28     3.09    15.36
1989      9.52    10.05     5.39     5.66     8.32
1990     14.80    28.07    11.07    11.02     9.92
1991      9.86    13.80     9.19     9.33     8.18
1992     10.11     4.59    11.95     7.68    11.96
1993     11.51    10.76     6.34     2.84    11.04
1994     11.76    10.16     9.22     9.39    15.46
1995     13.48    14.21     4.00    14.79     9.06
1996      4.98     7.47     8.27     2.62     0.89
1997      8.03    10.01     3.35     8.83     2.58
1998      4.75     5.52     7.11     3.69     0.96
1999      9.78     2.18    17.46     4.14    15.48
2000     12.89     7.38    15.58     8.82    15.09
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      4.48     1.22     1.81     0.91     3.95
2047      8.94     8.81     7.93     1.54     4.47
2048      6.79     2.26     4.34     0.63     6.39
2049     10.12    12.28     6.21     2.33     8.21
2050      7.36     2.80     5.19     0.58     9.38
2051      2.85     0.27     3.61     0.28     6.08
2052      4.64     1.26     2.14     3.73     3.66
2053      3.50     1.42     4.61     3.77     0.35
2054      4.08     2.48     1.75     2.40     1.18
2055      5.28     1.30     4.92     0.45     4.96
2056      8.30     3.88     3.85     0.33     9.40
2057      5.09     5.87     2.87     0.67     0.11
2058      3.44     1.80     3.30     0.95     1.85
2059      5.78     2.78     2.50     3.42     3.62
2060      2.46     0.41     2.90     0.74     1.26
2061      5.69     1.66     1.70     0.02     6.15
2062      5.58     2.34     1.23     0.56     4.31
2063      2.86     1.26     2.83     0.08     0.12
2064      4.51     0.44     0.60     1.92     5.68
2065      2.83     0.42     4.47     0.33     0.42
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      4.66     3.83     0.79     0.00     1.10
2082      2.14     1.86     2.46     0.08     1.26
2083      2.80     0.39     1.15     0.05     1.04
2084      1.45     0.04     2.91     0.17     0.95
2085      0.59     0.07     0.29     0.03     0.00
2086      0.14     0.00     0.87     0.08     0.02
2087      0.20     0.06     0.15     0.02     0.00
2088      0.47     0.00     2.23     0.89     0.16
2089      0.84     0.18     0.33     0.04     0.00
2090      0.20     0.05     0.21     0.00     0.06
2091      0.51     0.00     0.41     0.22     0.17
2092      0.17     0.02     0.15     0.10     0.13
2093      0.31     0.00     0.32     0.10     0.01
2094      0.33     0.00     1.30     0.00     0.00
2095      0.03     0.00     1.66     0.11     0.00
2096      0.35     0.00     0.21     0.01     0.56
2097      0.45     0.00     1.03     0.11     0.01
2098      0.30     0.00     0.15     0.00     0.10
2099      0.05     0.00     0.02     0.09     0.02
2100      0.53     0.00     0.21     0.07     0.26
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      5.29     6.09     8.77     2.47     2.93
2047      7.72     3.74     5.75     0.75     3.74
2048      4.75     3.10     3.72     4.88     1.70
2049      4.81     2.73     7.94     3.39     0.68
2050      3.98     0.03     0.74     4.65     6.93
2051      5.02     1.10     1.67     2.18     8.98
2052      5.10     4.46     8.65     1.63     1.29
2053      5.00     2.33     2.85     0.28     3.04
2054      6.57     0.54     1.66     0.33    14.10
2055      5.99     5.93     6.25     0.48     3.21
2056      2.23     0.21     2.79     2.81     4.08
2057      8.54     7.18     0.86     1.24     8.46
2058      2.33     0.36     1.08     1.09     0.43
2059      5.32     1.26     2.92     2.46     9.03
2060      3.41     4.86     5.79     1.34     0.06
2061      3.02     1.98     1.41     1.55     2.32
2062      4.88     1.55     1.73     1.15     4.23
2063      7.68     2.88     6.95     3.44     8.88
2064      6.10     4.49     2.99     0.22     2.03
2065      4.47     1.63     7.63     0.16     4.45
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      1.91     1.37     0.82     1.24     0.00
2082      0.99     0.26     5.12     2.75     0.13
2083      1.76     0.29     2.09     0.03     1.66
2084      2.99     0.49     0.74     0.70     3.03
2085      1.67     0.15     1.92     0.00     0.25
2086      1.68     0.14     1.92     0.01     1.35
