Frequency of Cold Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
         10.01     9.97     9.99     9.98     9.99
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.68     9.00    11.35    10.04     6.48
1962     10.24     6.29    13.47    11.84    14.70
1963     13.71    19.69    12.75    17.54    11.00
1964      9.02     9.68     9.94    12.07     7.70
1965     11.94    15.82    13.32    14.49    10.68
1966     10.88     5.69    18.19    16.57    15.40
1967      7.74    10.05    11.87     9.46     4.30
1968      7.34     8.33    12.14     9.98     4.41
1969     10.64     8.85     9.32    13.75    16.88
1970     13.54    24.45     9.40    12.69     7.75
1971     11.26    13.36    15.37    12.48    11.56
1972     15.29    22.20    14.82    17.91    11.79
1973      7.52     3.66     9.06     8.57     9.35
1974     14.20    19.27    17.28    11.71    10.04
1975      8.31     4.21     8.73    13.79    12.97
1976     10.84    10.63    10.52     9.83     8.33
1977      5.71     3.39    11.86     7.93     5.59
1978     10.77     5.14    13.40    11.90    21.27
1979      8.80     6.39    13.01     9.82    13.93
1980     11.72    10.91     9.25    10.09    12.66
1981     11.38    10.88    10.79     6.56    13.41
1982     16.88    15.79    12.86    15.79    15.84
1983      7.67     4.31     9.48    13.44     5.01
1984     10.96     8.73    11.90     9.20    11.66
1985      8.08     6.09     7.35     6.38     2.28
1986     10.29     9.62    11.85    12.67     7.19
1987      8.79    10.13     4.66    10.15     4.44
1988      9.95     7.85     3.27     5.36    15.05
1989      8.50    16.27     7.08     4.55     2.59
1990      6.75     5.40    11.84     8.49     8.22
1991      7.48     7.16     6.36    10.15     6.11
1992      9.77    10.81     8.49    11.68    13.52
1993     10.95    12.77    14.71     8.79     8.44
1994     13.00    12.36    10.66     7.70    14.02
1995      9.00    12.28     4.77     4.74     6.03
1996      7.62     7.98     9.71     6.42     5.93
1997      9.87     2.57     7.92    14.47    19.11
1998      6.90     6.98     5.57    10.03     7.03
1999      8.35     7.65     7.85     6.06     8.69
2000      6.85     4.36     4.47     8.43     5.39
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.13     1.12     3.16     2.30     3.08
2047      2.73     1.94     1.09     2.46     2.58
2048      2.30     1.06     3.10     0.71     2.48
2049      1.89     1.31     2.57     2.90     1.64
2050      3.11     2.94     2.69     2.36     1.38
2051      2.62     2.19     4.28     2.08     0.69
2052      3.52     0.71     1.31     2.50     5.65
2053      3.86     0.50     0.41     1.08     6.69
2054      1.58     0.75     2.45     0.26     0.83
2055      2.92     1.95     0.90     0.92     0.72
2056      2.11     1.62     4.57     1.11     1.12
2057      2.49     0.86     1.38     1.88     1.11
2058      1.54     0.85     1.50     1.11     0.63
2059      2.12     0.73     1.23     1.30     1.42
2060      1.74     0.63     2.24     0.50     3.70
2061      2.04     2.73     1.55     0.57     0.60
2062      1.34     0.64     3.14     1.61     0.92
2063      1.15     0.34     0.33     0.98     1.12
2064      0.67     0.40     4.09     3.50     0.54
2065      4.93     5.84     0.57     0.08     2.47
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      1.28     2.42     0.80     0.00     0.11
2082      0.91     0.13     1.32     0.28     1.00
2083      1.71     1.22     0.15     1.17     0.27
2084      0.73     0.10     0.65     0.00     0.83
2085      0.10     0.06     0.00     0.46     0.04
2086      1.74     3.26     1.62     1.47     0.17
2087      1.48     0.55     0.16     0.17     0.08
2088      0.55     0.08     0.50     0.34     0.01
2089      0.87     0.22     0.68     0.06     0.47
2090      1.07     0.99     0.20     0.01     0.02
2091      0.28     0.05     1.19     0.18     0.06
2092      0.35     0.16     0.29     0.01     0.17
2093      1.45     1.28     0.19     0.07     0.25
2094      0.28     0.13     0.12     0.19     0.33
2095      3.85     3.87     0.61     0.43     3.35
2096      1.01     0.11     3.72     0.08     0.04
2097      0.24     0.09     0.13     0.05     0.06
2098      1.01     0.89     0.06     0.01     0.22
2099      0.21     0.00     0.49     0.03     0.41
2100      1.67     0.78     0.72     0.00     0.13
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046      2.54     1.12     3.11     0.99     3.06
2047      4.09     3.46     1.39     0.96     2.20
2048      3.77     2.78     3.39     1.93     2.32
2049      3.40     4.57     1.22     1.17     3.59
2050      2.84     2.51     1.58     1.28     1.69
2051      1.15     0.87     0.68     1.16     0.70
2052      3.22     0.75     5.03     0.91     2.72
2053      3.14     1.11     0.88     1.60     0.67
2054      2.23     1.11     1.98     0.64     0.89
2055      3.25     4.08     1.53     0.40     0.57
2056      2.84     1.50     2.68     1.10     0.79
2057      3.31     4.77     2.23     0.40     0.75
2058      4.41     4.23     1.75     0.72     0.64
2059      2.52     1.29     2.94     0.48     1.80
2060      1.53     2.08     0.71     0.25     0.54
2061      3.71     5.18     0.26     0.86     1.69
2062      2.41     0.76     0.37     1.10     0.36
2063      1.37     0.44     2.32     0.18     0.75
2064      2.56     3.97     0.91     1.29     1.81
2065      4.28     2.06     3.63     3.35     1.83
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081      0.64     0.30     0.66     0.24     0.19
2082      1.71     0.44     0.52     0.20     0.66
2083      0.72     0.19     1.15     0.05     0.81
2084      1.27     0.75     0.48     0.25     0.39
2085      0.20     0.29     0.22     0.10     0.02
2086      0.51     0.22     2.67     0.28     0.21
2087      3.65     1.29     0.80     0.03     3.93
2088      2.13     2.43     0.32     0.22     0.01
2089      0.87     0.23     1.00     0.07     1.46
2090      0.40     0.33     0.34     0.13     0.17
2091      2.79     2.91     0.16     0.47     1.99
2092      0.56     0.32     0.34     0.12     0.14
