Frequency of Hot Nights - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961      8.95     9.77     7.03     4.53     6.18
1962      6.10     7.26     4.52     5.95     8.45
1963      7.41     7.60     4.74     7.77     5.86
1964      5.56     7.95     6.49     3.61     7.20
1965      6.88     7.99     4.11     5.31     6.60
1966      5.81     7.81     4.34     4.02     8.36
1967      7.42     8.67     6.89     8.36     6.12
1968      6.35     7.98     6.51     4.74     6.02
1969      9.86    10.02    12.16     7.55     7.26
1970      8.32     5.87     8.65     5.96     8.77
1971      7.67     8.47     7.28     4.73     5.90
1972      6.80    11.08     5.95     4.45     8.82
1973      8.35     8.55     8.90     7.34     6.10
1974     10.71     8.45    10.76     7.68     9.69
1975      8.97     9.92     9.22     6.00     6.94
1976      7.79     9.15     8.71     4.67     6.32
1977     10.15     9.08     7.86     9.10    11.07
1978      8.10    10.09     9.69     7.47     8.59
1979      8.00     7.72     7.70     6.57     8.78
1980      9.15    10.06     8.94     6.22    11.99
1981     10.65    12.33     7.95    12.05    12.57
1982      7.52     8.42     8.05     7.19     7.04
1983      8.52     9.99     8.17     5.85     9.62
1984     10.08    11.93     9.81     9.95     7.80
1985      8.45    11.14     9.08     8.38     9.53
1986      8.99    11.10     8.57     7.40     8.75
1987     12.73     8.37    11.49    12.72    10.79
1988     11.70     9.87    12.15    12.11    11.52
1989     11.78    10.56    10.40    13.61     9.74
1990     10.72     7.81    11.41    14.18    11.35
1991     11.67    16.18    15.04    12.31    10.92
1992      8.19     9.33     7.94     6.41     8.31
1993     10.04     9.34     9.86     9.97    11.38
1994     10.70     9.18     9.88    14.08    11.57
1995     12.44    10.66    14.76    13.37    12.86
1996     11.55    12.99    11.79    13.51     9.70
1997     12.33    12.60    10.94    16.92    12.59
1998     11.90    13.38    12.84    13.19    11.75
1999     11.93     9.64     7.98    16.59    13.24
2000     13.76    13.28    16.98    15.44    15.52
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     32.97    21.20    40.66    57.22    29.61
2047     31.98    25.28    45.22    48.60    28.09
2048     32.46    23.86    40.87    46.64    34.69
2049     34.65    23.24    46.00    55.72    27.50
2050     32.46    22.56    38.50    52.27    24.56
2051     34.39    24.13    44.62    61.01    29.96
2052     36.62    21.32    45.71    56.52    33.17
2053     32.98    26.16    39.57    52.68    29.31
2054     35.57    25.50    42.10    58.82    31.21
2055     37.90    24.89    47.85    68.46    34.03
2056     39.66    27.16    49.04    68.88    31.80
2057     37.92    25.24    47.61    68.80    32.97
2058     37.45    24.01    48.91    65.15    38.08
2059     35.96    34.21    46.67    66.83    30.73
2060     38.64    26.59    52.66    60.33    39.48
2061     38.42    27.69    51.91    67.55    38.56
2062     40.13    26.43    51.93    71.23    38.01
2063     42.50    28.97    58.10    66.62    35.58
2064     39.67    28.69    53.39    67.34    33.82
2065     38.24    27.88    53.61    64.32    36.68
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
