Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99    10.00     9.98     9.97    10.02
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.98    17.46    10.65     6.68     1.03
1962      6.42     3.11     4.44     3.21     2.39
1963      2.65     4.71     0.78     0.33     3.86
1964      9.53     6.64     8.87     9.62     2.97
1965      6.65     4.62     5.83     3.95     1.07
1966      5.28     2.09     4.22     1.39     2.26
1967     11.87    22.47    10.96     5.88     2.61
1968      6.84    10.53     5.19     2.55     5.15
1969      8.62    11.56     8.25     3.96     9.32
1970     10.43     9.96    11.85    12.95    20.87
1971      4.78     2.02     4.34     1.77     0.67
1972      7.87     6.57     5.74     5.35    28.00
1973      9.61     9.35     7.79     7.82    11.40
1974      8.08    13.01     8.01     3.74    10.63
1975      7.67     5.40     8.68     1.12     7.87
1976      5.68     7.77     2.70     3.57     0.28
1977      8.26     7.19     4.60     9.00     9.00
1978     10.67     7.95    11.43    17.99    15.79
1979      8.41     7.39     7.39    10.26     3.39
1980      5.29     6.59     3.01     3.26     2.37
1981      9.02    12.97     8.42    12.54    22.76
1982     10.06    10.13    11.31     6.66     3.31
1983     11.95     7.76    15.12    15.25    26.83
1984     12.42    12.20    10.55     9.47    10.81
1985      8.34    11.49     7.32     4.25     3.15
1986      9.78    14.20     6.79     9.79    12.73
1987     16.99    14.95    19.23    20.89    12.47
1988      8.78     9.20     8.81     0.94    10.78
1989      8.65     8.64     5.40    12.67    11.98
1990     12.26    17.06    16.04    12.76     7.31
1991     11.13    13.78    12.38     6.51     7.97
1992     11.27     6.15    11.31    16.68     0.88
1993     13.38     8.93    15.62    20.24    16.20
1994     16.04    11.87    20.22    25.35     5.84
1995     11.61    12.91    13.13     3.05     4.37
1996      7.95     6.85     4.53    13.25    13.62
1997     16.16    21.94    19.73    21.84    13.38
1998      9.63     7.82    11.55     6.84     2.48
1999      7.56     7.90     6.32     3.32     3.55
2000      6.32    12.21     4.70     5.97     6.47
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     23.89    27.95    32.95    39.91     9.34
2047     15.98    16.75    30.68    11.81    16.23
2048     17.60    16.70    20.45    32.58    14.20
2049     22.20    16.78    40.64    39.98    22.22
2050     19.29    20.26    32.20    22.12    18.51
2051     24.50    19.61    37.56    51.91    41.55
2052     29.02    28.57    44.72    56.89    46.19
2053     22.88    30.64    35.00    28.17    21.86
2054     24.95    19.78    30.09    55.91    39.91
2055     27.65    16.58    43.38    59.36    36.96
2056     22.41    13.53    27.95    51.99    50.49
2057     24.40    21.04    39.57    43.43    27.56
2058     14.97    20.42    19.32    11.25    16.68
2059     23.82    32.25    28.09    52.69    22.89
2060     23.18    22.13    43.72    28.19    23.37
2061     16.91    12.31    34.49    17.13    15.93
2062     23.61    16.77    30.87    58.19    26.61
2063     31.48    42.06    52.89    56.22    37.41
2064     27.20    35.01    41.64    48.71    35.34
2065     22.21    17.60    40.30    25.28    32.21
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     32.79    29.04    52.83    67.71    44.19
2082     32.07    45.58    47.78    62.54    53.18
2083     32.23    40.17    48.03    60.87    47.38
2084     29.91    20.62    53.20    66.27    57.43
2085     37.40    48.80    56.16    70.02    57.80
2086     33.55    33.32    53.41    63.50    54.14
2087     27.77    32.08    51.55    42.22    46.57
2088     30.54    36.26    52.07    57.67    50.50
2089     37.19    48.78    64.65    68.70    52.43
2090     27.09    25.91    61.11    34.14    47.71
2091     32.47    28.25    49.79    61.29    50.20
2092     33.20    40.75    53.69    67.26    48.23
2093     30.58    45.01    46.65    60.94    60.44
2094     30.37    44.45    60.81    44.92    40.94
2095     24.81    24.97    36.74    59.93    45.64
2096     36.41    48.04    70.22    61.13    46.57
2097     29.64    35.32    61.23    40.88    44.80
2098     31.07    33.37    39.47    77.26    45.52
2099     43.19    46.33    64.29    84.81    64.13
2100     30.70    36.13    60.42    47.58    51.91
Projections under SRES A1B scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     18.59    24.02    24.52    31.43    11.61
2047     25.97    34.74    44.48    38.28    29.56
2048     19.06    13.67    27.25    30.83    32.98
2049     20.63    19.40    31.10    35.79    27.30
2050     25.70    27.84    39.23    46.08    12.32
2051     19.68    16.58    41.51    23.00    16.00
2052     16.63    19.99    23.00    25.06    19.73
2053     20.50    28.92    25.47    37.02    27.65
2054     19.13    28.62    24.26    35.89    19.33
2055     23.13    32.80    38.73    41.54    28.85
2056     21.68    30.17    28.94    41.48    25.07
2057     17.96    14.56    29.44    11.47    21.54
2058     21.62    17.44    34.67    38.97    14.98
2059     23.30    23.69    38.80    41.87    37.28
2060     18.95    14.98    34.62    19.95    31.79
2061     17.65    22.68    24.21    28.23    40.43
2062     23.37    22.98    40.28    40.03    39.76
2063     17.88    17.55    31.16    21.10    13.14
2064     24.94    24.71    28.06    61.04    17.92
2065     30.35    37.76    43.13    51.62    40.99
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     26.12    20.78    39.49    46.87    36.89
2082     20.95    19.43    49.45    26.20    19.17
2083     24.74    28.74    35.51    60.72    27.26
2084     32.26    36.26    51.29    64.53    29.19
2085     23.81    19.93    48.81    40.46    34.36
2086     20.30    18.42    35.30    26.90    21.66
2087     28.63    41.07    33.63    65.56    43.94
2088     27.13    31.83    39.95    56.72    39.13
2089     24.06    21.71    44.42    37.65    39.68
2090     22.76    31.63    36.54    38.26    30.43
2091     23.75    23.35    35.15    45.93    41.36
2092     27.78    33.44    41.25    57.85    43.90
2093     33.60    39.89    59.12    63.50    41.03
2094     35.35    34.01    53.05    74.28    55.82
2095     24.50    31.02    49.72    24.28    35.13
2096     30.14    25.05    49.62    60.22    50.96
2097     25.06    25.46    35.40    52.57    38.81
