Frequency of Hot Days - Model Simulations
NaN indicates insufficient data is available
Refer to accompanying documentation
Model Climatology 1970-1999
Year    Annual      JFM      AMJ      JAS      OND
          9.99    10.01     9.99     9.96    10.04
Timeseries (% days occurring)
Year    Annual      JFM      AMJ      JAS      OND
20th Century Model Run
1960       NaN      NaN      NaN      NaN      NaN
1961     10.51     9.89     8.26    13.66    14.44
1962      9.40     9.23     6.35     9.07     8.63
1963      5.52     8.20     4.53     4.86     4.09
1964      7.04    12.50     7.88     3.80     5.27
1965      5.44     8.41     4.20     3.06    16.83
1966      4.78    10.53     3.09     2.87     8.94
1967      8.90     9.93    12.77     8.54     3.94
1968     10.80    10.15    12.53     9.18     5.36
1969     10.94     8.61    14.38     9.57     7.66
1970     11.08     6.37    13.71     5.02    15.68
1971      7.11     9.52     9.12     2.62     9.26
1972      8.48    10.36     5.69    10.24    12.79
1973      8.73     8.33     8.49     9.60     5.16
1974     12.79     6.18    11.95    14.89    11.39
1975      9.20     9.16     5.33    10.45     3.12
1976      6.37     7.54     7.58     3.41     4.24
1977     11.19     5.95    14.32     9.81    18.17
1978      8.91     8.02     7.95    10.42     6.44
1979     12.59     9.08    13.67    13.49    12.36
1980     10.65    11.32     7.49    10.45    16.58
1981      8.44    10.92     6.83     7.12    13.11
1982     12.43     7.82    14.73    14.42     5.81
1983      7.64    14.55     6.43    11.21     2.74
1984     11.39    11.43     9.86    15.91     8.92
1985     10.18    13.83    10.88     8.18    13.21
1986     11.95    10.93    11.30    10.30     9.53
1987      8.86     6.31     5.24    10.56     9.68
1988     12.19    11.74    15.29    10.89    14.92
1989     10.65    16.48     5.38    13.37    17.00
1990      9.07     7.40    10.04     9.20     7.70
1991      8.60    14.81    10.34     5.80     9.69
1992      7.74    10.88    10.16     4.44     4.32
1993      8.87     9.05     8.66     6.98    14.62
1994      9.48     9.23    10.66    11.01     9.91
1995     12.34     6.63    13.43    17.42     9.01
1996     10.22    13.00    11.23     6.04     7.00
1997     10.70    12.75    11.20    12.91     5.29
1998     10.63    13.80    10.12     8.96    12.82
1999     11.31     6.85    12.52    13.75    10.77
2000     15.15    14.89    22.80    19.12     7.97
Projections under SRES A2 scenario
2000       NaN      NaN      NaN      NaN      NaN
2001       NaN      NaN      NaN      NaN      NaN
2002       NaN      NaN      NaN      NaN      NaN
2003       NaN      NaN      NaN      NaN      NaN
2004       NaN      NaN      NaN      NaN      NaN
2005       NaN      NaN      NaN      NaN      NaN
2006       NaN      NaN      NaN      NaN      NaN
2007       NaN      NaN      NaN      NaN      NaN
2008       NaN      NaN      NaN      NaN      NaN
2009       NaN      NaN      NaN      NaN      NaN
2010       NaN      NaN      NaN      NaN      NaN
2011       NaN      NaN      NaN      NaN      NaN
2012       NaN      NaN      NaN      NaN      NaN
2013       NaN      NaN      NaN      NaN      NaN
2014       NaN      NaN      NaN      NaN      NaN
2015       NaN      NaN      NaN      NaN      NaN
2016       NaN      NaN      NaN      NaN      NaN
2017       NaN      NaN      NaN      NaN      NaN
2018       NaN      NaN      NaN      NaN      NaN
2019       NaN      NaN      NaN      NaN      NaN
2020       NaN      NaN      NaN      NaN      NaN
2021       NaN      NaN      NaN      NaN      NaN
2022       NaN      NaN      NaN      NaN      NaN
2023       NaN      NaN      NaN      NaN      NaN
2024       NaN      NaN      NaN      NaN      NaN
2025       NaN      NaN      NaN      NaN      NaN
2026       NaN      NaN      NaN      NaN      NaN
2027       NaN      NaN      NaN      NaN      NaN
2028       NaN      NaN      NaN      NaN      NaN
2029       NaN      NaN      NaN      NaN      NaN
2030       NaN      NaN      NaN      NaN      NaN
2031       NaN      NaN      NaN      NaN      NaN
2032       NaN      NaN      NaN      NaN      NaN
2033       NaN      NaN      NaN      NaN      NaN
2034       NaN      NaN      NaN      NaN      NaN
2035       NaN      NaN      NaN      NaN      NaN
2036       NaN      NaN      NaN      NaN      NaN
2037       NaN      NaN      NaN      NaN      NaN
2038       NaN      NaN      NaN      NaN      NaN
2039       NaN      NaN      NaN      NaN      NaN
2040       NaN      NaN      NaN      NaN      NaN
2041       NaN      NaN      NaN      NaN      NaN
2042       NaN      NaN      NaN      NaN      NaN
2043       NaN      NaN      NaN      NaN      NaN
2044       NaN      NaN      NaN      NaN      NaN
2045       NaN      NaN      NaN      NaN      NaN
2046     27.55    20.99    36.79    34.86    22.19
2047     28.48    27.91    29.44    37.76    25.62
2048     26.23    24.27    31.57    36.84    23.36
2049     27.79    29.50    39.55    36.38    22.86
2050     21.96    15.85    22.18    34.17    30.07
2051     29.78    24.08    29.66    49.10    28.27
2052     33.18    35.17    41.65    45.82    24.03
2053     21.11     9.71    19.35    36.17    16.70
2054     25.42    30.42    35.48    26.92    23.00
2055     29.55    24.45    25.23    50.88    37.81
2056     30.75    35.21    32.27    42.34    30.56
2057     26.16    30.70    34.61    31.75    27.04
2058     27.74    22.49    30.63    43.37    22.65
2059     20.69    18.80    23.98    29.95    24.97
2060     27.01    31.42    28.36    41.93    18.47
2061     29.37    23.28    40.60    47.56    18.08
2062     26.07    29.33    30.25    35.42    18.07
2063     32.35    20.95    37.39    54.10    26.58
2064     29.75    24.13    44.17    35.72    28.44
2065     24.92    21.68    25.54    36.65    32.05
2066       NaN      NaN      NaN      NaN      NaN
2067       NaN      NaN      NaN      NaN      NaN
2068       NaN      NaN      NaN      NaN      NaN
2069       NaN      NaN      NaN      NaN      NaN
2070       NaN      NaN      NaN      NaN      NaN
2071       NaN      NaN      NaN      NaN      NaN
2072       NaN      NaN      NaN      NaN      NaN
2073       NaN      NaN      NaN      NaN      NaN
2074       NaN      NaN      NaN      NaN      NaN
2075       NaN      NaN      NaN      NaN      NaN
2076       NaN      NaN      NaN      NaN      NaN
2077       NaN      NaN      NaN      NaN      NaN
2078       NaN      NaN      NaN      NaN      NaN
2079       NaN      NaN      NaN      NaN      NaN
2080       NaN      NaN      NaN      NaN      NaN
2081     36.65    28.21    42.61    61.11    30.57
2082     39.98    33.67    48.66    54.36    42.20
2083     39.35    34.62    49.32    66.45    25.92
2084     37.24    30.26    46.03    56.67    33.73
2085     38.60    30.87    45.47    64.28    30.28
2086     39.75    28.40    49.69    62.56    36.00
2087     39.12    34.63    54.85    58.81    19.79
2088     43.60    34.32    41.09    73.21    48.52
2089     41.47    40.43    57.75    56.77    43.18
2090     33.67    22.79    47.42    52.44    32.11
2091     38.43    26.98    44.68    59.72    41.66
2092     36.28    18.95    48.76    51.37    48.96
