Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         44.2     4.5    87.5    74.1    10.6
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -2.95    0.70    2.78  -10.66   -4.62
 1961  -10.90   -1.80  -30.84  -11.20    0.26
 1962    4.12   -3.30   25.46  -10.03    4.37
 1963    0.84   -1.96    7.40   -8.31    6.22
 1964    3.66   -0.24   13.48    2.28   -0.86
 1965    0.98    0.41   -5.89   11.95   -2.55
 1966   -4.02    0.69  -13.80    1.38   -4.35
 1967    1.64   -2.36    2.34    9.85   -3.29
 1968   10.60    5.22   38.98    1.27   -3.08
 1969  -11.62   -3.50  -26.99  -15.43   -0.58
 1970    1.80    1.10   10.16   -3.85   -0.21
 1971    2.22    0.12   19.05   -8.01   -2.27
 1972    2.87    9.04    0.95   -1.78    3.26
 1973   -4.52    2.09  -15.80    1.03   -5.39
 1974   -0.69   -1.10  -11.83    3.29    6.89
 1975   -4.66    0.12   -4.99  -11.47   -2.31
 1976    2.35   -0.49    9.84    0.54   -0.50
 1977    9.82   -1.57   35.36    2.61    2.89
 1978   -4.97   -0.01  -12.72   -6.43   -0.71
 1979   -4.31   -1.73   -8.74   -2.50   -4.27
 1980   -1.53   -1.16   -3.03   -3.71    1.78
 1981   -0.76    1.98  -11.48    0.96    5.48
 1982   -0.16    1.14    6.03   -9.40    1.58
 1983    0.48    2.99   -5.00    0.87    3.07
 1984   -1.49    1.38   -2.76   -2.63   -1.93
 1985    0.86   -2.17   -6.74   19.09   -6.75
 1986    0.36    0.02   -8.21    4.63    5.00
 1987   -3.92   -2.58  -14.88    6.44   -4.67
 1988   11.56    0.92   41.12   -0.22    4.42
 1989   -3.22   -3.70  -13.44    8.45   -4.20
 1990   -4.60   -3.75  -17.42    2.03    0.75
 1991   -1.50    2.66   -8.22   -3.19    2.73
 1992    0.15    3.14   -8.22    4.33    1.34
 1993    5.71   -1.35    4.69   19.15    0.33
 1994   -5.77   -2.72   -3.36  -11.60   -5.38
 1995   -2.67   -1.84    6.08  -11.59   -3.32
 1996   -0.42   -2.23   -4.25    4.59    0.20
 1997    6.37   -0.44   24.53   -0.75    2.16
 1998   -7.64   -0.20  -23.60   -6.13   -0.62
 1999    8.28    0.37   26.88    5.22    0.63
 2000   -8.20   -3.11  -17.20   -9.13   -3.37
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    6.34   -3.18   16.15   17.11   -4.73
 2002   -4.10   -1.92  -18.31   -2.85    6.66
 2003    3.71   -2.02   11.77    7.84   -2.72
 2004   -0.35   -2.69   -6.90   13.25   -5.07
 2005    4.07   -0.60    9.56    4.24    3.10
 2006    4.35    0.18   17.81    3.98   -4.56
 2007    1.60    0.51   -2.21   -2.21   10.31
 2008   24.43   -1.57   55.13   15.21   28.93
 2009    0.84   -0.09   18.92  -11.34   -4.14
 2010    3.26   -1.95  -12.19   19.72    7.48
 2011   -0.27   -2.28   -6.94    2.43    5.71
 2012    2.07   -3.75    1.71   11.03   -0.73
 2013    8.78   -3.02   33.44    5.64   -0.92
 2014    1.16    1.12    1.25   -1.87    4.15
 2015    1.02    0.15    3.10    2.77   -1.96
 2016   10.66    1.30   15.37    9.20   16.74
 2017    5.73   -0.96   18.63   -4.25    9.52
 2018   -5.40   -0.43  -15.43  -10.79    5.06
 2019   -4.82   -3.57  -18.50    2.57    0.20
 2020    6.73    4.37    8.02    8.83    5.72
 2021    4.12   -2.46   14.83    1.58    2.54
 2022    0.51   -1.43   -0.88    5.67   -1.30
 2023    4.19   -1.34   14.89    2.83    0.37
 2024    6.62    0.32   28.35   -4.75    2.58
 2025   -4.51    0.87  -13.58   -7.36    2.02
 2026   14.72    0.09   64.21    0.24   -5.66
 2027    1.09   -0.84   -0.05    4.11    1.15
 2028   -2.64    0.16   -3.97   -8.59    1.83
 2029   -3.93   -1.91  -17.45    1.72    1.94
 2030   -5.32   -2.91  -23.00    6.73   -2.10
 2031   -0.81    4.54  -21.97   13.14    1.08
 2032    3.09    0.66    4.62    6.10    0.97
 2033    3.55    0.85   20.47   -2.54   -4.60
