Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         42.7     3.8    62.8    87.3    17.0
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -0.24   -0.03    8.82   -6.77   -2.96
 1961   -0.27    3.20   -6.50   12.36  -10.12
 1962    2.94    1.65    4.01    9.72   -3.62
 1963    0.05    1.15   -6.42   15.28   -9.81
 1964   -2.40    2.36   12.60  -22.52   -2.05
 1965    1.67   -2.54   -8.15   11.82    5.55
 1966   -4.29   -3.12   -8.41   -7.39    1.76
 1967    1.68    0.51   12.42   -2.53   -3.67
 1968   -5.76   -2.39   -8.91  -14.24    2.51
 1969   -0.76   -2.51    3.50   -2.82   -1.22
 1970  -13.36   -2.01  -24.48  -18.01   -8.94
 1971   -2.44   -1.25   -8.91    4.58   -4.17
 1972    4.07    1.66   20.18   -5.19   -0.39
 1973   -5.58    0.49   -6.06  -10.38   -6.39
 1974    1.17   -0.60    2.22    9.37   -6.32
 1975    4.64    4.47   25.56   -6.22   -5.23
 1976    0.11   -1.87    8.92   -4.33   -2.30
 1977   -2.68   -2.13  -19.59    3.49    7.50
 1978   10.64   -1.49   35.00   10.87   -1.81
 1979    3.06   -2.66   -2.96   11.77    6.09
 1980    5.77   -1.99   19.02   12.96   -6.93
 1981   -8.55   -2.00  -15.45  -18.60    1.85
 1982    0.04   -2.05  -20.15   17.72    4.66
 1983    2.63    0.50   19.56  -10.40    0.87
 1984   -4.17    2.19   -9.43   -1.50   -7.95
 1985   -8.03   -1.90  -24.32   -6.72    0.83
 1986    6.92    0.61   22.05    6.61   -1.58
 1987    4.27   -0.35   -0.00    1.27   16.15
 1988   -2.46   -2.54   -7.83    0.25    0.28
 1989   -0.73   -2.06    9.20   -6.89   -3.17
 1990   -2.46    1.39   -6.78   -7.12    2.68
 1991    0.08    0.40    1.11   -3.71    2.52
 1992   -0.22    2.55   -3.12   -3.40    3.07
 1993    0.53    3.62  -11.43    9.47    0.45
 1994   -9.37   -2.28   -9.59  -20.56   -5.03
 1995    9.70    0.99   29.60   16.08   -7.88
 1996   -0.20   -0.96  -10.73    4.26    6.65
 1997    3.88    2.19    3.39   -2.63   12.55
 1998    4.82    5.05   -0.81   16.66   -1.61
 1999   -2.08    2.03  -14.20    0.32    3.53
 2000    3.21   -1.55   -0.32    9.85    4.85
Projections under SRES A2 scenario
