Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
         30.2     3.4    34.2    75.4     7.8
Timeseries in anomalies relative to 1970-1999 mean (mm per month)
20th Century Model Run
 1960   -5.78   -0.08   -4.87  -17.86   -0.30
 1961   -0.60   -0.81   -1.44    0.36   -0.51
 1962    0.08   -1.22    1.62    2.07   -2.14
 1963    2.12   -0.33    4.11    6.22   -1.54
 1964   -1.71   -2.99   -1.73   -2.84    0.71
 1965    0.74   -2.06   -3.17    3.48    4.73
 1966    1.02    0.11   -6.61    4.98    5.60
 1967   -3.64   -2.62   -2.61   -4.74   -4.60
 1968    2.33   -2.33   -0.40   12.01    0.04
 1969    1.11   -0.94    1.46    6.49   -2.56
 1970    1.09   -2.37   -0.89    4.15    3.45
 1971   -3.04   -0.15   -2.23   -6.84   -2.93
 1972   -1.03   -0.81   -0.41   -2.11   -0.78
 1973    2.28   -2.23    4.74    4.17    2.42
 1974   -0.38   -0.92   -3.39   -1.43    4.20
 1975    3.90    0.21   -1.17   11.23    5.31
 1976    1.11    2.51   -7.76   12.77   -3.08
 1977   -1.15   -3.00    2.96   -2.80   -1.78
 1978   -1.31   -2.19   -4.88    5.58   -3.76
 1979   -1.21   -2.08    1.20   -0.88   -3.07
 1980    4.68    5.73    1.33    5.93    5.74
 1981   -3.67   -0.25   -1.58  -13.48    0.62
 1982    1.18    4.50   -0.22    0.56   -0.11
 1983   -0.54   -0.93    1.31   -1.97   -0.59
 1984   -0.59    2.13    4.02   -4.99   -3.51
 1985   -0.25    2.61    3.31   -3.41   -3.49
 1986    0.66    1.42   -5.75    9.06   -2.08
 1987    2.88    0.06    5.57    5.42    0.47
 1988   -1.84   -0.67    5.95  -11.43   -1.20
 1989    1.81    0.67    0.67    2.76    3.15
 1990   -0.20    1.24   -1.09    1.14   -2.10
 1991   -2.06    0.82   -4.90   -5.79    1.62
