Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        23.02   20.52   25.19   25.79   20.57
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    0.25    0.85    0.97   -0.69   -0.14
 1961    0.28    0.04   -0.09    0.09    1.07
 1962   -0.23    0.67   -0.27    0.10   -1.43
 1963   -0.63   -1.02   -0.28   -0.92   -0.33
 1964   -0.09    0.59    0.18   -0.78   -0.36
 1965   -0.92   -0.62   -1.68   -1.03   -0.34
 1966   -0.40   -0.30   -0.77   -0.48   -0.06
 1967    0.01   -0.55   -0.62    0.39    0.84
 1968    0.21   -0.08    0.15    0.19    0.58
 1969   -0.24    0.44   -0.16   -0.28   -0.95
 1970   -0.77   -2.24   -0.73   -0.28    0.16
 1971   -0.14   -0.41    0.36   -0.14   -0.39
 1972   -0.82   -1.99   -0.64   -0.84    0.17
 1973    0.44    1.47    0.43   -0.06   -0.10
 1974   -0.14   -1.11   -0.41    0.14    0.83
 1975    0.26    1.98   -0.55   -0.49    0.11
 1976   -0.10   -0.32   -1.19    0.18    0.95
 1977    0.39    1.39    0.27   -0.14    0.05
 1978    0.20    0.99    0.48   -0.17   -0.51
 1979    0.18    0.89   -0.04   -0.05   -0.08
 1980   -0.49   -0.23   -0.33   -0.28   -1.11
 1981    0.57    0.82    0.94    0.51    0.01
 1982   -0.90   -1.59   -0.10   -0.23   -1.69
 1983   -0.31   -0.23   -0.27   -0.76    0.01
 1984   -0.18    0.05   -0.24    0.56   -1.10
 1985    0.26   -0.86    0.64   -0.11    1.36
 1986   -0.51   -0.82   -0.83   -0.54    0.15
 1987    0.32   -1.09    1.18   -0.19    1.39
 1988    0.12    0.59    1.83   -0.02   -1.92
 1989    0.43   -0.88    0.49    0.64    1.47
 1990    0.22    0.48   -0.30    0.27    0.42
 1991    0.49    1.81    0.28    0.34   -0.46
 1992   -0.19   -0.18   -0.95   -0.14    0.52
 1993   -0.03   -0.08   -0.58   -0.04    0.60
 1994   -0.46   -1.21   -1.06    0.81   -0.39
 1995    0.19   -0.37    0.28    0.30    0.53
 1996   -0.16    0.43   -0.11    0.26   -1.21
 1997   -0.18    1.12   -0.33   -0.49   -1.03
 1998    1.04    1.64    1.14    0.01    1.38
 1999    0.27   -0.03    0.31    0.93   -0.13
 2000    0.61    0.34    1.04    0.45    0.62
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.64    1.10    0.46    0.77    0.22
 2002    0.66    0.60    0.53    0.70    0.81
 2003    0.37    1.03    0.05   -0.49    0.89
 2004    0.34   -0.21    0.42   -0.44    1.58
 2005    1.46    2.22    1.45    1.10    1.08
 2006    0.37   -1.48    0.50    0.22    2.25
 2007    1.00    1.84    1.21    1.17   -0.23
 2008    0.88   -0.26    1.80    1.49    0.51
 2009    0.54    0.45    0.74    0.29    0.69
 2010    0.48   -0.30    0.47    1.55    0.21
 2011    0.94    0.19    0.82    1.13    1.63
 2012    1.00    0.01    1.20    1.78    1.01
 2013    0.36    0.14    0.13    0.68    0.48
 2014    0.94   -1.19    1.92    1.09    1.96
 2015    0.72   -0.27    1.80    0.82    0.53
 2016    1.16    1.76    1.09    0.92    0.89
 2017    0.74    1.17    0.33    1.41    0.03
 2018    1.33    0.85    2.04    1.31    1.09
 2019    0.44   -0.67    0.99    1.31    0.13
 2020    1.63    3.76    1.67    0.35    0.73
 2021    0.43   -0.06    0.35   -0.43    1.85
 2022    0.57   -0.46    0.91    0.32    1.52
 2023    1.90    1.45    2.42    2.01    1.74
 2024    0.93    1.76    0.56    0.68    0.72
 2025    1.11    0.44    1.52    1.24    1.22
 2026    1.65    1.84    1.12    1.81    1.85
 2027    0.90    1.02    0.66    1.14    0.79
 2028    1.08    0.34    0.59    1.64    1.75
 2029    0.98    0.86    0.14    2.01    0.92
 2030    2.02    3.28    1.97    1.74    1.11
 2031    0.56    0.17    0.50    0.06    1.50
 2032    1.13    1.36    0.62    1.56    0.98
 2033    1.28    0.50    1.71    1.46    1.43
 2034    1.78    1.78    2.35    1.20    1.77
 2035    1.25    0.42    1.33    2.17    1.10
 2036    1.38    1.24    1.37    1.00    1.89
 2037    1.92    1.74    2.59    1.91    1.43
 2038    1.16    0.80    1.60    1.82    0.42
 2039    1.99    3.12    1.82    1.64    1.38
 2040    1.45   -0.34    1.65    2.61    1.90
 2041    2.20    2.05    2.85    1.80    2.08
 2042    1.60    1.83    1.82    1.30    1.45
 2043    2.19    1.44    2.25    2.92    2.14
 2044    2.57    1.31    3.21    2.65    3.09
 2045    2.59    2.24    2.63    2.52    2.96
 2046    1.78    2.35    0.45    2.14    2.16
 2047    2.81    2.51    3.43    1.91    3.38
 2048    2.23    2.12    2.05    2.90    1.85
 2049    2.52    4.08    1.95    1.87    2.19
 2050    1.70    1.44    1.75    1.11    2.50
 2051    1.99    2.24    1.72    1.18    2.84
 2052    2.22    1.95    2.61    2.88    1.47
 2053    2.29    2.09    3.25    2.69    1.14
 2054    2.48    2.26    1.82    2.92    2.92
