Mean temperature (Degrees C) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
       Annual     JFM     AMJ     JAS     OND
        24.69   21.30   27.92   26.76   22.77
Timeseries in Anomalies relative to 1970-1999 mean (Degrees C)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.03   -0.61   -0.39    0.50    0.38
 1961    0.43    1.82    0.30   -0.10   -0.30
 1962   -0.09    0.16   -0.72   -0.16    0.37
 1963   -0.59   -0.84    0.38   -0.79   -1.11
 1964   -0.32    0.36   -0.67    0.36   -1.33
 1965   -0.06    0.13    0.31   -0.16   -0.54
 1966   -0.46   -1.06   -0.05   -0.52   -0.19
 1967   -0.55    0.08   -0.81   -0.52   -0.94
 1968    0.12   -0.76    0.99   -0.19    0.45
 1969   -0.09   -0.52    0.69   -0.22   -0.33
 1970    0.15   -0.93    0.17    1.04    0.31
 1971    0.26    0.64    1.24   -0.82    0.01
 1972   -0.13   -0.19   -0.01   -0.41    0.09
 1973   -0.16   -0.25   -0.34    0.00   -0.06
 1974    0.39    0.90    1.22   -0.21   -0.34
 1975   -0.70   -0.02   -1.26   -0.63   -0.87
 1976   -0.03    0.17   -0.83    0.23    0.33
 1977    0.48    0.63    0.67    0.75   -0.14
 1978   -0.37   -0.06   -1.15   -0.59    0.33
 1979   -0.15   -0.49    0.56   -0.78    0.08
 1980   -0.08   -0.09   -0.04   -0.45    0.26
 1981    0.43   -0.47    0.58    1.20    0.41
 1982   -0.55   -1.24    0.30   -0.20   -1.08
 1983   -0.11    1.62   -1.83    0.01   -0.25
 1984   -0.33    0.55    0.37   -1.08   -1.17
 1985   -0.28   -1.59   -0.04    0.72   -0.23
 1986   -0.61    0.81   -0.98   -1.06   -1.19
 1987   -0.66   -0.72   -0.78   -0.30   -0.85
 1988    0.06   -1.19    0.24    0.23    0.97
 1989    0.09   -0.26    0.03    0.03    0.54
 1990    0.41    1.25   -0.56    0.53    0.40
 1991    0.69    1.01    1.31    0.85   -0.42
 1992   -0.19   -0.09    0.14   -0.31   -0.50
 1993    0.41    0.76   -0.28    0.80    0.36
 1994   -0.24   -1.20   -0.20    0.44   -0.01
 1995   -0.21   -1.27   -0.56   -0.44    1.44
 1996    0.33    0.81    1.07    0.01   -0.56
 1997    0.64   -0.35    0.52    0.75    1.64
 1998    0.42    1.14    0.29   -0.47    0.73
 1999    0.05    0.13    0.14    0.17   -0.24
 2000    0.41    0.83    0.58    0.03    0.18
Projections under SRES A2 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    0.38   -0.27    0.79    0.19    0.79
 2002    0.86    0.93    1.29    1.16    0.06
 2003    0.32    0.44    0.16    0.56    0.12
 2004    0.57   -0.26    0.08    1.09    1.39
 2005    0.71    1.73    0.40    0.62    0.10
 2006    0.93    0.49    1.31    0.96    0.94
 2007   -0.14    0.85   -1.31   -0.38    0.27
 2008    0.92    1.24    0.75    1.11    0.58
 2009    0.48    0.17    0.44    0.15    1.14
 2010    0.13   -0.48    0.04    0.37    0.58
 2011    1.14    1.74    0.98    0.74    1.09
 2012    0.43    0.88    0.05    0.87   -0.08
 2013    0.83    2.14    1.07    0.87   -0.76
 2014    1.09    0.70    2.39    0.72    0.53
 2015    0.47    1.29   -0.59    0.59    0.57
 2016    1.15    2.03    2.16    0.04    0.37
 2017    1.85    1.42    2.57    1.54    1.87
 2018    0.69    1.14    0.73   -0.16    1.05
 2019    0.61    0.84   -0.03   -0.00    1.66
 2020    1.17    1.14    1.23    1.19    1.12
 2021    0.94    0.18    1.58    0.80    1.21
 2022    1.25    0.91    1.39    1.25    1.44
 2023    0.42   -0.16    0.41    0.81    0.62
 2024    1.22    1.41    1.34    0.50    1.61
 2025    1.11    0.38    1.76    1.17    1.14
 2026    1.13    0.31    1.21    1.62    1.40
 2027    1.17    0.97    2.07    1.27    0.38
 2028    0.85    0.45    1.08    0.39    1.49
 2029    1.04    0.17    1.90    1.46    0.61
 2030    1.13    1.60    1.78    1.02    0.10
 2031    1.49    1.29    2.24    1.22    1.19
 2032    1.17    0.70    1.20    0.69    2.09
 2033    0.91    0.94    1.37    0.77    0.54
