Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         55.9     1.6    54.7   145.0    22.3
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    1.40  204.26   -4.73    2.82   -7.14
 1961  -26.94  152.78   -4.07  -33.35  -54.16
 1962   12.07  -74.73   88.93  -13.47   -4.30
 1963    4.08  -74.99  -18.02    8.01   38.35
 1964   12.73   57.92   23.01    3.91   41.66
 1965  -15.69  -42.59   -7.14  -20.57   -3.00
 1966    9.96  -86.92   -9.12   17.33   15.78
 1967    5.49  139.23   -5.07   12.02  -20.55
 1968    5.07  -83.03   50.15   -9.44   -5.03
 1969   -4.55  -76.46  -29.72    8.75  -24.17
 1970    2.89   -4.97    7.47   -4.70   41.60
 1971   10.13  -37.80   -2.37   19.55  -17.03
 1972   -8.79   25.73   -7.23   -4.05  -45.89
 1973   -3.76  -30.89   -9.60   -0.38   -9.42
 1974   12.86  -89.62   -3.00   16.41   35.95
 1975   -0.30   31.14   30.73   -5.48  -45.03
 1976   22.92  283.96   86.12   -1.09    5.46
 1977  -13.74  -76.52  -24.28   -7.18  -26.10
 1978  -16.47  -93.25  -19.96   -6.75  -65.66
 1979   17.69   26.93   17.78   19.39    5.82
 1980   15.10  -84.24   40.30    6.05   19.14
 1981  -12.52  -72.58    3.38   -9.86  -64.58
 1982   12.77  -62.99   13.39   20.67  -34.81
 1983   -0.72  -45.77  -55.27    6.39   90.14
 1984   -8.56  174.91  -22.88   -5.21   -8.20
 1985   13.94   56.50   18.02   -0.22   93.00
 1986  -14.62   91.43   22.42  -20.34  -75.89
 1987    6.81   88.48  -16.25   12.55   20.28
 1988   -7.11  -51.45    4.95  -12.36    0.53
 1989   10.47  -35.99  -12.04   17.93   20.58
 1990  -21.26  -54.43  -16.40  -19.71  -40.85
 1991  -15.11  -62.27  -41.21  -15.19   52.88
 1992   -8.82  -40.49   25.51  -12.64  -66.05
 1993    6.91  -44.00   -5.49   13.52   -2.01
