Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         30.3     5.5    45.8    56.3    13.7
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960   -0.14   19.01   -0.65  -11.75   41.65
 1961    1.67   -6.24  -10.59    8.43   18.12
 1962    3.87  -62.20   14.25    8.80  -24.87
 1963   39.32  146.59   51.49   26.20    9.75
 1964   13.04   51.42    7.05    8.97   34.58
 1965   26.39  -12.74   30.08   28.34   21.53
 1966   20.69   -4.46   38.14   22.99  -37.17
 1967   -6.33    3.40  -18.50    2.02   -3.73
 1968   -4.13  -48.15  -11.50   -0.08   21.37
 1969   -1.28   61.43  -13.82    9.98  -30.52
 1970   -9.50   39.92  -10.73  -12.49  -12.78
 1971   -2.25  -15.20    3.57    2.22  -35.01
 1972  -15.77  -41.13  -13.42  -17.32   -7.16
 1973   12.20   32.80   22.51   -3.31   33.21
 1974   20.48  -21.69   26.98   27.46  -13.20
 1975    1.31   -6.16   -1.63    7.86  -12.83
 1976   -3.06  -43.74    7.51   -9.03    2.28
 1977   -6.65  -43.88    7.67  -19.21   11.83
 1978   -6.32   10.04   -0.36  -17.23   12.00
 1979   -2.15   46.87  -28.54    7.53   26.91
 1980    5.90    9.64   15.84    1.41  -10.45
 1981   -7.91   12.16   -2.01  -17.46    3.61
 1982  -20.94    1.72  -21.82  -23.02  -18.47
 1983   17.85   -3.08   -5.79   48.55  -20.83
 1984   19.30  -19.05   27.75   20.13    2.82
 1985    6.08   58.10   -4.54   14.64  -14.23
 1986   -2.45  -27.74   -6.66   -4.21   28.96
 1987   -0.76   15.05  -10.89    1.98   15.61
 1988  -32.43  -29.63  -42.03  -28.18  -18.87
 1989    3.11   43.46    7.79   -5.59    7.11
 1990  -13.20  117.29  -35.91   -6.19  -17.94
