Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         14.6     1.3    18.2    29.3     9.4
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 1960    0.12   20.70   -7.08   -6.68   32.35
 1961   -4.21   34.63    9.59    2.30  -56.75
 1962  -16.85   29.12  -16.90  -17.49  -21.25
 1963    5.73  -33.00   10.01    9.83   -9.91
 1964    2.81   37.03   -1.12    1.41    9.98
 1965    1.55  -66.69    5.04    9.09  -19.09
 1966   -7.69   49.88  -25.32   -0.61   -3.82
 1967   27.07   64.92   45.31   17.20   17.25
 1968   13.92   67.96   30.82   13.78  -26.03
 1969    0.24  -17.09  -15.07    6.20   13.70
 1970   23.60   -8.65   44.99   12.78   20.55
 1971    0.58   31.12    3.11    5.72  -24.65
 1972   10.97  150.11   13.05   11.10  -13.15
 1973   -5.93  -16.81  -13.31   -5.96    9.95
 1974   14.35    1.31   18.61   16.97   -0.21
 1975   -6.93  -13.65   -6.35   -0.74  -26.47
 1976   -8.55   32.85    2.90  -14.88  -16.74
 1977   -4.57  -36.24    4.46    1.31  -35.97
 1978   -0.66  -60.40   -3.76    8.05  -13.43
 1979    6.34   -3.81    7.37    9.72   -4.79
 1980    4.26  -65.24   -7.38   -1.63   55.02
 1981   -2.87  158.28  -30.14    3.08    8.54
 1982   -3.75  -13.24    9.11   -5.03  -23.29
 1983   -5.10  -34.56    0.57   -0.33  -26.78
 1984    1.73    6.55   -0.52   -6.35   30.61
 1985  -10.59   55.10   -5.28  -13.86  -19.93
 1986   -0.69  -13.02    1.65    0.16   -6.16
 1987   16.22  -24.65   35.13   11.70   -0.48
 1988   -1.55  -43.51   -3.70    6.53  -16.70
 1989  -11.31  -58.26  -19.67   -6.52   -3.47
 1990    2.82   42.18    8.65    3.94  -17.51
 1991  -15.83  -84.34  -19.94  -10.22  -15.75
 1992   -4.01   -3.16  -14.57   -3.98   16.19
 1993  -13.12  -54.28   -8.19  -17.15   -4.26
 1994   -0.04  -21.03   -0.93   -1.01    7.70
 1995    0.21   -8.79   27.71  -11.86  -14.02
 1996    0.05  103.92   -4.85    1.54   -9.81
 1997   -3.42  -78.09  -33.30    9.77   23.76
 1998    0.23   22.09   -6.70   -1.06   14.56
 1999   17.57   38.20    1.28   -1.82  106.71
 2000   -7.87  -35.21  -13.18   -5.42   -1.41
Projections under SRES A2 scenario
 2000   -5.24   97.48    3.45  -10.22  -21.00
 2001    5.10   11.53   13.54   -3.73   15.47
 2002    9.26   10.97   34.01   -8.21   15.71
 2003  -10.95  -69.98   -5.69  -16.27    3.85
 2004   -6.01  -25.69    4.54   -7.61  -18.63
 2005   -1.43  -33.99   34.31  -14.28  -25.86
 2006   -4.43  -54.65  -19.87    2.66   10.41
 2007   -6.70   -4.34   -8.29  -16.20   25.69
 2008   11.50   80.00    1.66   11.77   20.05
 2009   -2.27    5.94  -11.37    6.12  -12.05
 2010   -4.59   -7.87   -5.33    0.09  -17.33
 2011  -11.56  -18.01  -11.39   -6.17  -27.80
 2012   -9.44  -41.26  -15.13   -7.28   -0.67
 2013   -3.75  -80.03    0.32   -4.15    0.37
 2014  -14.18  -10.22  -25.44  -13.20    3.97
 2015   -6.89   20.79    5.92  -19.32    3.22
 2016    0.18    0.50   24.10   -8.95  -17.63
 2017  -14.66   -4.37   -6.65  -19.12  -17.68
 2018   -1.35  -38.75   24.33   -5.12  -33.95
 2019   -5.50   79.18  -22.28   -5.63   15.43
