Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960      NaN     NaN     NaN     NaN     NaN
1961    38.33    1.36   29.13  119.20    3.65
1962    38.26    2.05   24.25  118.78    7.96
1963    32.11    1.19   27.73   90.20    9.32
1964    37.82    1.94   27.09  116.83    5.40
1965    27.57    1.39   21.43   83.89    3.56
1966    31.60    1.37   38.25   81.02    5.74
1967    32.72    1.10   20.70  102.93    6.16
1968    30.95    1.06   36.44   83.82    2.47
1969    29.49    2.30   28.42   79.51    7.75
1970    29.98    1.35   19.43   95.99    3.16
1971    25.26    1.48   16.81   78.98    3.78
1972    25.52    1.89   26.48   66.04    7.68
1973    21.48    0.90   18.21   61.25    5.56
1974    31.03    1.52   21.19   97.34    4.08
1975    30.68    2.15   19.50   96.98    4.09
1976    25.51    1.95   21.87   67.94   10.30
1977    29.79    1.04   22.07   92.70    3.34
1978    28.96    1.49   27.09   81.92    5.36
1979    35.54    1.28   29.91  105.31    5.64
1980    31.93    1.66   32.36   89.62    4.06
1981    34.47    1.19   28.67  101.34    6.67
1982    27.70    1.82   27.46   76.82    4.71
1983    26.58    1.56   18.98   83.91    1.86
1984    23.52    1.92   23.18   64.34    4.66
1985    23.11    1.90   18.37   69.37    2.79
1986    24.91    1.46   14.47   79.13    4.57
1987    22.61    0.89   24.23   61.83    3.48
1988    34.88    1.32   24.38  111.31    2.52
1989    28.78    1.05   23.41   84.29    6.38
1990    22.27    1.27   18.74   64.75    4.30
1991    28.89    1.21   31.36   79.08    3.92
1992    28.96    1.31   17.68   91.59    5.26
1993    24.69    1.24   29.74   65.55    2.24
1994    29.39    1.15   25.30   83.65    7.44
1995    32.10    1.98   31.27   90.20    4.95
1996    30.94    2.26   30.45   84.57    6.50
1997    32.33    1.33   28.34   91.68    7.98
1998    32.56    1.28   23.27  101.08    4.62
1999    31.37    1.42   16.84   99.28    7.94
2000    28.35    1.57   30.74   78.11    2.99
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
