Mean Monthly Precipitation (mm) - Observed Records - Absolute Values
Refer to Accompanying Documentation
NaN indicates insufficient data is available
YEAR   Annual     JFM     AMJ     JAS     OND
1960    42.76    2.63   35.25  126.47    6.69
1961    37.75    2.07   37.72   97.86   13.35
1962    29.65    1.65   29.38   75.86   11.72
1963    37.25    2.09   43.85   92.01   11.08
1964    39.18    2.44   38.25  102.43   13.60
1965    33.27    2.51   39.10   80.73   10.76
1966    48.09    1.28   39.14  138.02   13.90
1967    40.85    3.09   42.01  103.26   15.04
1968    40.34    4.63   47.32   97.74   11.65
1969    36.59    1.27   43.92   93.21    7.94
1970    40.56    0.53   30.76  116.75   14.20
1971    44.13    2.79   29.19  123.49   21.03
1972    34.49    1.23   32.41   94.23   10.09
1973    38.65    1.87   35.19  109.60    7.95
1974    34.08    2.33   17.56  101.76   14.68
1975    39.99    4.11   40.07  104.37   11.42
1976    36.86    0.58   40.57   98.90    7.39
1977    37.55    3.43   32.97  103.82   10.00
1978    43.92    4.43   33.61  125.50   12.14
1979      NaN    1.29   32.38     NaN     NaN
1980      NaN     NaN     NaN     NaN     NaN
1981      NaN     NaN     NaN     NaN     NaN
1982      NaN     NaN     NaN     NaN     NaN
1983      NaN     NaN     NaN     NaN     NaN
1984      NaN     NaN     NaN     NaN     NaN
1985      NaN     NaN     NaN     NaN     NaN
1986      NaN     NaN     NaN     NaN     NaN
1987      NaN     NaN     NaN     NaN     NaN
1988      NaN     NaN     NaN     NaN     NaN
1989      NaN     NaN     NaN     NaN     NaN
1990      NaN     NaN     NaN     NaN     NaN
1991      NaN     NaN     NaN     NaN     NaN
1992      NaN     NaN     NaN     NaN     NaN
1993      NaN     NaN     NaN     NaN     NaN
1994      NaN     NaN     NaN     NaN     NaN
1995      NaN     NaN     NaN     NaN     NaN
1996      NaN     NaN     NaN     NaN     NaN
1997      NaN     NaN     NaN     NaN     NaN
1998      NaN     NaN     NaN     NaN     NaN
1999      NaN     NaN     NaN     NaN     NaN
2000      NaN     NaN     NaN     NaN     NaN
2001      NaN     NaN     NaN     NaN     NaN
2002      NaN     NaN     NaN     NaN     NaN
2003      NaN     NaN     NaN     NaN     NaN
2004      NaN     NaN     NaN     NaN     NaN
2005      NaN     NaN     NaN     NaN     NaN
2006      NaN     NaN     NaN     NaN     NaN
